rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
48986	1545	Thulung	ə-	ə-	pour out, to empty	pour out, to empty	v.	v.	6.6		0			
48987	1545	Thulung	ək-	ək-	pull out	pull out	v.	v.	6.2.2.3.1		0			
48988	1545	Thulung	əks-	əks-	pull out	pull out	v.	v.	6.2.2.3.1		0			
48989	1545	Thulung	əms-	əms-	sleep	sleep	v.	v.	1.1.4.1		0			127
48990	1545	Thulung	ums-	ums-	sleep	sleep	v.	v.	1.1.4.1		0			127
48991	1545	Thulung	ənsi-	ənsi-	change (clothes)	change (clothes)	v.	v.	9.5		0			
48992	1545	Thulung	a	a	VOCATIVE (suffix)	VOCATIVE (suffix)			10.4.1.1		0			
48993	1545	Thulung	oat-	oat-	distract	distract	v.	v.			0			
48994	1545	Thulung	oala(seo)	oala(seo)	congratulations!	congratulations!			8.5.11		0			
48995	1545	Thulung	als-	als-	fall, fall off	fall, fall off	v.	v.	6.1.1.4.2		0			3507
48996	1545	Thulung	am-	am-	put to sleep, to deceive	put to sleep, to deceive	v.	v.	10.1.1		0			
48997	1545	Thulung	an-	an-	drop	drop	v.	v.	6.16		0			
48998	1545	Thulung	ar-	ar-	tingle, hot (of timur)	tingle, hot (of timur)	v.	v.	8.4		0			
49000	1545	Thulung	bək-	bək-	wipe	wipe	v.	v.	6.2.2.1		0			
49001	1545	Thulung	bələkpu	bələkpu	yam, potato	yam, potato			3.1.5		0			
49002	1545	Thulung	bəlku	bəlku	sword (arch.)	sword (arch.)			5.15		0			
49003	1545	Thulung	bən	bən	sickle with smooth edge	sickle with smooth edge			5.3		0			x
49004	1545	Thulung	bel(u)wa	bel(u)wa	sickle with smooth edge	sickle with smooth edge			5.3		0			x
49005	1545	Thulung	bənkhar	bənkhar	belch	belch			1.8.3.4		0			bIndic
49006	1545	Thulung	bər-	bər-	grow	grow	v.	v.	9.7.2		0			
49007	1545	Thulung	bəri	bəri	wild dog (obsol.)	wild dog (obsol.)			3.2.5		0			6043
49009	1545	Thulung	bəT	bəT	hospitality	hospitality			8.3.2.1.1		0			
49012	1545	Thulung	ba	ba	where?	where?			10.5.3		0			
49013	1545	Thulung	bam	bam	which?	which?			10.5.3		0			
49014	1545	Thulung	bantheo	bantheo	where?, whither?	where?, whither?			10.5.3		0			
49015	1545	Thulung	bantem	bantem	from where	from where			10.1.1		0			
49016	1545	Thulung	b(a)-	b(a)-	be, stay, sit	be, stay, sit	be v.	be v.	10.4.1.1		0			3599
49017	1545	Thulung	basi-	basi-	necessary <need>	necessary <need>	v.i.	v.i.	9.6.2		0			
49018	1545	Thulung	bakhop	bakhop	lodgings	lodgings			5.11.9.1		0			
49019	1545	Thulung	boa	boa	pig	pig			2.1.12		0			1006
49020	1545	Thulung	babakul	babakul	crane, ?eagle	crane, ?eagle			2.2.4.1		0			
49021	1545	Thulung	bachium	bachium	prayer, invocation	prayer, invocation			5.8.3.1		0			
49022	1545	Thulung	bagmakhor bomu	bagmakhor bomu	crawl on all fours	crawl on all fours	v.	v.	9.9		0			
49023	1545	Thulung	baji (ŋ)	baji (ŋ)	Brahman, Chhetri	Brahman, Chhetri			4.6		0			
49024	1545	Thulung	baksiluŋ (ŋ?)	baksiluŋ (ŋ?)	flint for striking light	flint for striking light			3.2.9		0			
49026	1545	Thulung	lem balpa	lem balpa	stammerer	stammerer			1.8.7.2		0			
49028	1545	Thulung	'ba◦lam	'ba◦lam	shoulder blade	shoulder blade			1.4.3		0			570,m
49029	1545	Thulung	ban-	ban-	wear (ornaments)	wear (ornaments)	v.	v.	6.2.2.1		0			
49030	1545	Thulung	bha(t)-	bha(t)-	wear (ornaments)	wear (ornaments)	v.	v.	6.2.2.1		0			
49031	1545	Thulung	boap bo-mu	boap bo-mu	settle down	settle down	v.	v.	9.2.2		0			
49032	1545	Thulung	boapceo	boapceo	head of household	head of household			1.2.1		0			x
49033	1545	Thulung	ba◦phlem	ba◦phlem	wing (arch.)	wing (arch.)			1.5.1.3		0			m,707
49035	1545	Thulung	bara	bara	jackfruit	jackfruit			3.1.5		0			
49037	1545	Thulung	basi	basi	already, previously, before	already, previously, before			10.1		0			
49038	1545	Thulung	basta	basta	yesterday	yesterday			9.1.3		0			
49039	1545	Thulung	basinta	basinta	last night	last night			9.9		0			
49040	1545	Thulung	bat-	bat-	join	join	v.	v.	6.13.5		0			
49042	1545	Thulung	boat-	boat-	cook by boiling (rice, potato)	cook by boiling (rice, potato)	v.	v.	5.5		0			
49043	1545	Thulung	bhoat-	bhoat-	cook by boiling (rice, potato)	cook by boiling (rice, potato)	v.	v.	5.5		0			
49044	1545	Thulung	baːther	baːther	thunderbolt	thunderbolt			3.2.1		0			
49045	1545	Thulung	'baw	'baw	elder son / brother	elder son / brother			4.7.1		0			
49046	1545	Thulung	baya	baya	land, earth, floor of house	land, earth, floor of house			3.2.5		0			
49047	1545	Thulung	baysi	baysi	spindle	spindle			5.1		0			
49049	1545	Thulung	becike	becike	bamboo shoots (ke = curry)	bamboo shoots (ke = curry)			3.1.1		0			
49051	1545	Thulung	bel	bel	spleen	spleen			1.7.4		0			1325
49052	1545	Thulung	bal	bal	spleen	spleen			1.7.4		0			1325
49053	1545	Thulung	bele	bele	well, thoroughly	well, thoroughly			9.6.1.1		0			
49054	1545	Thulung	boleo	boleo	well, thoroughly	well, thoroughly			9.6.1.1		0			
49055	1545	Thulung	bəleo	bəleo	well, thoroughly	well, thoroughly			9.6.1.1		0			
49056	1545	Thulung	belemciu	belemciu	knowledgeable (rare)	knowledgeable (rare)			9.6.1.2		0			
49057	1545	Thulung	belepma	belepma	plant with edible shoots	plant with edible shoots			3.1.10		0			
49058	1545	Thulung	beljam	beljam	plant with edible shoots	plant with edible shoots			3.1.10		0			
49060	1545	Thulung	belwabem	belwabem	slug <larva>	slug <larva>			2.2.6		0			
49062	1545	Thulung	beno	beno	ox	ox			2.1.2		0			
49063	1545	Thulung	beaŋsi (ŋ)	beaŋsi (ŋ)	irrigated field	irrigated field			6.6		0			
