rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
127517	436	Chantyal	jyu	jyu	body	body		1.1.1	1.1	0		15
127518	436	Chantyal	ɦər	ɦər	body	body		1.1.1	1.1	0		
127519	436	Chantyal	dayne ɦər	dayne ɦər	side (right)	side (right)		1.4.5	1.2	0		
127520	436	Chantyal	dewrw ɦər	dewrw ɦər	side (left)	side (left)		1.4.5	1.3	0		bNepali,m
127521	436	Chantyal	cak	cak	back	back		1.4.8	1.4	0		bNepali
127522	436	Chantyal	kan◦na	kan◦na	back	back		1.4.8	1.4	0		
127523	436	Chantyal	cha◦ti	chati	front	front		1.4.4	1.5	0		m,1212
127524	436	Chantyal	pho	pho	front	front		1.4.4	1.5	0		
127525	436	Chantyal	ya◦pɦale	ya◦pɦale	limbs / arms and legs	limbs  /  arms and legs		1.5.3.1	1.7	0		
127526	436	Chantyal	ko◦li	ko◦li	lap	lap		1.4.4.2	1.8	0		2326,m
127527	436	Chantyal	nu◦nu	nu◦nu	bosom	bosom		1.4.4.2	1.9	0		253,253
127528	436	Chantyal	cẽy pho	cẽy pho	groin / loins / hips	groin  /  loins  / hips		1.4.9	1.10	0		m,398
127529	436	Chantyal	sya	sya	flesh / meat	flesh  /  meat		1.1.1.1	1.11	0		34
127530	436	Chantyal	so-wa	so-wa	alive / be living	alive  /  be living		1.1.2.1	1.12	0		80,s
127531	436	Chantyal	si-wa	si-wa	die / be dead	die  /  be dead		1.1.6	1.13	0		27,s
127532	436	Chantyal	mudar	mudar	corpse / dead body	corpse  /  dead body		1.1.6.1	1.14	0		
127533	436	Chantyal	si-si-wa pasu	si-si-wa pasu	carcass / dead animal	carcass  /  dead animal		1.1.6.1	1.15	0		27,27,s,m
127534	436	Chantyal	nɦu-wa	nɦu-wa	sleep /  be asleep	sleep  /   be asleep		1.1.4.1	1.16	0		129,s
127535	436	Chantyal	chi-wa	chi-wa	awake / be awake	awake  /  be awake		1.1.4	1.17	0		152,s
127536	436	Chantyal	swi◦na mara-wa	swi◦na mara-wa	dream	dream (v.)	v	1.1.4.2	1.18	0		127,m,m,m
127537	436	Chantyal	kəpal	kəpal	head	head		1.2.1	2.1	0		1241
127538	436	Chantyal	thapla	thapla	top of head / crown / pate	top of head  /  crown  /  pate		1.2.1.2	2.2	0		
127539	436	Chantyal	talo (C)̱	talo (C)̱	fontanel (soft spots in baby s	fontanel (soft spots in baby s		1.2.1.3	2.3	0		m
127540	436	Chantyal	khoro	khoro	skull	skull		1.2.1.1	2.4	0		m
127541	436	Chantyal	guri	guri	brain	brain		1.2.4	2.5	0	HIDE	DUPE IN SOURCE
127542	436	Chantyal	jəkta	jəkta	hair of head	hair of head		1.2.3	2.7	0	HIDE	DUPE IN SOURCE
127543	436	Chantyal	kəpal	kəpal	hair	hair		1.2.3		0		1241
127544	436	Chantyal	kəpal-ye chala	kəpal-ye chala	scalp	scalp		1.2.1.5	2.8	0		1241,m,b
127545	436	Chantyal	si◦ro	si◦ro	comb (of rooster)	comb (of rooster)		1.2.2.1	2.9	0		m,m
127546	436	Chantyal	ruk	ruk	horn (of animal)	horn (of animal)		1.2.2	2.10	0		814
127547	436	Chantyal	ruk	ruk	antler (of deer)	antler (of deer)		1.2.2	2.11	0		814
127548	436	Chantyal	ɦənuwar	ɦə◦nu◦war	face	face		1.2.5	3.1	0		bNepali
127549	436	Chantyal	suŋ	suŋ	mouth / face	mouth / face		1.3.1		0		477
127550	436	Chantyal	ɦõ	ɦõ	forehead / brow	forehead  /  brow		1.2.5.1	3.2	0		356
127551	436	Chantyal	kəncər	kəncər	temple	temple		1.2.5.1	3.3	0		bNepali
127552	436	Chantyal	mi	mi	eye	eye		1.2.6	3.4	0		682
127553	436	Chantyal	kwar◦lek	kwar◦lek	eyeball	eyeball		1.2.6.1	3.4.2	0		2072,m
127554	436	Chantyal	mi-ye nani	mi-ye nani	iris	iris		1.2.6.2	3.4.2.1	0		682,m,m
127555	436	Chantyal	mi-ye nani	mi-ye nani	pupil	pupil		1.2.6.2	3.4.2.2	0		682,m,m
127556	436	Chantyal	ãkhibɦə̃w	ãkhibɦə̃w	eyebrow	eyebrow		1.2.6.6	3.4.3	0		bNepali
127557	436	Chantyal	pərela	pərela	eyelash	eyelash		1.2.6.5	3.4.4	0		b
127558	436	Chantyal	mi cimcim la-wa	mi cimcim la-wa	blink	blink (v.)	v	1.2.6.12	3.4.5	0		682,m,m,m
127559	436	Chantyal	mi◦lim	mi◦lim	tears	tears		1.2.6.7	3.4.6	0		682,m
127560	436	Chantyal	kət◦ca◦ra	kət◦ca◦ra	eye sand	eye sand		1.2.6.8	3.4.7	0		m,m,m
127561	436	Chantyal	kara-wa	kara-wa	cry  /  weep	cry  /  weep (v.)	v	1.8.8.2	3.4.8	0		1103,s
127562	436	Chantyal	mara -wa	mara -wa	see  /  look	see  /  look (v.)	v	1.2.6.10	3.4.9	0		m
127563	436	Chantyal	sɦyw-wa	sɦyw-wa	look at	look at	v.	1.2.6.11		0		
127564	436	Chantyal	kana	kan◦a	blind	blind		1.2.6.14.2	3.4.10	0		1407
127565	436	Chantyal	nak/nakh	nak/nakh	nose	nose		1.2.8	3.5	0		bNepali,bNepali
127566	436	Chantyal	nak-ye dãri	nak-ye dãri	nose bridge	nose bridge		1.2.8	3.5.1	0		
127567	436	Chantyal	nak-ye dula	nak-ye dula	nostril	nostril		1.2.8.1	3.5.2	0		b,m,m
127568	436	Chantyal	nak-nɦa-ri-wa  rə̃w	nak-nɦa-ri-wa  rə̃w	nose hair	nose hair		1.2.8	3.5.4	0		
127569	436	Chantyal	thutno	thut◦no	snout	snout		1.2.8	3.5.5	0		bNepali
127570	436	Chantyal	nap	nap	liquid mucus	liquid mucus		3.2.3	3.5.6	0		805
127571	436	Chantyal	kɦotəl	kɦotəl	solid mucus	solid mucus		1.1.5	3.5.7	0		
127572	436	Chantyal	nap khyala-wa	nap khyala-wa	blow nose	blow nose (v.)	v	1.3.1.4	3.5.8	0		805,m,m
127573	436	Chantyal	suŋi-wa	suŋi-wa	sniff	sniff (v.)	v	1.2.8.5	3.5.9	0		
127574	436	Chantyal	bəsə-wa	bəsə-wa	smell good	smell good		1.2.8.5	3.5.9	0		
127575	436	Chantyal	thaŋkha-wa	thaŋkha-wa	stink	stink		7.1.4.5		0		
127576	436	Chantyal	nɦa	nɦa	ear	ear		1.2.7	3.6	0		811
127577	436	Chantyal	nɦa-ye loti	nɦa-ye loti	earlobe	earlobe		1.2.7.1	3.6.1	0		811,m,m
127578	436	Chantyal	nɦa	nɦa	outer ear	outer ear		9.2	3.6.2	0		811
127579	436	Chantyal	nɦa-ye dhoŋ◦ri	nɦa-ye dhoŋ◦ri	inner ear	inner ear		9.2.5	3.6.3	0		811,m,822,m
127580	436	Chantyal	nɦa-ye dhoŋ◦ri	nɦa-ye dhoŋ◦ri	ear canal	ear canal		1.2.7	3.6.4	0		811,m,822,m
127581	436	Chantyal	kɦana◦kuci	kɦana◦ku◦ci	earwax	earwax		1.2.7.3	3.6.6	0		bNepali
127582	436	Chantyal	thasa-wa	thasa-wa	hear	hear (v.)	v	1.2.7.4	3.6.7	0		
127583	436	Chantyal	bɦəyra	bɦəyra	deaf	deaf		1.2.7.5	3.6.8	0		m,b?
127584	436	Chantyal	suŋ	suŋ	mouth	mouth		1.3.1	3.7	0		477
127585	436	Chantyal	suŋ-ye ta◦la	suŋ-ye ta◦la	palate	palate		1.3.1.1	3.7.1	0		477,m,m,m
127586	436	Chantyal	suŋ-ye ta◦la	suŋ-ye tala	soft palate	soft palate		7.1.4.2	3.7.2	0		477,m,m,m
127587	436	Chantyal	gĩja	gĩja	gums	gums		1.3.4.3	3.7.3	0		b
127588	436	Chantyal	tərkula	tərkula	uvula	uvula		1.3.5.1	3.7.4	0		
127589	436	Chantyal	ral	ral	saliva	saliva		1.8.3	3.7.5	0		
127590	436	Chantyal	ca-wa	ca-wa	eat	eat (v.)	v	1.5.3.2	3.7.6	0		36,s
127591	436	Chantyal	thũ-wa	thũ-wa	drink	drink (v.)	v		3.7.7	0		502,s
127592	436	Chantyal	tirkha	tirkha	thirsty	thirsty	be	1.1.3.1	3.7.8	0		m,m
127593	436	Chantyal	khyana kha-wa	khyana kha-wa	hungry	hungry	be	1.1.3	3.7.9	0		b?
127594	436	Chantyal	pho bɦəri-wa	pho bɦəri-wa	full / be satiated	full  /  be satiated		1.1.3.2	3.7.10	0		2103,b,s
127595	436	Chantyal	thuk◦ki-wa	thuk◦ki-wa	spit	spit (v.)	v	1.8.3	3.7.11	0		601,m,m
127596	436	Chantyal	wa◦khal	wa◦khal	vomit	vomit (n.)	n	1.8.3.2	3.7.12	0		
127597	436	Chantyal	wa◦khal khya◦la-wa	wa◦khal khya◦la-wa	vomit	vomit (v.)	v	1.8.3.2	3.7.13	0		
127598	436	Chantyal	capi-wa	capi-wa	hold in mouth	hold in mouth (v.)	v	1.3.4.4	3.7.14	0		
127599	436	Chantyal	suŋ ã la-wa	suŋ ã la-wa	gape  /  open mouth	gape  /  open mouth (v.)	v	1.3.1	3.7.15	0		477,m,m,m
127600	436	Chantyal	ɦayi la-wa	ɦayi la-wa	yawn	yawn (v.)	v	1.3.1.3	3.7.16	0		
127601	436	Chantyal	khe◦le	khe◦le	tongue	tongue		1.3.3	3.8	0		p,621
127602	436	Chantyal	boli-wa	boli-wa	speak	speak (v.)	v	8.5.10.1	3.8.1	0		b
127603	436	Chantyal	phəkphəkə-wa	phəkphəkə-wa	stutter / stammer	stutter  /  stammer		8.5.4.5	3.8.2	0		
127604	436	Chantyal	lata	lata	mute / dumb	mute  /  dumb		1.5.3.2	3.8.3	0		
127605	436	Chantyal	lɦe◦mə	lɦe◦mə	lick	lick		1.3.3.1	3.8.4	0		629,m
127606	436	Chantyal	wəth	wəth	lip	lip		1.3.2	3.9	0		bNepali
127607	436	Chantyal	phyãra-gã-wa wəth	phyãra-gã-wa wəth	upper lip	upper lip		9.2.1	3.9.1	0		
127608	436	Chantyal	pɦiriŋ-gã-wa wəth	pɦiriŋ-gã-wa wəth	lower lip	lower lip			3.9.2	0		m,m,m,m
127609	436	Chantyal	cuc◦co	cuc◦co	beak / bill	beak / bill		1.3.1.2	3.9.3	0		442,2095
127610	436	Chantyal	ne◦rə-wa	ne◦rə-wa	smile	smile (v.)	v	1.8.8.1	3.9.4	0		1105,m,s
127611	436	Chantyal	mway la-wa	mway la-wa	kiss	kiss		1.3.2.2	3.9.5	0		b,m,s
127612	436	Chantyal	swa	swa	tooth	tooth		1.3.4	3.10	0		632
127613	436	Chantyal	baŋra	baŋra	molar	molar		1.3.4.2	3.10.2	0		3319
127614	436	Chantyal	na◦ku-ye swa	na◦ku-ye swa	eyetooth / canine tooth / fang	eyetooth  /  canine tooth  /  fang		1.3.4.1	3.10.3	0		6026,1764,m,632
127615	436	Chantyal	buri baŋra	buri baŋra	tooth (wisdom)	tooth (wisdom)		1.3.4	3.10.4	0		b
127616	436	Chantyal	daara	daara	tusk (of elephant, boar)	tusk (of elephant, boar)		1.3.4.1	3.10.6	0		2814
127617	436	Chantyal	jɦi-wa	jɦi-wa	bite	bite (v.)	v	1.3.4.4	3.10.7	0		
127618	436	Chantyal	cəpə-wa	cəpə-wa	chew	chew (v.)	v	1.3.4	3.10.8	0		bNepali,s
127619	436	Chantyal	gala	gala	cheek	cheek		1.2.5.2	3.11	0		2050
127620	436	Chantyal	gala-ye ɦaar	gala-ye ɦaar	cheekbone	cheekbone		1.2.5.2	3.11.1	0		2050,m,m
127621	436	Chantyal	cyũ	cyũ	chin	chin		1.2.5.3	3.12	0		bNepali
127622	436	Chantyal	cyappu	cyap◦pu	jaw	jaw		1.2.5.2	3.13	0		bNepali
127623	436	Chantyal	pɦiriŋ-gã-wa cyappu	pɦiriŋ-gã-wa cyap◦pu	lower jaw / mandible	lower jaw  /  mandible		1.2.5.2	3.13.1	0		m,m,m,bNepali
127624	436	Chantyal	phyãraŋ-gã-wa cyappu	phyãraŋ-gã-wa cyap◦pu	upper jaw / maxilla	upper jaw  /  maxilla		1.2.5.2	3.13.2	0		m,m,m,bNepali
127625	436	Chantyal	kha	kha	neck	neck		1.4.2	4.1	0		494
127626	436	Chantyal	gãra	gãra	goiter	goiter		1.4.2.2	4.1.1	0		b
127627	436	Chantyal	ga◦le kha-si-wa	gale kha-si-wa	swollen lymph nodes (in neck)	swollen lymph nodes (in neck)		1.1.5.2	4.1.2	0		m,5650,m,m,s
127628	436	Chantyal	khorpiti	khorpiti	nape of neck	nape of neck		1.4.2.1	4.1.3	0		m
