rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
313284	1779	Lushai [Mizo]	a◦ma	ama	he; she; her; it its; him	he;  she;  her;  it its; him			4.1	1	0	jbl3		2138,m
313285	1778	Tiddim	a¹ ma?³	a¹ ma?³	he; she	he; she			4.1	1	0			2138,m
313286	1778	Tiddim	a¹ mau¹ te¹	a¹ mau¹ te¹	they	they			4.1	2	0			
313287	1778	Tiddim	a² ma¹ sa¹	a² ma¹ sa¹	first	first			9.9	3	0			
313288	1779	Lushai [Mizo]	hma-sha	hma-sha	first	first			9.9	3	0			
313289	1778	Tiddim	a² pi¹	a² pi¹	full-grown	full-grown			1.1.3.2	4	0			
313290	1778	Tiddim	a² pin¹	a² pin¹	female four-legged animal	female four-legged animal			1.9.3	5	0			
313291	1778	Tiddim	a² toːn¹ tung¹	a² toːn¹ tung¹	forever	forever				6	0			
313292	1778	Tiddim	a³ dung²	a³ dung²	along; length	along; length			9.2.8	7	0			
313293	1779	Lushai [Mizo]	dung	dung	length	length				7	0			
313294	1778	Tiddim	a³ gol¹ zoː¹	a³ gol¹ zoː¹	greater half	greater half			9.6.1	8	0			
313295	1778	Tiddim	a³ koi¹ pen²	a³ koi¹ pen²	which one	which one			10.5.3	9	0			
313296	1778	Tiddim	a³ nan²	a³ nan²	breadth	breadth			9.2.7	10	0			
313297	1778	Tiddim	a³ neu¹ zoː¹	a³ neu¹ zoː¹	smaller half	smaller half			9.7.2	11	0			
313298	1778	Tiddim	a³ pua¹ a³?	a³ pua¹ a³?	outside	outside			9.2.7	12	0			
313299	1778	Tiddim	a³ su² nga?¹	a³ su² nga?¹	inside	inside			9.2.5	13	0			
313300	1778	Tiddim	a³ vaːi¹	a³ vaːi¹	breadth	breadth			9.2.7	14	0			m,5136
313301	1779	Lushai [Mizo]	vaːng	vaːng	breadth	breadth			9.2.7	14	0			
313302	1778	Tiddim	a³ zai¹ na²	a³ zai¹ na²	width	width			9.2.7	15	0			
313303	1779	Lushai [Mizo]	ai	ai	crab	crab			2.2.5	16	0			
313304	1778	Tiddim	ai¹ sa¹	ai¹ sa¹	crab	crab			2.2.5	16	0			
313305	1778	Tiddim	al?³	al?³	have an unpleasant taste	have an unpleasant taste	v	v	8.2	17	0			
313306	1779	Lushai [Mizo]	al	al	salt	be salt	be v.		3.2.4	18	0	dwb13		4500
313307	1778	Tiddim	al²	al²	salty	salty			3.2.4	18	0			4500
313308	1778	Tiddim	am³ > ap³	am³ > ap³	perplexed; feel giddy	perplexed; feel giddy	vi	vi	8.3	19	0			
