rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
144699	682	Jingpho	ashu a◦shan	ashu a◦shan	animal	animal			2.3		0			
144700	682	Jingpho	du-sat-du-myeng	du-sat-du-myeng	animal	animal			2.3		0			14,5365,14,m
144701	898	Lepcha	mŭ	mŭ	body	body			1.1.1		0		u	17
144702	205	Achang (Longchuan)	ʂi⁵⁵ mʐuaŋ⁵⁵	ʂi⁵⁵ mʐuaŋ⁵⁵	body	body			1.1.1		0		u	m,17
144703	238	Akha	aˇ sehˇ	aˇ sehˇ	body part	body part			1.1.1		0			p,m
144704	1657	Yi (Dafang)	gɤ³¹ pʰi³¹	gɤ³¹ pʰi³¹	body	body			1.1.1		0		u	2,22
144705	627	Hani	tsho⁵⁵ si⁵⁵	tsho⁵⁵ si⁵⁵	corpse	corpse			1.1.6.1		0			3327,27
144706	627	Hani	tshv̩⁵⁵ sɿ⁵⁵	tshv̩⁵⁵ sɿ⁵⁵	corpse	corpse			1.1.6.1		0			3327,27
144707	841	Lahu	chɔ-šɨ	chɔ-šɨ	corpse	corpse			1.1.6.1		0			p,27
144708	1688	Atsi [Zaiwa]	maŋ⁵¹	maŋ⁵¹	body	body			1.1.1		0		u	17
144709	682	Jingpho	shing◦nyaŋ	shing◦nyaŋ	body	body			1.1.1		0			
144710	682	Jingpho	ma◦gawng	ma◦gawng	traditional cattle	traditional cattle			5.8		0			p,1
144711	682	Jingpho	(a)-khùm-ʃīŋ-jāŋ	(a)-khùm-ʃīŋ-jāŋ	body	body			1.1.1		0			p,206,m,m
144715	1371	Sani [Nyi]	ʂi³³ ma³³	ʂi³³ ma³³	corpse / dead body	corpse  /  dead body			1.1.6.1		0	jbl3	u	27,s
144716	1614	Tujia	se³⁵ thu³⁵	se³⁵ thu³⁵	die	die			1.1.6		0		u	27,23
144717	1660	Yi (Liangshan)	sɿ³³ su³³	sɿ³³ su³³	die	die			1.1.6		0		u	27,s
144718	682	Jingpho	tʃă◦si³³	tʃă◦si³³	dead	dead			1.1.6		0			p,27
144719	318	Bai	ɕi³³ nõ³³	ɕi³³ nõ³³	die / be dead	die / be dead			1.1.6		0		u	27,s
144721	841	Lahu	nā-pɔ-phàʔ	nā-pɔ-phàʔ	external ear	external ear			9.2		0			811,812,821
144725	1009	Chinese (Mandarin)	kǒng	kǒng	hole	hole			3.2.7		0		D1	820
144726	1576	Tibetan (Written)	kuṅ	kuṅ	hole	hole			3.2.7		0		D1	820
144727	1009	Chinese (Mandarin)	ěr-kǒng	ěr-kǒng	earhole	earhole			1.2.7		0		D1	811,820
144728	1576	Tibetan (Written)	tshim◦pa	tshim	satisfied, content	satisfied, content			8.3.1.1.3		0			136,s
144729	202	Achang (Lianghe)	pɯŋ³¹	pɯŋ³¹	full	full			1.1.3.2		0		u	111
144730	682	Jingpho	kà̱t	kà̱t	show reverence, be cautious	show reverence, be cautious			6.2.2.8		0			x
144731	1576	Tibetan (Written)	kyong	kyong	hard, solid	hard,solid			9.6.2		0			185
144732	1477	Tangkhul	sək	sək	hard, difficult	hard, difficult			9.6.2		0			186
144733	1477	Tangkhul	ka◦sak◦a	ka◦sak◦a	hard(2)	hard(2)			9.6.2		0			m,186,s
144734	1463	Tamang (Sahu)	koŋ-pa	koŋ-pa	hard, solid	hard,solid			9.6.2		0		u	185,s
144736	1576	Tibetan (Written)	ḥtsho-ba	ḥtsho-ba	live	live			1.1.2.1		0			80,s
144737	198	Achang	tut⁵⁵	tut⁵⁵	alive	alive			1.1.2.1		0		u	72
144739	1576	Tibetan (Written)	s̀aṅs-sna	s̀an̊s-sna	nose	nose			1.2.8		0		D1	m,803
144740	1576	Tibetan (Written)	gnyid sad (gsod)-pa	gnyid sad (gsod)-pa	waken	waken			1.1.4		0			131,1018,1018,s
144741	1576	Tibetan (Written)	sang(s)-ba	sang(s)-ba	wake up	wake up			1.1.4		0			m,s
144742	147	*Lolo-Burmese	kyi¹˜²|	kyi¹˜²|	lift; raise	lift; raise			6.16		0		u	152
144743	238	Akha	tuˇ	tuˇ	stand up	stand up			1.5.2		0			148
144744	262	Angami Naga	ú-m̀o	ú-m̀o	body	body			1.1.1		0		u	18,17
174693	1009	Chinese (Mandarin)	jiù chǐ	jiù chǐ	molar	molar			1.3.4.2		0			
174709	1858	Chantyal	tiŋ	tiŋ	heart	heart			1.7.1		0			1387
283004	479	Chinese (Old)	sâng	sâng	throat / voice	throat / voice			1.3.5	704	0			498
283005	479	Chinese (Old)	sangʔ	sangʔ	throat / voice	throat / voice			1.3.5		0			498
