rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
283491	239	Akha	o˯ laˇ -eu	o˯ laˇ -eu	blister	blister			1.6.5.3		0			
283492	239	Akha	mawˇ do	mawˇ do	body	body			1.1.1		0			
283493	239	Akha	kuiˇ du k'oˆ behˆ (behˆ)	kuiˇ du k'oˆ behˆ (behˆ)	calf of leg	calf of leg			1.5.7		0			335,m,m,m,m
283494	239	Akha	ce˯	ce˯	dung	dung			1.8.5		0			m,572
283495	239	Akha	daw˯ ce˯	daw˯ ce˯	dung	dung			1.8.5		0			m,572
283496	239	Akha	daw˯ ke˯	daw˯ ke˯	dung	dung			1.8.5		0			m,572
283497	239	Akha	nyo˯ ce˯	nyo˯ ce˯	dung of buffalo	dung of buffalo			1.8.5		0			m,572
283498	239	Akha	a˯ nyo˯ ca˰	a˯ nyo˯ ca˰	dung of buffalo	dung of buffalo			1.8.5		0			
283499	239	Akha	gaˇ nyiˇ iˇ-eu	gaˇ nyiˇ iˇ-eu	have a bowel movement	excrement (hum)			1.8.5	168	0			577,m,m,m
283500	239	Akha	gaˇ nyiˇ iˇ gaˇ	gaˇ nyiˇ iˇ gaˇ	excrement (hum)	excrement (hum)			1.8.5		0			
283501	239	Akha	myaˆ nuiˆ myaˆ k'ahˇ	myaˆ nuiˆ myaˆ k'ahˇ	eyebrow	eyebrow			1.2.6.6		0			
283502	239	Akha	myaˆ k'ah˯	myaˆ k'ah˯	face	face			1.2.5		0			
283503	239	Akha	za˰ tsiˇ	za˰ tsiˇ	lard	lard			1.6.4.1		0			
283504	239	Akha	la˰ noeˇ	la˰ noeˇ	finger	finger			1.5.6		0			695,320
283505	239	Akha	noeˇ doe˯	noeˇ doe˯	finger (ring)	finger (ring)			1.5.6		0			320
283506	239	Akha	ca˯ noeˇ	ca˯ noeˇ	finger (ring)	finger (ring)			1.5.6		0			
283507	239	Akha	sha˯ pya˯ myaˆ	sha˯ pya˯ myaˆ	hip	hip			1.4.9.2		0			
283508	239	Akha	a˯ kuiˇ sha˯ pya˯	a˯ kuiˇ sha˯ pya˯	thigh (hum)	thigh (hum)			1.5.7.1		0			
283509	239	Akha	yoe˯ tsui˰	yoe˯ tsui˰	joint	joint			1.5.8		0			m,418
283510	239	Akha	kuiˇ tsui˯	kuiˇ tsui˯	knee	knee			1.5.8.4		0			335,418
283511	239	Akha	meh˯ lu˯ la˰ oˆ pyaw˯	meh˯ lu˯ la˰ oˆ pyaw˯	lip (lower)	lip (lower)			1.3.2		0			m,m,695,2542,m
283512	239	Akha	maˇ boe˯ sha˯ zawˆ	maˇ boe˯ sha˯ zawˆ	lymph gland	lymph gland			1.6.6.4		0			
283513	239	Akha	sha˯ zawˆ	sha˯ zawˆ	lymph gland	lymph gland			1.6.6.4		0			
283514	239	Akha	sha˯ pya˯	sha˯ pya˯	lymph gland	lymph gland			1.6.6.4		0			
283515	239	Akha	naˇ mehˇ bah˯	naˇ mehˇ bah˯	nose	nose			1.2.8		0			803,m,m
283516	239	Akha	beuˆ leuˆ	beuˆ leuˆ	penis (polite)	penis (polite)					0			m,1284
283517	239	Akha	coiˇ loi	coiˇ loi	penis (of child)	penis (of child)					0			
283518	239	Akha	jawˇ caw˯	jawˇ caw˯	placenta (human)	placenta (human)					0			
283519	239	Akha	leh˰ uˆ leh˰ si˯	leh˰ uˆ leh˰ si˯	scrotum	scrotum					0			1286,301,1286,1019
283520	239	Akha	a˯ kuiˇ maw˯ g'aw	a˯ kuiˇ maw˯ g'aw	shin	shin			1.5.7.2		0			
283521	239	Akha	baˆ k'oˆ	baˆ k'oˆ	skin, bark	skin,bark			1.6.5		0			m,586
283522	239	Akha	meh˯ lu˯ la˰ taˆ pyaw˯	meh˯ lu˯ la˰ taˆ pyaw˯	lip (upper)	lip (upper)			1.3.2		0			
283523	239	Akha	maˇ naˇ maˇ k'eh˯	maˇ naˇ maˇ k'eh˯	wound	wound			1.8.6.2		0			
283524	239	Akha	maˇ k'eh˯ maˇ naˇ	maˇ k'eh˯ maˇ naˇ	wound	wound			1.8.6.2		0			
283525	239	Akha	meh˯ laˇ laˇ zahˇ	meh˯ laˇ laˇ zahˇ	uvula	uvula			1.3.5.1		0			
311369	239	Akha	baw-eu	baw-eu	born	be born	be v.		1.1.2	73-74	0	dwb13		70,s
516189	239	Akha	la˰ puˇ	la˰ puˇ	hand (esp. back of hand)	hand (esp. back of hand)			1.5.1.1	268	0			695,6118
516217	239	Akha	la˰ du	la˰ du	forearm (up to the elbow)	forearm (up to the elbow)			1.5.1.2.2	264	0			695,306
523753	239	Akha	nuiˇ	nuiˇ	sit	sit	v	v	6.1.1.4.1	341	0			3597
529258	239	Akha	g'aw˯ myahˇ ni		long time				9.7.2	592	0			m,7170,m
529259	239	Akha	a˯ myah lu˰		always				9.1.1	516	0			m,7170,m
532700	239	Akha	da˰		spur on a cock/rooster		n		2.1.10	642	0			2003
532701	239	Akha	ya cî da˰		spur on a cock/rooster		n		2.1.10	642	0			1606,m,2003
533460	239	Akha	k'o		wear on one's head					255	0			1224
621388	239	Akha	k'aˇ		all who, all which		v			242	0			5736
621432	239	Akha	saˇ-eu		easy (not difficult); flat		be v.			389	0			156,m
622144	239	Akha	ga ̂-iˇ		to walk as a four footed animal		v.		6.7.9	171	0			5784,657
622221	239	Akha	jaw ̬jaw ̬		surround, go around				6.7.6	217	0			5682,5682
