rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
55423	803	Kokborok	kʰi=pli	kʰi=pli	slimy, as of mud	slimy, as of mud			5.1		0			
55424	803	Kokborok	pi-plaʔ	pi-plaʔ	lightning	lightning			3.2.1		0			
55425	803	Kokborok	pʰi-koŋ	pʰi-koŋ	back	back			1.4.8		0			p,1
55426	803	Kokborok	pʰi	pʰi	return	return			6.2.2.1		0			
55427	803	Kokborok	bi	bi	fly	fly			2.2.6		0			
55428	803	Kokborok	bi	bi	beg, ask for	beg, ask for			8.5.10.3		0			
55429	803	Kokborok	bi-ši	bi-ši	year	year			9.1.2		0			
55430	803	Kokborok	bi-rauʔ	bi-rauʔ	woman	woman			1.9.3		0			m,m
55431	803	Kokborok	bi-ni	bi-ni	his	his			4.1		0			
55432	803	Kokborok	mi-ši	mi-ši	wet s / thing	wet s / thing	v.	v.	6.6		0			
55433	803	Kokborok	mi-|ni	mi-ni	laugh	laugh			1.8.8.1		0			1105
55434	803	Kokborok	mi-ši	mi-ši	water buffalo	water buffalo			3.2.3		0			b
55435	803	Kokborok	mi-ya	mi-ya	yesterday	yesterday			9.1.3		0			
55436	803	Kokborok	ti-pʰor	ti-pʰor	noon	noon			9.1.4		0			
55437	803	Kokborok	ti-ni	ti-ni	today	today			9.1.3		0			
55438	803	Kokborok	ti-lauʔ	ti-lauʔ	gourd	gourd			3.1.6.4		0			
55439	803	Kokborok	ti-ša	ti-ša	raise	raise			6.7.7		0			
55440	803	Kokborok	tʰi-ki	tʰi-ki	count	count			6.2.2.2		0			
55441	803	Kokborok	bə=tʰi	bə=tʰi	medicine	medicine			5.4		0			
55442	803	Kokborok	di	di	urgative	urgative					0			
55443	803	Kokborok	ni-ni	ni-ni	your	your	sing	sing	4.1		0			
55444	803	Kokborok	ri	ri	roll	roll			6.7.6		0			2310
55445	803	Kokborok	ri	ri	clothes, cloth	clothes, cloth			5.11.8.2.1		0			
55446	803	Kokborok	ri-nay	ri-nay	skirt	skirt			5.11.8.2.1		0			
55447	803	Kokborok	ki-či	ki-či	split, torn	split, torn			6.9.3		0			
55448	803	Kokborok	ki-ri	ki-ri	fear	fear			8.3.1.10.1		0			
55449	803	Kokborok	kʰi-lam	kʰi-lam	buttock	buttock			1.4.9.2		0			572,1017
55450	803	Kokborok	kʰi	kʰi	shit	shit			1.8.5		0			572
55451	803	Kokborok	kʰi-kor	kʰi-kor	anus	anus			1.4.10.2		0			572,665
55452	803	Kokborok	kʰi-toŋ	kʰi-toŋ	tail	tail			1.4.10.1		0			m,225
55453	803	Kokborok	kʰri	kʰri	naughty	naughty	be v.	be v.	9.6.2.2		0			
55454	803	Kokborok	ki=kʰri	ki=kʰri	naughty	naughty			9.6.2.2		0			
55455	803	Kokborok	gi-|la	gi-|la	kidney	kidney			1.7.5		0			2812
55456	803	Kokborok	gai-rəin	gai-rəin	field hut	field hut			3.2.5		0			
55457	803	Kokborok	gi-ra	gi-ra	small	small			9.7.2		0			x
55458	803	Kokborok	ši	ši	wet	wet			6.6		0			
55459	803	Kokborok	ši-či	ši-či	tear / rip	tear / rip	v.	v.	1.8.8.1		0			
55460	803	Kokborok	ši-kaŋ	ši-kaŋ	front	front			1.4.4		0			1214,267
55461	803	Kokborok	ši-ka	ši-ka	up	up			9.2.1		0			
55462	803	Kokborok	ši-bi	ši-bi	throw away	throw away			6.12		0			m,5556
55463	803	Kokborok	ši	ši	fan	fan	v.	v.	5.4		0			
55464	803	Kokborok	ši-doʔ	ši-doʔ	vein	vein			1.6.2.1		0			m,m
55465	803	Kokborok	ši-paʔ	ši-paʔ	vagina	vagina					0			1349,662
55466	803	Kokborok	ši-bi	ši-bi	needle	needle			5.1		0			m,5371
55467	803	Kokborok	šni	šni	seven	seven			9.9		0			2505
55468	803	Kokborok	ši	ši	know	know			8.3.1.12.1		0			2670
55469	803	Kokborok	ši-ka	ši-ka	over, location noun	over, location noun			9.2.1		0			
55470	803	Kokborok	ši-lay	ši-lay	gun	gun			5.15		0			
55471	803	Kokborok	či	či	split , tear	split , tear	v.,v.t.	v.,v.t.	6.9.3		0			
55472	803	Kokborok	či-ri	či-ri	shout, cry out	shout, cry out			8.5.4.1		0			
55473	803	Kokborok	či	či	split bamboo	split bamboo			6.9.3		0			
55474	803	Kokborok	či-boʔ	či-boʔ	snake	snake			2.1.6.1		0			m,2178
55475	803	Kokborok	bə=hi	bə=hi	wife	wife			4.7.4		0			
55476	803	Kokborok	i-rə	i-rə	here	here			9.2.3		0			5807,m
55477	803	Kokborok	i	i	this	this			10.4.3.2		0			5807,m
55478	803	Kokborok	i-mə	i-mə	this one	this one			10.4.3.2		0			5807,m
55479	803	Kokborok	ci-tʰi	ci-tʰi	letter	letter			5.1		0			b
55480	803	Kokborok	ani	ani	my	my			10.2.3.2		0			
55481	803	Kokborok	ci-ni	ci-ni	our	our			4.1		0			
55482	803	Kokborok	pe-ra	pe-ra	split bamboo	split bamboo			6.9.3		0			
55483	803	Kokborok	be-ra	be-ra	sheep	sheep			2.1.8		0			p,6031
55484	803	Kokborok	pɛ-čaʔ	pɛ-čaʔ	marrow	marrow			1.6.3.5		0			m,m
55485	803	Kokborok	prɛ	prɛ	pop	pop	v.	v.	9.3		0			
