rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
342515	1802	Kuki-Chin	tahsa	tahsa	body	body			1.1.1	1.1	0			
342516	1802	Kuki-Chin	jet◦lam	jet◦lam	side (right)	side (right)			1.4.5	1.2	0			
342517	1802	Kuki-Chin	vei◦lam	vei◦lam	side (left)	side (left)			1.4.5	1.3	0			2154,m
342518	1802	Kuki-Chin	tungtun	tungtun	back	back			1.4.8	1.4	0			
342519	1802	Kuki-Chin	ma	ma	front	front			1.4.4	1.5	0			1187
342520	1802	Kuki-Chin	tipum lhong	tipum lhong	torso / trunk	torso  /  trunk			1.5.3.2	1.6	0	jbl3		
342521	1802	Kuki-Chin	tibah	tibah	limbs / arms and legs	limbs  /  arms and legs			1.5.3.1	1.7	0	jbl3		
342522	1802	Kuki-Chin	phei	phei	lap	lap			1.4.4.2	1.8	0			
342523	1802	Kuki-Chin	anglum	anglum	bosom	bosom			1.4.4.2	1.9	0			
342524	1802	Kuki-Chin	khal	khal	groin / loins (i.e. hips to thighs)	groin  /  loins (i.e. hips to thighs)			1.4.9	1.10	0	jbl3		5344
342525	1802	Kuki-Chin	sa	sa	flesh / meat	flesh  /  meat			1.1.1.1	1.11	0	jbl3		34
342526	1802	Kuki-Chin	hing	hing	alive / be living	alive  /  be living			1.1.2.1	1.12	0	jbl3		
342527	1802	Kuki-Chin	thi	thi	die / be dead	die  /  be dead			1.1.6	1.13	0	jbl3		
342528	1802	Kuki-Chin	thilong	thilong	corpse / dead body	corpse  /  dead body			1.1.6.1	1.14	0	jbl3		
342529	1802	Kuki-Chin	sakichan	sakichan	carcass / dead animal	carcass  /  dead animal			1.1.6.1	1.15	0	jbl3		
342530	1802	Kuki-Chin	ih◦mu	ihmu	sleep /  be asleep	sleep  /   be asleep			1.1.4.1	1.16	0	jbl3		127,m
342531	1802	Kuki-Chin	khang	khang	awake / be awake	awake  /  be awake			1.1.4	1.17	0	jbl3		5340
342532	1802	Kuki-Chin	mu◦mang	mumang	dream	dream (v.)	v		1.1.4.2	1.18	0	dwb21		m,126
342533	1802	Kuki-Chin	lu◦chang	luchang	head	head			1.2.1	2.1	0			1221,m
342534	1802	Kuki-Chin	lu◦yang	luyang	top of head / crown / pate	top of head  /  crown  /  pate			1.2.1.2	2.2	0	jbl3		1221,m
342535	1802	Kuki-Chin	phudip	phudip	fontanel (soft spots in baby skull)	fontanel (soft spots in baby skull)			1.2.1.3	2.3	0			
342536	1802	Kuki-Chin	lugu	lugu	skull	skull			1.2.1.1	2.4	0			
342537	1802	Kuki-Chin	lhoh	lhoh	brain (= 9.1 )	brain (=  9.1  )			1.2.4	2.5	0	jbl3		
342538	1802	Kuki-Chin	nahko long	nahko long	sinus	sinus			1.2.8.1	2.6	0			
342539	1802	Kuki-Chin	sam	sam	hair of head (= 8.1.1)	hair of head (=  8.1.1)			1.2.3	2.7	0	jbl3		366
342540	1802	Kuki-Chin	lulip	lulip	scalp	scalp			1.2.1.5	2.8	0			
342541	1802	Kuki-Chin	ah soung	ah soung	comb (of rooster)	comb (of rooster)			1.2.2.1	2.9	0			
342542	1802	Kuki-Chin	sa◦ki	saki	horn (of animal)	horn (of animal)			1.2.2	2.10	0			m,2012
342543	1802	Kuki-Chin	sazuh	sazuh	antler (of deer)	antler (of deer)			1.2.2	2.11	0			
342544	1802	Kuki-Chin	mai	mai	face	face			1.2.5	3.1	0			
342545	1802	Kuki-Chin	chal◦pang	chalpang	forehead / brow	forehead  /  brow			1.2.5.1	3.2	0	jbl3		384,m
342546	1802	Kuki-Chin	mitko	mitko	temple	temple			1.2.5.1	3.3	0			
342547	1802	Kuki-Chin	mit	mit	eye	eye			1.2.6	3.4	0			682
342548	1802	Kuki-Chin	mitgei	mitgei	eyelid	eyelid			1.2.6.4	3.4.1	0			
342549	1802	Kuki-Chin	mitchang	mitchang	eyeball	eyeball			1.2.6.1	3.4.2	0			
342550	1802	Kuki-Chin	mitlaisungnung	mitlaisungnung	iris	iris			1.2.6.2	3.4.2.1	0			
342551	1802	Kuki-Chin	mitlaivom	mitlaivom	pupil	pupil			1.2.6.2	3.4.2.2	0			
342552	1802	Kuki-Chin	mit kang	mit kang	white of eye	white of eye			1.2.6.3	3.4.2.3	0			682,5334
342553	1802	Kuki-Chin	mutchung mul	mutchung mul	eyebrow	eyebrow			1.2.6.6	3.4.3	0			
342554	1802	Kuki-Chin	mitgei mul	mitgei mul	eyelash	eyelash			1.2.6.5	3.4.4	0			
342555	1802	Kuki-Chin	mitphet	mitphet	blink	blink (v.)	v		1.2.6.12	3.4.5	0	dwb21		
342556	1802	Kuki-Chin	mitlhi	mitlhi	tear	tear (n.)	n		1.8.8.1	3.4.6	0	dwb33		
342557	1802	Kuki-Chin	mit let	mit let	eye sand	eye sand			1.2.6.8	3.4.7	0			682
342558	1802	Kuki-Chin	kap	kap	cry  /  weep	cry  /  weep (v.)	v		1.8.8.2	3.4.8	0	dwb21		1103
342559	1802	Kuki-Chin	mu	mu	see  /  look	see  /  look (v.)	v		1.2.6.10	3.4.9	0	dwb21		4880
342560	1802	Kuki-Chin	mit◦cho	mitcho	blind	blind			1.2.6.14.2	3.4.10	0			682,m
342561	1802	Kuki-Chin	nah	nah	nose	nose			1.2.8	3.5	0			803
342562	1802	Kuki-Chin	nah◦lhong	nah◦lhong	nose bridge	nose bridge			1.2.8	3.5.1	0			803,m
342563	1802	Kuki-Chin	nahko	nahko	nostril	nostril			1.2.8.1	3.5.2	0			
342564	1802	Kuki-Chin	nah◦let	nah◦let	alae nasi (nose flaps)	alae nasi (nose flaps)			1.2.8.2	3.5.3	0			803,m
342565	1802	Kuki-Chin	nah◦mul	nah◦mul	nose hair	nose hair			1.2.8	3.5.4	0			803,363
342566	1802	Kuki-Chin	vohcha nah muh	vohcha nah muh	snout (of pig, etc.)	snout (of pig, etc.)			1.2.8	3.5.5	0			
342567	1802	Kuki-Chin	nap	nap	liquid mucus	liquid mucus			3.2.3	3.5.6	0			805
342568	1802	Kuki-Chin	nahkhi	nahkhi	solid mucus	solid mucus			1.1.5	3.5.7	0			
342569	1802	Kuki-Chin	nap◦nit	napnit	blow nose	blow nose (v.)	v		1.3.1.4	3.5.8	0	dwb21		805,m
342570	1802	Kuki-Chin	nah	nah	smell  /  sniff	smell  /  sniff (v.)	v		1.2.8.5	3.5.9	0	dwb21		
342571	1802	Kuki-Chin	bil	bil	ear	ear			1.2.7	3.6	0			4022
342572	1802	Kuki-Chin	bil◦kol	bilkol	outer ear	outer ear			9.2	3.6.2	0			4022,m
342573	1802	Kuki-Chin	bil◦sungnung	bilsungnung	inner ear	inner ear			9.2.5	3.6.3	0			4022,m
342574	1802	Kuki-Chin	bil◦hom	bilhom	ear canal	ear canal			1.2.7	3.6.4	0			4022,m
342575	1802	Kuki-Chin	naakong	naakong	eardrum	eardrum			1.2.7.2	3.6.5	0			
342576	1802	Kuki-Chin	bilhom	bilhom	earwax	earwax			1.2.7.3	3.6.6	0			
342577	1802	Kuki-Chin	zah	zah	hear	hear (v.)	v		1.2.7.4	3.6.7	0	dwb21		
