rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
144800	581	Garo (Bangladesh)	a'n-	a'n-	body	body		1.1.1		0		3413
144801	581	Garo (Bangladesh)	a'n-chi	a'n-chi	blood	blood		1.6.2		0		m,230
144802	581	Garo (Bangladesh)	a-tom	a-tom	stomach, where the food goes, inner body part	stomach, where the food goes, inner body part		1.7.6		0		
144803	581	Garo (Bangladesh)	be'-en	be'-en|	meat, flesh, body;meat of a vegetable, in contrast to the greens	meat, flesh, body;meat of a vegetable, in contrast to the greens		1.1.1.1		0		22,m
144804	581	Garo (Bangladesh)	be'-en-bi-mang	be'-en|-bi-mang	whole body	whole body		7.1.6.2		0		22,m,22,17
144805	581	Garo (Bangladesh)	be'l-bok-bok	be'l-bok-bok	fat, of people, cows, etc.	fat, of people, cows, etc.		1.6.4		0		
144806	581	Garo (Bangladesh)	be'l-dom-dom	be'l-dom-dom	fat, of people	fat, of people		1.6.4		0		
144807	581	Garo (Bangladesh)	bi-bik	bi-bik	"intestines, inner edge of bamboo (opposite to green ""back"" edge)"	"intestines, inner edge of bamboo (opposite to green ""back"" edge)"		10.1.1		0		p,164
144808	581	Garo (Bangladesh)	bi-bil	bi-bil	womb	womb				0		677,m
144809	581	Garo (Bangladesh)	bi-jol	bi-jol	pus	pus		1.8.6.1		0		
144810	581	Garo (Bangladesh)	bi-ka	bi-ka	liver	liver		1.7.3		0		m,229
144811	581	Garo (Bangladesh)	bi-kit	bi-kit	"gall bladder, bitter body part, said to contain black ""bit-chi"" and it is said that the ""jang-gi"" is there"	"gall bladder, bitter body part, said to contain black ""bit-chi"" and it is said that the ""jang-gi"" is there"		8.5.10.1		0		
144812	581	Garo (Bangladesh)	bi-mang	bi-mang	body of person or thing, shape, form; middle portion of an object, such as a glass	body of person or thing, shape, form; middle portion of an object, such as a glass		9.7.1		0		22,17
144813	581	Garo (Bangladesh)	bi-rong	bi-rong	iris	iris		1.2.6.2		0		m,m
144814	581	Garo (Bangladesh)	bik-chrap	bik-chrap	membrane of intestine	membrane of intestine		1.6.5		0		164,m
144815	581	Garo (Bangladesh)	bik-ma	bik-ma	belly, outer	belly, outer		1.4.7		0		
144816	581	Garo (Bangladesh)	bik-ma prot-chu-chu	bik-ma prot-chu-chu	very big and round-bellied	very big and round-bellied		7.1.2.2		0		
144817	581	Garo (Bangladesh)	bik-ma rong-dal-a	bik-ma rong-dal-a	round-bellied, eaten well	round-bellied, eaten well		9.7.1		0		
144818	581	Garo (Bangladesh)	bol-cha-a	bol-cha-a	tall	tall		9.7.2		0		
