rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
514672	1627	Wanang	cak-toŋ	cak-toŋ	hand	hand		1.5.1.1	441	0		699,711
514673	295	Atong	cak	cak	hand	hand		1.5.1.1	441	0		699
516183	355	Bodo	aʔ-kaiʔ	aʔ-kaiʔ	hand	hand		1.5.1.1	441	0		p,739
516194	355	Bodo	gaʔŋ	gaʔŋ	wing, feather	wing, feather		1.5.1.3	445	0		720
516207	1627	Wanang	ka-|raŋ	ka-raŋ	wing, feather	wing, feather		1.5.1.3	445	0		720
533226	2064	*Bodo-Garo	nok	nok	house	house		5.11.9.1	442	0		
533227	2064	*Bodo-Garo	mat	mat	animal	animal		2.3	440	0		
533228	2064	*Bodo-Garo	tV-pla	tV-pla	ashes	ashes		3.2.12.2	440	0		2691,2560
533229	2064	*Bodo-Garo	gəl	gəl	back	back		1.4.8	440	0		201
533230	2064	*Bodo-Garo	waʔ	waʔ	bamboo	bamboo		3.1.1	440	0		2549
533231	2064	*Bodo-Garo	k(o)k	k(o)k	basket	basket		5.1	440	0		1617
533232	2064	*Bodo-Garo	dauʔ	dauʔ	bird	bird		2.2.4	440	0		1604
533233	2064	*Bodo-Garo	təi(ʔ)	təi(ʔ)	blood	blood		1.6.2	440	0		230
533234	2064	*Bodo-Garo	gre'ŋ	gre'ŋ	bone	bone		1.6.3	440	0		238
533235	2064	*Bodo-Garo	kam	kam	burn	burn		3.2.12.1	440	0		
533236	2064	*Bodo-Garo	sa	sa	child	child		1.5.3.2	440	0		1012
533237	2064	*Bodo-Garo	s(k)ur	s(k)ur	claw	claw		1.5.10.4	440	0		414?
533238	2064	*Bodo-Garo	ram	ram	cloud	cloud		3.2.1	440	0		
533239	2064	*Bodo-Garo	cək	cək	cold	cold		7.1.2.3	440	0		443
533240	2064	*Bodo-Garo	pəi	pəi	come	come		6.7.1	440	0		446
533241	2064	*Bodo-Garo	m(a)-(s)u	m(a)-(s)u	cow	cow		2.1.2	440	0		
533242	2064	*Bodo-Garo	d(a)ʔn	d(a)ʔn	cut	cut		6.9.3	440	0		3563
533243	2064	*Bodo-Garo	sal	sal	day-sun	day-sun		1.5.3.2	440	0		2753
533244	2064	*Bodo-Garo	təi	təi	die	die		1.1.6	440	0		27
533245	2064	*Bodo-Garo	cauʔ	cauʔ	dig	dig		6.11	440	0		4532
533246	2064	*Bodo-Garo	ləŋ	ləŋ	drink	drink			440	0		1705
533247	2064	*Bodo-Garo	raʔn	raʔn	dry	dry		6.6	440	0		7198
533248	2064	*Bodo-Garo	na	na	ear	ear		1.2.7	441	0		811
533249	2064	*Bodo-Garo	haʔ	haʔ	earth	earth		3.2.11	441	0		2284
533250	2064	*Bodo-Garo	dauʔ-dəi	dauʔ-dəi	egg	egg			441	0		1604,300
533251	2064	*Bodo-Garo	m(ə)k-( )	m(ə)k-( )	eye	eye		1.2.6	441	0		682,m
533252	2064	*Bodo-Garo	c(a)ʔl	c(a)ʔl	far	far		9.2.4	441	0		1779
533253	2064	*Bodo-Garo	waŋ	waŋ	father's younger brother	father's younger brother		1.5.3.2	441	0		2183
533254	2064	*Bodo-Garo	gV	gV	fear	fear		8.3.1.10.1	441	0		
533255	2064	*Bodo-Garo	waʔr	waʔr	fire	fire		3.2.12.2	441	0		2152
533256	2064	*Bodo-Garo	naʔ	naʔ	fish	fish		2.2.5	441	0		1455
533257	2064	*Bodo-Garo	b(aŋ)-a	b(aŋ)-a	five	five		9.9	441	0		1306,m
533258	2064	*Bodo-Garo	bar	bar	flower	flower		3.1.4	441	0		2153
