rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
58672	539	Trung [Dulong] (Dulonghe)	ka⁵⁵	ka⁵⁵	bitter	bitter			7.1.4.4	1	0			229
58673	541	Trung [Dulong] (Nujiang)	kha⁵³	kha⁵³	bitter	bitter			7.1.4.4	1	0			229
58674	1577	Tibetan (Written)	kha-ba	kha-ba	bitter	bitter			7.1.4.4	1	0			229,s
58675	407	Burmese (Written)	khà	khà	bitter	bitter			7.1.4.4	1	0			229
58676	983	Lushai [Mizo]	kha	kha	bitter	bitter			7.1.4.4	1	0			229
58677	539	Trung [Dulong] (Dulonghe)	tak⁵⁵ ka⁵⁵	tak⁵⁵ ka⁵⁵	crow	crow			2.2.4.1	2	0			m,2279
58678	541	Trung [Dulong] (Nujiang)	taŋ³¹ kha⁵⁵	taŋ³¹ kha⁵⁵	crow	crow			2.2.4.1	2	0			m,2279
58679	1577	Tibetan (Written)	kha-tha	kha-tha	crow, raven	crow, raven			2.2.4.1	2	0			2279,m
58680	684	Jingpho	kha	kha	crow	crow			2.2.4.1	2	0			2279
58681	407	Burmese (Written)	khì-kàn	khì-kàn	crow	crow			2.2.4.1	2	0			m,2279
58682	1333	Anong (Rawang)	thaŋ-kha	thaŋ-kha	crow	crow			2.2.4.1	2	0		D0	m,2279
58683	1607	Trung [Dulong]	tak-ka	tak-ka	crow	crow			2.2.4.1	2	0			m,2279
58684	206	Achang (Longchuan)	kha³¹ nɔʔ⁵⁵	kha³¹ nɔʔ⁵⁵	crow	crow			2.2.4.1	2	0			
58685	208	Achang (Luxi)	ka⁵⁵ naʔ³¹	ka⁵⁵ naʔ³¹	crow	crow			2.2.4.1	2	0			
58686	539	Trung [Dulong] (Dulonghe)	pai⁵⁵ kɔʔ⁵⁵	pai⁵⁵ kɔʔ⁵⁵	basket	basket			5.1	3	0			
58687	541	Trung [Dulong] (Nujiang)	tɯ³¹ kɔʔ⁵⁵	tɯ³¹ kɔʔ⁵⁵	basket	basket			5.1	3	0			
58688	1577	Tibetan (Written)	khug-ma	khug-ma	pouch	pouch				3	0			1617,m
58689	578	Garo	khok	khok	basket	basket			5.1	3	0			1617
58690	899	Lepcha	kóm ba-guk	kóm ba-guk	purse	purse			5.11.8.2.2	3	0			m,m,1617
58691	539	Trung [Dulong] (Dulonghe)	kɯ⁵⁵	kɯ⁵⁵	steal	steal			6.2.2.1	4	0			
58692	541	Trung [Dulong] (Nujiang)	khɯ⁵³	khɯ⁵³	steal	steal			6.2.2.1	4	0			
58693	1577	Tibetan (Written)	rku-ba	rku-ba	steal	steal			6.2.2.1	4	0			2365,s
58694	684	Jingpho	ləgu	ləgu	steal	steal			6.2.2.1	4	0			2365
58695	407	Burmese (Written)	khui	khui	steal	steal			6.2.2.1	4	0			2365
58696	1203	Anong	khü	khü	steal	steal			6.2.2.1	4	0			
58697	539	Trung [Dulong] (Dulonghe)	u⁵⁵ kɯm⁵⁵	u⁵⁵ kɯm⁵⁵	pillow	pillow			1.2.1	5	0			m,692
58698	541	Trung [Dulong] (Nujiang)	u⁵³ kɯm⁵³	u⁵³ kɯm⁵³	pillow	pillow			1.2.1	5	0			m,692
58699	684	Jingpho	buŋ-khum	buŋ-khum	pillow	pillow			1.2.1	5	0			m,692
58700	1203	Anong	əgɔ məkhim	əgɔ məkhim	pillow	pillow			1.2.1	5	0			m,692
58701	843	Lahu	ú-gɛ̂	ú-gɛ̂	pillow	pillow			1.2.1	5	0			385,692
58702	407	Burmese (Written)	khum	khum	pillow	pillow			1.2.1	5	0			692
58703	983	Lushai [Mizo]	khum	khum	pillow	pillow			1.2.1	5	0			692
58704	539	Trung [Dulong] (Dulonghe)	a³¹ kɯ⁵³	a³¹ kɯ⁵³	uncle	uncle			4.7.1	6	0			
58705	541	Trung [Dulong] (Nujiang)	a³¹ khɯ⁵³	a³¹ khɯ⁵³	uncle	uncle			4.7.1	6	0			
58706	1577	Tibetan (Written)	ʔa◦khu	ʔakhu	uncle	uncle			4.7.1	6	0			p,2362
58707	407	Burmese (Written)	kui	kui	uncle	uncle			4.7.1	6	0			2362
58708	684	Jingpho	ku	ku	uncle	uncle			4.7.1	6	0			2362
58709	1203	Anong	əkhö	əkhö	uncle	uncle			4.7.1	6	0			
58710	278	Ao (Chungli)	o◦khu	o◦khu	uncle	uncle			4.7.1	6	0			p,2362
58711	1075	Mishing [Miri]	ə◦kü	ə◦kü	uncle	uncle			4.7.1	6	0			p,2362
58712	539	Trung [Dulong] (Dulonghe)	mɯ³¹ kai⁵⁵	mɯ³¹ kai⁵⁵	chin	chin			1.2.5.3	7	0			p,273
58713	541	Trung [Dulong] (Nujiang)	mɯ³¹ kai⁵⁵	mɯ³¹ kai⁵⁵	chin	chin			1.2.5.3	7	0			p,273
58714	1203	Anong	məkha	məkha	chin	chin			1.2.5.3	7	0			273
58715	684	Jingpho	n◦kha~niŋ◦kha	n◦kha~niŋ◦kha	chin	chin			1.2.5.3	7	0			p,273,p,273
58716	983	Lushai [Mizo]	kha	kha	chin	chin			1.2.5.3	7	0			273b
58717	1513	Thado	kha	kha	chin	chin			1.2.5.3	7	0		u	273b
58718	539	Trung [Dulong] (Dulonghe)	ka⁵⁵	ka⁵⁵	word, speech	word,speech			8.5.10.2	8	0		D0	1754
58719	541	Trung [Dulong] (Nujiang)	ka⁵⁵	ka⁵⁵	word, speech	word,speech			8.5.10.2	8	0		D0	1754
58720	1577	Tibetan (Written)	b◦ka~skad	bka~skad	word, speech	word,speech			8.5.10.2	8	0			p,1754,m
58721	407	Burmese (Written)	tsa-ka	tsa-ka	word, speech	word,speech			8.5.10.2	8	0			m,1754
58722	684	Jingpho	gà~sə◦gà	gà~səgà	word, speech	word,speech			8.5.10.2	8	0			1754,m,1754
58723	1203	Anong	kha	kha	word, speech	word,speech			8.5.10.2	8	0			1754
58724	539	Trung [Dulong] (Dulonghe)	śiŋ⁵⁵ aŋ³¹ kɔʔ⁵⁵	śiŋ⁵⁵ aŋ³¹ kɔʔ⁵⁵	branch	branch			1.5.3.1	9	0			2658,m,m
58725	541	Trung [Dulong] (Nujiang)	śɯŋ⁵⁵ aŋ³¹ kɔʔ⁵⁵	śɯŋ⁵⁵ aŋ³¹ kɔʔ⁵⁵	branch	branch			1.5.3.1	9	0			2658,m,m
58726	407	Burmese (Written)	a◦khak	akhak	branch	branch			1.5.3.1	9	0			p,1278
58727	843	Lahu	ɔ̀-qá	ɔ̀-qá	branch	branch			1.5.3.1	9	0			5450,1278
58728	983	Lushai [Mizo]	kaak	kaak	fork of tree	fork of tree			1.4.9.1	9	0			1278
