rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
60886	822	Kulung	əəyo	əəyo	thin	thin			9.7.2		0			
60887	822	Kulung	ək-u	ək-u	peel	peel	v.	v.	1.5.3.2		0			m,m
60888	822	Kulung	ək-a	ək-a	crow	crow	v.	v.	2.2.4.1		0			
60889	822	Kulung	ət-a	ət-a	break	break	v.	v.	9.5		0			
60890	822	Kulung	əntəkə	əntəkə	this kind of	this kind of			10.4.3.2		0			
60891	822	Kulung	əlhoho	əlhoho	clear sky after rain	clear sky after rain			9.6.1.1		0			
60893	822	Kulung	ləy-ə	ləy-ə	feel [he feels]	feel [he feels]	v.	v.	8.4		0			
60894	822	Kulung	atka	atka	before / earlier	before / earlier			9.1.5		0			
60895	822	Kulung	att-a	att-a	return	return	v.	v.	6.2.2.1		0			
60896	822	Kulung	athui	athui	before / earlier	before / earlier			9.1.5		0			
60897	822	Kulung	anˍ	anˍ	you (sg.)	you (sg.)			4.1		0			
60898	822	Kulung	anca	anca	you (du.) (erg.)	you (du.) (erg.)			4.1		0			
60899	822	Kulung	anci	anci	you (du.)	you (du.)			4.1		0			
60900	822	Kulung	anuch-u	anuch-u	return, give back	return, give back	v.	v.	6.2.2.1		0			
60901	822	Kulung	anni	anni	you	you	pl.	pl.	4.1		0			
60902	822	Kulung	ap-u	ap-u	shoot	shoot	v.	v.	6.2.2.1		0			2232,m
60903	822	Kulung	app-u	app-u	bounce, ? fly off	bounce, ? fly off	v.	v.	6.7.7		0			
60904	822	Kulung	alpa	alpa	lazy	lazy			9.6.2.2		0			
60905	822	Kulung	ase	ase	who?	who?			10.5.3		0			
60906	822	Kulung	askəi	askəi	which?	which?			10.5.3		0			
60907	822	Kulung	aspi	aspi	whom	whom	v.	v.	10.5.3		0			
60908	822	Kulung	asloi	asloi	with whom	with whom			10.1.1		0			
60909	822	Kulung	aslai	aslai	who? (erg.)	who? (erg.)			10.5.3		0			
60910	822	Kulung	asmi	asmi	whose?	whose?			10.5.3		0			
60911	822	Kulung	ikhi	ikhi	here	here			9.2.3		0			5807,m
60912	822	Kulung	ini	ini	this year	this year			10.4.3.2		0			5807,m
60913	822	Kulung	iniba	iniba	now, these days	now, these days			9.1.5		0			
60914	822	Kulung	ibumə	ibumə	one	one			9.9		0		D1	
