rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
291948	879	Lalo	á-tí	á-tí	long time, a while	a long time, a while	n	9.7.2		0		
291949	879	Lalo	goq	goq	afraid / be afraid	afraid / be afraid		7.1.1		0		2249
291950	879	Lalo	thỳ	thỳ	age	age		9.1.2		0		
291951	879	Lalo	sjìq	sjìq	air / breath / steam	air / breath / steam		1.1.2.2		0		32
291952	879	Lalo	tì	tì	alone / single	alone / single		7.1.6.1		0		
291953	879	Lalo	fì-phà	fì-phà	ancestors	ancestors		4.7.1		0		
291954	879	Lalo	poq	poq	answer	answer		8.5.6		0		
291955	879	Lalo	á-zjoq	á-zjoq	ant	ant		2.2.6		0		
291956	879	Lalo	ʔmá-khá	ʔmá-khá	apron	apron		5.11.8.2.2		0		
291957	879	Lalo	tjhí	tjhí	arrive	arrive		6.7.1		0		
291958	879	Lalo	diq	diq	ascend / go up	ascend / go up		6.7.7		0		1722
291959	879	Lalo	á-djỳq	á-djỳq	ash tree, Chinese prickly (hua	ash tree, Chinese prickly (hua		3.2.12.2		0		
291960	879	Lalo	khù-tshá	khù-tshá	ashes	ashes		3.2.12.2		0		
291961	879	Lalo	ʔná-Ní	ʔná-Ní	ask (a question)	ask (a question)		8.5.7.1		0		
291962	879	Lalo	tshe	tshe	ask / invite	ask / invite		8.5.7.1		0		
291963	879	Lalo	djá	djá	askew	askew		7.1.5.4		0		
291964	879	Lalo	tshìq	tshìq	astringent	astringent		7.1.4.4		0		
291965	879	Lalo	á-tshoq	á-tshoq	axe	axe		5.11.5.3		0		
291966	879	Lalo	djù	djù	bad temper	bad temper		9.6.2.1		0		
291967	879	Lalo	phiq	phiq	bad / evil	bad / evil		9.6.2.1		0		
291968	879	Lalo	pàq-kjhè	pàq-kjhè	bag / sack	bag / sack				0		
291969	879	Lalo	là-bə̀	là-bə̀	Bai	Bai				0		
291970	879	Lalo	ʔniq-biq	ʔniq-biq	bajiao-banana	bajiao-banana		3.1.5		0		
291971	879	Lalo	ʔnàq-khoq	ʔnàq-khoq	bamboo hat	bamboo hat		3.1.1		0		
291972	879	Lalo	má-dzí	má-dzí	bamboo	bamboo		3.1.1		0		5664,m
291973	879	Lalo	ʔlu	ʔlu	bark	bark	v	2.1.11.1		0		1790
291974	879	Lalo	tjhə́	tjhə́	barking deer / muntjac	barking deer / muntjac		2.1.11.1		0		
291975	879	Lalo	zi	zi	barley	barley		3.1.4		0		
291976	879	Lalo	gə̀	gə̀	barren / sterile	barren / sterile		1.9.6.2		0		
291977	879	Lalo	kjhaq-lú	kjhaq-lú	basket	basket		5.1		0		
291978	879	Lalo	ŋá	ŋá	be (copula)	be (copula)		10.4.1.1		0		
291979	879	Lalo	tjhó	tjhó	among	be among	be v.	9.2.5		0		
291980	879	Lalo	djiq	djiq	be at	be at		10.4.1.1		0		
291981	879	Lalo	ní	ní	inside	be inside	be v.	9.2.5		0		
291982	879	Lalo	ʔlòq	ʔlòq	be of age / have age	be of age / have age		9.1.2		0		
291983	879	Lalo	pe	pe	be on / on	be on / on		10.1.1		0		
291984	879	Lalo	á-noq	á-noq	bean	bean		3.1.4		0		
291985	879	Lalo	ʔmò-tshoq	ʔmò-tshoq	beard	beard		1.2.5.5		0		
291986	879	Lalo	tho	tho	beat / smash	beat / smash		6.8		0		
291987	879	Lalo	má-sjí	má-sjí	bedbug	bedbug		2.2.6		0		m,2652
291988	879	Lalo	tshà-bà	tshà-bà	bee	bee		2.2.6		0		7798?,m
291989	879	Lalo	bà-sjò	bà-sjò	beeswax	beeswax		2.2.6		0		2187,5802
291990	879	Lalo	ɣə̀	ɣə̀	big	big		9.7.2		0		
291991	879	Lalo	ky-tý	ky-tý	bird nest	bird nest		2.2.4		0		
291992	879	Lalo	á-niq	á-niq	bird	bird		2.2.4		0		p,3442
291993	879	Lalo	khòq	khòq	bite	bite		1.3.4.4		0		755
291994	879	Lalo	khà	khà	bitter	bitter		7.1.4.4		0		229
291995	879	Lalo	niq	niq	black	black		9.4		0		2483
291996	879	Lalo	kje	kje	black pregnancy-spots	black pregnancy-spots		9.4		0		
291997	879	Lalo	seːǹ-pì	seːǹ-pì	bladder	bladder		1.7.8		0		
291998	879	Lalo	la-té	la-té	blind	blind		1.2.6.14.2		0		
291999	879	Lalo	sì	sì	blood	blood		1.6.2		0		230
292000	879	Lalo	viq	viq	blossom	blossom		3.1.4		0		2185
292001	879	Lalo	ʔmoq	ʔmoq	blow	blow		1.3.1.4		0		503
292002	879	Lalo	xə-ma	xə-ma	bluebottle / blowfly	bluebottle / blowfly				0		
292003	879	Lalo	gú-tjhə̀q	gú-tjhə̀q	body	body		1.1.1		0		
292004	879	Lalo	tjìq	tjìq	boil / cook	boil / cook		6.6		0		
292005	879	Lalo	ɣə́-tsí-baq	ɣə́-tsí-baq	boiled water	boiled water		6.6		0		1013,m,m
292006	879	Lalo	ù-dá(q)-tsiq	ù-dá(q)-tsiq	bone	bone		1.6.3		0		
292007	879	Lalo	pá	pá	borrow	borrow		6.22		0		
292008	879	Lalo	bé	bé	bottle	bottle		5.1		0		
292009	879	Lalo	á-mòq-ty-ly	á-mòq-ty-ly	bottle gourd	bottle gourd		5.1		0		
292010	879	Lalo	á-kjè	á-kjè	bowl	bowl		5.1		0		
292011	879	Lalo	ʔnòq	ʔnòq	brain	brain		1.2.4		0		243
292012	879	Lalo	há-phè	há-phè	bran / chaff	bran / chaff		3.1.4		0		
292013	879	Lalo	kàq-lìq	kàq-lìq	branch	branch		1.5.3.1		0		1278,m
292014	879	Lalo	tiq	tiq	brew (tea) / infuse	brew (tea) / infuse		5.5		0		
292015	879	Lalo	ba	ba	bright / shining	bright / shining		7.1.11.1		0		5517
292016	879	Lalo	ka	ka	bring along	bring along		6.2.2.2.2		0		
292017	879	Lalo	gə́-siq	gə́-siq	broom	broom		5.4		0		
292018	879	Lalo	sjá-dá	sjá-dá	brown sugar	brown sugar		9.4		0		
292019	879	Lalo	pə̀	pə̀	brush	brush	v	5.11.8.4		0		
292020	879	Lalo	ɣə́-fùq	ɣə́-fùq	bubble	bubble		3.2.3		0		
292021	879	Lalo	tàq-phiq	tàq-phiq	bucket	bucket		5.1		0		
292022	879	Lalo	vúːǹ	vúːǹ	buffalo	buffalo		2.1.2		0		
292023	879	Lalo	tí	tí	build	build		6.14		0		
292024	879	Lalo	lýːǹ	lýːǹ	building	building		5.11.9.6		0		
292025	879	Lalo	thyq	thyq	bundle up	bundle up		9.9		0		
292026	879	Lalo	á-sjó-ŋú	á-sjó-ŋú	burial litany	burial litany		6.2		0		
292027	879	Lalo	bá	bá	burn	burn		3.2.12.1		0		
292028	879	Lalo	tsaq	tsaq	burst / crack open	burst / crack open		9.5		0		
292029	879	Lalo	tỳ	tỳ	bury	bury		6.11		0		
292030	879	Lalo	vì-lu	vì-lu	butterfly	butterfly		2.2.6		0		
292031	879	Lalo	dó-piq	dó-piq	buttock	buttock		1.4.9.2		0		
292032	879	Lalo	kə́-taq	kə́-taq	button / knot	button / knot		5.11.8.2.3		0		
292033	879	Lalo	vé	vé	buy	buy		6.22		0		
292034	879	Lalo	kú	kú	call out	call out		8.5.13		0		
292035	879	Lalo	mə́	mə́	call / howl / make sound	call / howl / make sound		8.5.13		0		
292036	879	Lalo	vì	vì	carry on back	carry on back		6.2.2.2.1		0		
292037	879	Lalo	pỳ	pỳ	carry on shoulder	carry on shoulder		1.4.3.3		0		
292038	879	Lalo	à-ni	à-ni	cat	cat		2.1.3		0		
292039	879	Lalo	thú	thú	catch in trap	catch in trap		6.21		0		
292040	879	Lalo	tsoq	tsoq	catch	catch		6.21		0		
292041	879	Lalo	toq	toq	CAUSATIVE	CAUSATIVE		10.4.2.4		0		
292042	879	Lalo	khə́-sjoq	khə́-sjoq	chain	chain		5.1		0		
292043	879	Lalo	jý-kò	jý-kò	cheek tooth	cheek tooth		1.2.5.2		0		
292044	879	Lalo	thàq	thàq	chew / gnaw	chew / gnaw		1.3.4		0		
292045	879	Lalo	á-ní-zà	á-ní-zà	child	child		1.5.3.2		0		
292046	879	Lalo	ǹ-pə́-tú	ǹ-pə́-tú	chin / jaw	chin / jaw		1.2.5.3		0		
292047	879	Lalo	ʔný-dzí	ʔný-dzí	China fir	China fir		3.1.1		0		m,6123
292048	879	Lalo	kjhàq	kjhàq	chipped / cracked	chipped / cracked		3.2.7		0		
292049	879	Lalo	sjý-phə	sjý-phə	chisel	chisel		5.11.5.3		0		
292050	879	Lalo	ɣə̀q	ɣə̀q	chop / cut w. sickle or saw	chop / cut w. sickle or saw		6.9.3		0		2615
292051	879	Lalo	á-djo	á-djo	chopsticks	chopsticks		5.5		0		b?
292052	879	Lalo	kàq-tsiq	kàq-tsiq	clay pitcher	clay pitcher		3.2.11		0		
292053	879	Lalo	xó	xó	clean	clean		6.2.2.5.2		0		
292054	879	Lalo	ʔlú	ʔlú	clever / strong / capable	clever / strong / capable		9.6.1.2		0		
292055	879	Lalo	vàq-tsìq	vàq-tsìq	cliff	cliff		3.2.5		0		
292056	879	Lalo	ʔna	ʔna	climb / rock / play in tree	climb / rock / play in tree		6.7.7		0		
292057	879	Lalo	bỳq	bỳq	cloof	cloof				0		
292058	879	Lalo	tshì	tshì	close (door)	close (door)		6.2.2.6.2		0		
292059	879	Lalo	ʔmé	ʔmé	cloth	cloth		5.1		0		
292060	879	Lalo	pháːjìq-lú	pháːjìq-lú	clothes	clothes		5.11.8.2.1		0		
292061	879	Lalo	tshiq	tshiq	cluster (of bees)	cluster (of bees)	v	10.1.1		0		
292062	879	Lalo	ta	ta	coarse / wide	coarse / wide		7.1.4.2		0		
292063	879	Lalo	á-jiq-kjé	á-jiq-kjé	cock's comb	cock's comb		1.2.2.1		0		p,1606,m
292064	879	Lalo	haq-tjhý	haq-tjhý	cockroach	cockroach		2.2.6		0		
292065	879	Lalo	gù	gù	coffin	coffin		5.8.2.3		0		
292066	879	Lalo	gó	gó	cold	cold		7.1.2.3		0		
292067	879	Lalo	áːǹ-djiq	áːǹ-djiq	cold	cold		7.1.2.3		0		
292068	879	Lalo	kòq	kòq	come by / pass / cross / ford	come by / pass / cross / ford		6.7.10		0		
292069	879	Lalo	ji	ji	come down	come down		6.7.1		0		
292070	879	Lalo	djiq-sá	djiq-sá	comfortable	comfortable		8.3.2.3.1		0		
292071	879	Lalo	taq-pìq	taq-pìq	companion / friend	companion / friend		4.4.2		0		
292072	879	Lalo	kjè	kjè	contagious / disgusting	contagious / disgusting				0		
292073	879	Lalo	ʔmi	ʔmi	cooked / ripe	cooked / ripe		5.5		0		2449
292074	879	Lalo	gə̀	gə̀	copper	copper		3.2.4		0		2247
292075	879	Lalo	mó	mó	corpse	corpse		1.1.6.1		0		
292076	879	Lalo	sá-là	sá-là	cotton	cotton		5.1		0		m,2387
292077	879	Lalo	gó	gó	count / calculate	count / calculate		6.2.2.2		0		
292078	879	Lalo	khá	khá	cover	cover		5.8		0		
292079	879	Lalo	áːǹ	áːǹ	cow	cow		2.1.2		0		
292080	879	Lalo	ỳ	ỳ	cradle in arms (child)	cradle in arms (child)		5.11.9.4		0		
292081	879	Lalo	guq	guq	crash / run into	crash / run into		10.1.1		0		
292082	879	Lalo	bí-iq	bí-iq	craw of hen	craw of hen		2.1.10		0		
292083	879	Lalo	há	há	crops	crops		1.7.6.1		0		
292084	879	Lalo	á-niq-baq	á-niq-baq	crow	crow	n	2.2.4.1		0		
292085	879	Lalo	ví	ví	crow / call out (of rooster)	crow / call out (of rooster)		2.2.4.1		0		
292086	879	Lalo	ŋú	ŋú	cry	cry		1.8.8.2		0		1104
292087	879	Lalo	sè-kjè	sè-kjè	cucumber	cucumber		3.1.5		0		
292088	879	Lalo	khu	khu	curl up / coil	curl up / coil		6.2.2.1		0		
292089	879	Lalo	ɣòq	ɣòq	curved / crooked	curved / crooked		7.1.5.1		0		
292090	879	Lalo	tjho	tjho	customarily	customarily				0		
292091	879	Lalo	djaq	djaq	cut out parts of clothes	cut out parts of clothes		6.9.3		0		
292092	879	Lalo	thoq	thoq	cut	cut		6.9.3		0		
292093	879	Lalo	xá	xá	cut	cut		6.9.3		0		
292094	879	Lalo	ɣa-khjaq	ɣa-khjaq	dance	dance		6.7.9		0		521,m
292095	879	Lalo	ì-jaq	ì-jaq	dandruff	dandruff		1.2.1.5		0		
292096	879	Lalo	khə̀-ma	khə̀-ma	daughter-in-law	daughter-in-law		4.7.4		0		2348,m
292097	879	Lalo	n, ʔnə	n, ʔnə	day / day of	day / day of		1.5.3.2		0		
292098	879	Lalo	ʔnà-bò	ʔnà-bò	deaf	deaf		1.2.7.5		0		
292099	879	Lalo	ʔnìq	ʔnìq	deep	deep		7.1.5.3		0		6130
292100	879	Lalo	tjhiq	tjhiq	deer	deer		2.2.2		0		
292101	879	Lalo	phà-zà	phà-zà	descendants	descendants		4.7.5		0		
292102	879	Lalo	tjỳ-ɣə́	tjỳ-ɣə́	dew	dew				0		59,1013
292103	879	Lalo	xə́	xə́	die	die		1.1.6		0		
292104	879	Lalo	kù	kù	dig	dig		6.11		0		
292105	879	Lalo	Niq-tsí	Niq-tsí	dirty	dirty		3.2.11		0		
292106	879	Lalo	ɣə́-khà	ɣə́-khà	ditch	ditch		3.2.7		0		1013,5668
292107	879	Lalo	mə	mə	dizzy	dizzy		8.3.1.11.3		0		
292108	879	Lalo	pí	pí	do	do		6.1.1.1		0		
292109	879	Lalo	ʔmó	ʔmó	do / perform	do / perform		6.1.1.1		0		
292110	879	Lalo	á-khə̀	á-khə̀	dog	dog		2.1.11		0		p,1764
292111	879	Lalo	thoq-|loqːǹ	thoq-loqːǹ	donkey	donkey		2.1.7		0		5356
292112	879	Lalo	á-kjhàq	á-kjhàq	door	door		5.11.9.3		0		
292113	879	Lalo	à-pə́	à-pə́	dove	dove		2.2.4.1		0		
292114	879	Lalo	sji	sji	drag away	drag away		6.7.10		0		
292115	879	Lalo	lù	lù	dragon	dragon		2.1.5		0		b,bChinese
292116	879	Lalo	ìq-miq	ìq-miq	dream	dream		1.1.4.2		0		127,126
292117	879	Lalo	dó	dó	drink	drink				0		502
292118	879	Lalo	jàq	jàq	drive (cattle etc.)	drive (cattle etc.)		6.7.10		0		
292119	879	Lalo	djə́-ìq	djə́-ìq	drunk	drunk		1.3.5.9		0		m,561
292120	879	Lalo	fe	fe	dry	dry	adj	6.6		0		3298
292121	879	Lalo	tjhí-fè	tjhí-fè	dry rice	dry rice		6.6		0		
292122	879	Lalo	tjhaq	tjhaq	dry	dry	v	6.6		0		
292123	879	Lalo	ʔvá-ma	ʔvá-ma	drying basket (flat, woven)	drying basket (flat,woven)		5.1		0		
