rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
128152	378	Bunan	zuks	zuks	body	body		1.1.1	1.1	0		4
128153	378	Bunan	yàs	yàs	side (right)	side (right)		1.4.5	1.2	0		
128154	378	Bunan	yon	yon	side (left)	side (left)		1.4.5	1.3	0		
128155	378	Bunan	gyap	gyap	back	back		1.4.8	1.4	0		213
128156	378	Bunan	kho◦ci	kho◦ci	backside	backside		1.4.8	1.4	0		211,m
128157	378	Bunan	lak-ban	lak-ban	limbs / arms and legs	limbs  /  arms and legs		1.5.3.1	1.7	0		695,m
128158	378	Bunan	chaskuŋ	chaskuŋ	lap	lap		1.4.4.2	1.8	0		m
128159	378	Bunan	šà	šà	flesh / meat	flesh  /  meat		1.1.1.1	1.11	0		34
128160	378	Bunan	son◦po	son◦po	alive / be living	alive  /  be living		1.1.2.1	1.12	0		77,s
128161	378	Bunan	šì◦ca	šì◦ca	die / be dead	die  /  be dead		1.1.6	1.13	0		27,m
128162	378	Bunan	rò	rò	corpse / dead body	corpse  /  dead body		1.1.6.1	1.14	0		19
128163	378	Bunan	ḍunḍo-rò	ḍunḍo-rò	carcass / dead animal	carcass  /  dead animal		1.1.6.1	1.15	0		m,19
128164	378	Bunan	ips	ips	sleep /  be asleep	sleep  /   be asleep		1.1.4.1	1.16	0		127
128165	378	Bunan	dàn◦jis	dàn◦jis	awake / be awake	awake  /  be awake		1.1.4	1.17	0		
128166	378	Bunan	maŋs rare	maŋs rare	dream	dream (v.)	v.	1.1.4.2	1.18	0		126,m
128167	378	Bunan	pu◦ša	pu◦ša	head	head		1.2.1	2.1	0		385,m
128168	378	Bunan	tshog◦ma	tshog◦ma	fontanel (soft spots in baby s	fontanel (soft spots in baby s		1.2.1.3	2.3	0		2007,s
128169	378	Bunan	kabil	kabil	skull	skull		1.2.1.1	2.4	0		1241
128170	378	Bunan	ḍat◦pa	ḍat◦pa	brain	brain		1.2.4	2.5	0		465,s
128171	378	Bunan	krà	krà	hair of head	hair of head		1.2.3	2.7	0		367
128172	378	Bunan	ru◦co	ru◦co	horn (of animal)	horn (of animal)		1.2.2	2.10	0		814,m
128173	378	Bunan	mod	mod	face	face		1.2.5	3.1	0		1187
128174	378	Bunan	phe◦tar	phetar	forehead / brow	forehead  /  brow		1.2.5.1	3.2	0		384,bNepali
128175	378	Bunan	mig	mig	eye	eye		1.2.6	3.4	0		682
128176	378	Bunan	gyəl◦mo◦tsi	gyəl◦mo◦tsi	eyeball	eyeball		1.2.6.1	3.4.2	0		2072,s,3559
128177	378	Bunan	mik◦spù	mik◦spù	eyebrow	eyebrow		1.2.6.6	3.4.3	0		682,1228
128178	378	Bunan	mik◦spù	mik◦spù	eyelash	eyelash		1.2.6.5	3.4.4	0		682,1228
128179	378	Bunan	mik◦ti	mik◦ti	tears	tears		1.2.6.7	3.4.6	0		682,298
128180	378	Bunan	tyo◦re	tyo◦re	cry  /  weep	cry  /  weep (v.)	v	1.8.8.2	3.4.8	0		m,m
128181	378	Bunan	kən◦ca	kən◦ca	see  /  look	see  /  look (v.)	v	1.2.6.10	3.4.9	0		1229,m
128182	378	Bunan	golba or gyalba	golba or gyalba	blind	blind		1.2.6.14.2	3.4.10	0		m
128183	378	Bunan	gyum◦pug	gyum◦pug	nose	nose		1.2.8	3.5	0		m,806
128184	378	Bunan	gyum◦pug phug	gyum◦pug phug	nostril	nostril		1.2.8.1	3.5.2	0		m,806,164
128185	378	Bunan	gyum◦pug bruša	gyumpug bruša	blow nose	blow nose (v.)	v	1.3.1.4	3.5.8	0		m,806,m
128186	378	Bunan	num◦ca	num◦ca	smell  /  sniff	smell  /  sniff (v.)	v	1.2.8.5	3.5.9	0		1415,m
128187	378	Bunan	re◦tsi	re◦tsi	ear	ear		1.2.7	3.6	0		2083,2082
128188	378	Bunan	re◦kho◦la	re◦kho◦la	earwax	earwax		1.2.7.3	3.6.6	0		2083,2088,m
128189	378	Bunan	hɛn◦ca	hɛn◦ca	hear	hear (v.)	v	1.2.7.4	3.6.7	0		1410,m
128190	378	Bunan	TauN◦a	TauN◦a	deaf	deaf		1.2.7.5	3.6.8	0		1412,s
128191	378	Bunan	aʔ	aʔ	mouth	mouth		1.3.1	3.7	0		474
128192	378	Bunan	ñil	ñil	gums	gums		1.3.4.3	3.7.3	0		504
128193	378	Bunan	pyoŋ pyoŋtsi	pyoŋ pyoŋtsi	uvula	uvula		1.3.5.1	3.7.4	0		
128194	378	Bunan	lati	lati	saliva	saliva		1.8.3	3.7.5	0		
128195	378	Bunan	za◦re	za◦re	eat	eat (v.)	v	1.5.3.2	3.7.6	0		36,s
128196	378	Bunan	tuŋ◦re	tuŋ◦re	drink	drink (v.)	v		3.7.7	0		502,s
128197	378	Bunan	tiskar rare	tiskar rare	thirsty	thirsty	be	1.1.3.1	3.7.8	0		
128198	378	Bunan	khres rare	khres rare	hungry	hungry	be	1.1.3	3.7.9	0		
128199	378	Bunan	kwas◦te	kwas◦te	full / be satiated	full  /  be satiated		1.1.3.2	3.7.10	0		115,m
128200	378	Bunan	thù lo◦ca	thù lo◦ca	spit	spit (v.)	v	1.8.3	3.7.11	0		
128201	378	Bunan	loŋ◦jis	loŋ◦jis	vomit	vomit (n.)	n	1.8.3.2	3.7.12	0		m,m
128202	378	Bunan	loŋ◦ja	loŋ◦ja	vomit	vomit (v.)	v	1.8.3.2	3.7.13	0		m,m
128203	378	Bunan	aʔ alca	aʔ alca	gape  /  open mouth	gape  /  open mouth (v.)	v	1.3.1	3.7.15	0		474,m
128204	378	Bunan	ŋəmstè	ŋəmstè	yawn	yawn (v.)	v	1.3.1.3	3.7.16	0		
128205	378	Bunan	lè	lè	tongue	tongue		1.3.3	3.8	0		621
128206	378	Bunan	phyare	phyare	speak	speak (v.)	v	8.5.10.1	3.8.1	0		
128207	378	Bunan	khì kare	khì kare	stutter / stammer	stutter  /  stammer		8.5.4.5	3.8.2	0		
128208	378	Bunan	hanḍən	hanḍən	mute / dumb	mute  /  dumb		1.5.3.2	3.8.3	0		
128209	378	Bunan	lak◦ca	lak◦ca	lick	lick		1.3.3.1	3.8.4	0		629,m
128210	378	Bunan	ju	ju	lip	lip		1.3.2	3.9	0		442
128211	378	Bunan	chù◦ta	chù◦ta	beak / bill	beak / bill		1.3.1.2	3.9.3	0		442,2095
128212	378	Bunan	ṣed◦de	ṣed◦de	smile	smile (v.)	v	1.8.8.1	3.9.4	0		1108,s
128213	378	Bunan	a◦mbok də◦ca	a◦mbok də◦ca	kiss	kiss		1.3.2.2	3.9.5	0		p,3450,m,m
128214	378	Bunan	suà	suà	tooth	tooth		1.3.4	3.10	0		632
128215	378	Bunan	du◦suà	du◦suà	tooth (incisor)	tooth (incisor)		1.3.4	3.10.1	0		796,632
128216	378	Bunan	grəm suà	grəm suà	molar	molar		1.3.4.2	3.10.2	0		262,632
128217	378	Bunan	kreca	kreca	bite	bite (v.)	v	1.3.4.4	3.10.7	0		
128218	378	Bunan	ruk◦ca	ruk◦ca	chew	chew (v.)	v	1.3.4	3.10.8	0		1760,m
128219	378	Bunan	grəm◦pa	grəm◦pa	cheek	cheek		1.2.5.2	3.11	0		262,s
128220	378	Bunan	əl◦kyo◦tsi	əl◦kyo◦tsi	chin	chin		1.2.5.3	3.12	0		m,m,2055
128221	378	Bunan	ka◦ṭi	ka◦ṭi	jaw	jaw		1.2.5.2	3.13	0		273,2055
128222	378	Bunan	khã◦gul	khã◦gul	neck	neck		1.4.2	4.1	0		3361,496
128223	378	Bunan	bawa	bawa	goiter	goiter		1.4.2.2	4.1.1	0		
128224	378	Bunan	o◦ro	o◦ro	adam's apple / larynx	adam's apple  /  larynx		1.5.3.2	4.1.4	0		490,488
128225	378	Bunan	kog◦ma	kog◦ma	throat / gullet / pharynx	throat / gullet  /  pharynx		1.3.5	4.2	0		486,s
128226	378	Bunan	ŋyoŋ◦ca	ŋyoŋ◦ca	swallow	swallow (v.)	v	1.3.5.6	4.2.3	0		
128227	378	Bunan	kyuk◦ṭoŋ	kyuk◦ṭoŋ	chest	chest		1.4.4.3	5.1	0		3399,289
128228	378	Bunan	ṣib	ṣib	rib	rib		1.4.4.3	5.1.2	0		554
128229	378	Bunan	pum◦pa	pum◦pa	shoulder	shoulder		1.4.3	5.3	0		1327,s
128230	378	Bunan	pumpa phurca	pumpa phurca	shrug shoulders	shrug shoulders (v.)	v	1.4.3.3	5.3.2	0		
128231	378	Bunan	ma◦ma	ma◦ma	breast	breast		1.4.4.3	5.4	0		3457,3457
128232	378	Bunan	pud	pud	nipple	nipple			5.4.1	0		
128233	378	Bunan	ŋəs	ŋəs	udder (of cow, goat)	udder (of cow, goat)			5.4.2	0		
128234	378	Bunan	pel◦tsi	pel◦tsi	milk	milk			5.4.3	0		3467,5539
128235	378	Bunan	pri	pri	colostrum	colostrum			5.4.4	0		
128236	378	Bunan	lək◦ca	lək◦ca	suck	suck		1.3.2.1	5.4.5	0		
128237	378	Bunan	thruk◦ca	thruk◦ca	nurse  /  suckle	nurse  /  suckle (v.)	v	4.2.1.5	5.4.6	0		3462,m
128238	378	Bunan	gyəb	gyəb	back	back		1.4.8	5.5	0		213
128239	378	Bunan	preŋ preŋ◦tsi	preŋ preŋ◦tsi	backbone / spine	backbone / spine		1.4.8.2	5.5.4	0		m,m,418
128240	378	Bunan	kokoʔ	kokoʔ	hunchback	hunchback		1.4.8.3	5.5.6	0		m
128241	378	Bunan	kyet◦pa	kyet◦pa	waist	waist		1.4.6	5.6	0		217,s
128242	378	Bunan	dən	dən	belly / abdomen (outer bulge)	belly  /  abdomen (outer bulge)		1.4.7	5.7	0		m
128243	378	Bunan	por◦tsi	por◦tsi	navel	navel		1.9.4	5.7.1	0		528,519
128244	378	Bunan	coŋ◦gro	coŋ◦gro	hips	hips		1.4.9.2	5.8.1	0		m,215
128245	378	Bunan	coŋ◦gro	coŋ◦gro	buttocks	buttocks		1.4.10	5.10.1	0		m,215
128246	378	Bunan	ŋa◦ma	ŋa◦ma	tail (of animal)	tail (of animal)		1.4.10.1	5.10.3	0		205,s
128247	378	Bunan	khyut◦si	khyut◦si	arm	arm		1.5.1.2	6.1	0		712,m
128248	378	Bunan	kyatiktsi	kyatiktsi	underarm / armpit	underarm  /  armpit		1.5.1.2.3	6.1.1	0		
128249	378	Bunan	kiti kiti likca	kiti kiti likca	tickle	tickle		1.5.1.2.4	6.1.1.1	0		
128250	378	Bunan	khyutsi bal bal	khyutsi bal bal	upperarm	upperarm		1.5.1.2.1	6.1.2	0		
128251	378	Bunan	khyutsi ṭok ṭok	khyutsi ṭok ṭok	elbow	elbow		1.5.8.3	6.1.4	0		
128252	378	Bunan	khyut◦si ṭaŋ ṭaŋ	khyutsi ṭaŋ ṭaŋ	forearm / lower arm	forearm  /  lower arm		1.5.1.2.2	6.1.5	0		712,m,m,m
128253	378	Bunan	laʔ	laʔ	hand	hand		1.5.1.1	6.1.7	0		695
128254	378	Bunan	laʔkthil	laʔkthil	palm	palm		1.5.5	6.1.7.1	0		
128255	378	Bunan	khu◦ṭub	khu◦ṭub	fist	fist		1.5.1.1.1	6.1.7.3	0		712,m
128256	378	Bunan	yaspa laʔ	yaspa laʔ	right hand	right hand		1.5.3.2	6.1.7.4	0		m,695
128257	378	Bunan	yoma laʔ	yoma laʔ	left hand	left hand		1.5.3.2	6.1.7.5	0		m,695
128258	378	Bunan	šok◦pa	šok◦pa	wing (of bird)	wing (of bird)		1.5.1.3	6.1.9	0		731,s
128259	378	Bunan	zermo	zermo	paw (of mammal)	paw (of mammal)		1.5.4	6.1.10	0		
128260	378	Bunan	kaŋ	kaŋ	leg	leg		1.5.7	6.2	0		336
128261	378	Bunan	kaŋ bal bal	kaŋ bal bal	thigh	thigh		1.5.7.1	6.2.1	0		336,m,m
128262	378	Bunan	pus	pus	knee	knee		1.5.8.4	6.2.2	0		436
128263	378	Bunan	kaŋ ṭaŋ ṭaŋ	kaŋ ṭaŋ ṭaŋ	calf	calf		1.5.7	6.2.4	0		336,m,m
128264	378	Bunan	bàŋgi	bàŋgi	ankle	ankle		1.5.8.2	6.2.5	0		
128265	378	Bunan	baŋ	baŋ	foot	foot		1.5.2	6.2.6	0		
128266	378	Bunan	kontsi	kontsi	heel	heel		1.5.2.1	6.2.6.1	0		
128267	378	Bunan	baŋ◦thil	baŋ◦thil	sole	sole		1.5.5	6.2.6.5	0		
