rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
62405	267	Anong	lim⁵³	lim⁵³	bury	bury			6.11		0			
62406	267	Anong	ʈʰı³¹ maŋ³¹	ʈʰı³¹ maŋ³¹	old	old			7.1.8.3		0			m,2440
62407	267	Anong	gɯ³¹ ɳı⁵⁵	gɯ³¹ ɳı⁵⁵	kneel	kneel			1.5.8.4.1		0			
62408	267	Anong	dʐı³¹	dʐı³¹	swell	swell			1.1.5.2		0			
62409	267	Anong	ɬɑu⁵³	ɬɑu⁵³	seek, look for	seek, look for			6.2.2.2		0			
62410	267	Anong	ɖım⁵⁵	ɖım⁵⁵	kick	kick			6.2.2.3.3		0			
62411	267	Anong	tʂʰı³¹	tʂʰı³¹	fart	fart			1.8.5.2		0			572?
62412	267	Anong	ʂɑ⁵⁵ ʂı³¹	ʂɑ⁵⁵ ʂı³¹	urine	urine			1.8.4		0			m,650
62413	267	Anong	ñin⁵⁵	ñin⁵⁵	fingernail	fingernail			1.5.10.1		0			
62414	267	Anong	ŋ̥ɛ³¹ ŋu³¹	ŋ̥ɛ³¹ ŋu³¹	weigh	weigh			9.8		0			
62415	267	Anong	ɑ³¹ xi⁵⁵	ɑ³¹ xi⁵⁵	laugh	laugh			1.8.8.1		0			p,1780
62416	267	Anong	ʔɖɑŋ⁵⁵	ʔɖɑŋ⁵⁵	crawl	crawl			6.7.9		0			
62417	267	Anong	ʔdʑɯ⁵⁵ ŋu³¹	ʔdʑɯ⁵⁵ ŋu³¹	bite	bite			1.3.4.4		0			
62418	267	Anong	ʔñɑ³¹ ɛ³¹	ʔñɑ³¹ ɛ³¹	ruminate	ruminate			8.3.1.13.1		0			
62419	267	Anong	ɑ³¹ pʰɹɑn⁵⁵	ɑ³¹ pʰɹɑn⁵⁵	angry	angry			8.3.1.6.1		0			
62420	267	Anong	pʰɑ⁵³	pʰɑ⁵³	belly	belly			1.4.7		0			m
62421	267	Anong	dzı⁵⁵	dzı⁵⁵	walk	walk			6.7.4		0			
62422	267	Anong	ŋ³¹ ṇ̃in⁵⁵	ŋ³¹ ṇ̃in⁵⁵	claw, paw	claw, paw			1.5.10.4		0			
62423	267	Anong	ñi⁵⁵ ɹɯm³¹	ñi⁵⁵ ɹɯm³¹	heart	heart			1.7.1		0			251,1381
