rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
129120	1319	Qiang (Mawo)	ku◦ti	ku◦ti	body	body			1.1.1	1.1	0			2,1125
129121	1319	Qiang (Mawo)	næ◦χi	næ◦χi	side (right)	side (right)			1.4.5	1.2	0			
129122	1319	Qiang (Mawo)	ʁuɑʴ χi	ʁuɑʴ χi	side (left)	side (left)			1.4.5	1.3	0			2154,m
129123	1319	Qiang (Mawo)	ɹɑ ɕu	ɹɑ ɕu	back	back			1.4.8	1.4	0			m,m
129124	1319	Qiang (Mawo)	gə ɹɑ	gə ɹɑ	front	front			1.4.4	1.5	0			m,m
129125	1319	Qiang (Mawo)	dʑək tɕi dʑæ qu	dʑək tɕi dʑæ qu	limbs / arms and legs	limbs  /  arms and legs			1.5.3.1	1.7	0	jbl3		
129126	1319	Qiang (Mawo)	ʁuəʴ χqeʴ	ʁuəʴ χqeʴ	lap	lap			1.4.4.2	1.8	0			
129127	1319	Qiang (Mawo)	ɹu qʰuæʴ	ɹu qʰuæʴ	bosom	bosom			1.4.4.2	1.9	0			
129128	1319	Qiang (Mawo)	pi◦s	pi◦s	flesh / meat	flesh  /  meat			1.1.1.1	1.11	0	jbl3		1006,34
129129	1319	Qiang (Mawo)	χsəs	χsəs	alive / be living	alive  /  be living			1.1.2.1	1.12	0	jbl3		77
129130	1319	Qiang (Mawo)	də ɕi/ʂə	də ɕi/ʂə	die / be dead	die  /  be dead			1.1.6	1.13	0	jbl3		m,27
129131	1319	Qiang (Mawo)	rmu	rmu	corpse / dead body	corpse  /  dead body			1.1.6.1	1.14	0	jbl3		17
129132	1319	Qiang (Mawo)	rmu	rmu	carcass / dead animal	carcass  /  dead animal			1.1.6.1	1.15	0	jbl3		17
129133	1319	Qiang (Mawo)	nʌ (?)	nʌ (?)	sleep /  be asleep	sleep  /   be asleep			1.1.4.1	1.16	0	jbl3		129
129134	1319	Qiang (Mawo)	kʰuə◦qə̥	kʰuə◦qə̥	awake / be awake	awake  /  be awake			1.1.4	1.17	0	jbl3		
129135	1319	Qiang (Mawo)	rmu◦ʁi	rmu◦ʁi	dream	dream	v	v	1.1.4.2	1.18	0			126,m
129136	1319	Qiang (Mawo)	qə◦pa◦tʂə̥	qə◦pa◦tʂə̥	head	head			1.2.1	2.1	0			386,m,m
129137	1319	Qiang (Mawo)	qaʴ (qaʴ tu)	qaʴ (qaʴ tu)	top of head / crown / pate	top of head  /  crown  /  pate			1.2.1.2	2.2	0	jbl3		386
129138	1319	Qiang (Mawo)	qaʴ rguæ	qaʴ rguæ	fontanel (soft spot in a baby's skull).	fontanel (soft spot in a baby's skull).			1.2.1.3	2.3	0			m,1197
129139	1319	Qiang (Mawo)	qaʴ tu	qaʴ tu	skull	skull			1.2.1.1	2.4	0			m,m
129140	1319	Qiang (Mawo)	qi ȵi	qi ȵi	brain	brain			1.2.4	2.5	0			386,243
129141	1319	Qiang (Mawo)	qə tɕu	qə tɕu	hair of head	hair of head			1.2.3	2.7	0			386,m
129142	1319	Qiang (Mawo)	qə pa◦tʂ ɹa◦bi	qə pa◦tʂ ɹa◦bi	scalp	scalp			1.2.1.5	2.8	0			386,m,m,596,590
129143	1319	Qiang (Mawo)	qi◦dʑu	qidʑu	comb (of rooster)	comb (of rooster)			1.2.2.1	2.9	0			m,1144
129144	1319	Qiang (Mawo)	ɹəqə̥	ɹəqə̥	horn (of animal)	horn (of animal)			1.2.2	2.10	0			819
129145	1319	Qiang (Mawo)	zdu ɹəqə̥	zdu ɹəqə̥	antler (of deer)	antler (of deer)			1.2.2	2.11	0			m,2012
129146	1319	Qiang (Mawo)	quŋ	quŋ	face	face			1.2.5	3.1	0			267
129147	1319	Qiang (Mawo)	zdə xku	zdə xku	forehead / brow	forehead  /  brow			1.2.5.1	3.2	0	jbl3		
129148	1319	Qiang (Mawo)	qən	qən	eye	eye			1.2.6	3.4	0			
129149	1319	Qiang (Mawo)	nə◦ɹɑ	nə◦ɹɑ	eyelid	eyelid			1.2.6.4	3.4.1	0			681,792
