rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
129681	1135	Muya [Minyak]	qʰo⁵⁵pa⁵³	qʰo⁵⁵pa⁵³	body	body			1.1.1	1.1	0			5364,s
129682	1135	Muya [Minyak]	qʰo⁵⁵pa⁵³mi⁵⁵ʐɐ³⁵	qʰo⁵⁵pa⁵³mi⁵⁵ʐɐ³⁵	side (right)	side (right)			1.4.5	1.2	0			5364,s,m,m
129683	1135	Muya [Minyak]	qho⁵⁵pa⁵³ʁɒ³⁵ʐɐ³⁵	qho⁵⁵pa⁵³ʁɒ³⁵ʐɐ³⁵	side (left)	side (left)			1.4.5	1.3	0			5364,s,2154,m
129684	1135	Muya [Minyak]	kʰo³⁵dyi⁵³	kʰo³⁵dyi⁵³	back	back			1.4.8	1.4	0			211,1243
129685	1135	Muya [Minyak]	ʐɐ³⁵mbɐ⁵⁵	ʐɐ³⁵mbɐ⁵⁵	bosom	bosom			1.4.4.2	1.9	0			3376,1255
129686	1135	Muya [Minyak]	ndo⁵⁵	ndo⁵⁵	flesh / meat	flesh  /  meat			1.1.1.1	1.11	0	jbl3		38
129687	1135	Muya [Minyak]	zɯ³⁵zɯ³⁵	zɯ³⁵zɯ³⁵	alive / be living	alive  /  be living			1.1.2.1	1.12	0	jbl3		80,80
129688	1135	Muya [Minyak]	sɯ⁵³	sɯ⁵³	die / be dead	die  /  be dead			1.1.6	1.13	0	jbl3		27
129689	1135	Muya [Minyak]	pø³⁵	pø³⁵	corpse / dead body	corpse  /  dead body			1.1.6.1	1.14	0	jbl3		24
129690	1135	Muya [Minyak]	kʰi⁵³	kʰi⁵³	sleep /  be asleep	sleep  /   be asleep			1.1.4.1	1.16	0	jbl3		128
129691	1135	Muya [Minyak]	tɯ⁵⁵tɕɯ⁵³	tɯ⁵⁵tɕɯ⁵³	awake / be awake	awake  /  be awake			1.1.4	1.17	0	jbl3		5770,5768
129692	1135	Muya [Minyak]	mɐ⁵⁵mi⁵⁵	mɐ⁵⁵mi⁵⁵	dream	dream	v.	v.	1.1.4.2	1.18	0			m,126
129693	1135	Muya [Minyak]	ʁɐ³⁵lø³³	ʁɐ³⁵lø³³	head	head			1.2.1	2.1	0			385,690
129694	1135	Muya [Minyak]	tsi⁵⁵	tsi⁵⁵	fontanel	fontanel			1.2.1.3	2.3	0			1196
129695	1135	Muya [Minyak]	ȵi³⁵	ȵi³⁵	brain	brain			1.2.4	2.5	0			243
129696	1135	Muya [Minyak]	ʁɐ³⁵mo³³	ʁɐ³⁵mo³³	hair of head	hair of head			1.2.3	2.7	0	jbl5	HIDE	DUPE IN SOURCE
129697	1135	Muya [Minyak]	tʰɯ⁵⁵dʑo³³	tʰɯ⁵⁵dʑo³³	comb (of rooster)	comb (of rooster)			1.2.2.1	2.9	0			1472,1144
129698	1135	Muya [Minyak]	tsʰɯ⁵⁵mbɐ⁵³	tsʰɯ⁵⁵mbɐ⁵³	horn (of animal)	horn (of animal)			1.2.2	2.10	0			819,m
129699	1135	Muya [Minyak]	ji³⁵tɐ⁵³	ji³⁵tɐ⁵³	face	face			1.2.5	3.1	0			
129700	1135	Muya [Minyak]	tʰɯ⁵⁵pɛ³³	tʰɯ⁵⁵pɛ³³	forehead / brow	forehead  /  brow			1.2.5.1	3.2	0	jbl3		2002,s
129701	1135	Muya [Minyak]	nɛ³³tsɛ⁵³	nɛ³³tsɛ⁵³	temple	temple			1.2.5.1	3.3	0			
129702	1135	Muya [Minyak]	mi⁵³	mi⁵³	eye	eye			1.2.6	3.4	0			681
129703	1135	Muya [Minyak]	mi⁵⁵kɯ³³lø³⁵	mi⁵⁵kɯ³³lø³⁵	eyeball	eyeball			1.2.6.1	3.4.2	0			681,1110,1427
129704	1135	Muya [Minyak]	mi³⁵ mɔ³⁵	mi³⁵ mɔ³⁵	eyebrow	eyebrow			1.2.6.6	3.4.3	0			681,363
129705	1135	Muya [Minyak]	mi⁵⁵mu⁵⁵	mi⁵⁵mu⁵⁵	eyelash	eyelash			1.2.6.5	3.4.4	0			682,363
129706	1135	Muya [Minyak]	mi⁵³tɕɯ⁵³	mi⁵³tɕɯ⁵³	tears	tears			1.2.6.7	3.4.6	0			681,1631
129707	1135	Muya [Minyak]	NGɛ³⁵	NGɛ³⁵	cry / weep	cry  /  weep	v.	v.	1.8.8.2	3.4.8	0	jbl3		1104
129708	1135	Muya [Minyak]	kʰɯ³³tɕɔ⁵³ri⁵⁵	kʰɯ³³tɕɔ⁵³ri⁵⁵	see / look	see  /  look	v.	v.	1.2.6.10	3.4.9	0	jbl3		m,m,m,m,1227
129709	1135	Muya [Minyak]	lu⁵⁵wɛ⁵⁵	lu⁵⁵wɛ⁵⁵	blind	blind			1.2.6.14.2	3.4.10	0			m,m
129710	1135	Muya [Minyak]	sɯ⁵³	sɯ⁵³	nose	nose			1.2.8	3.5	0			803
129711	1135	Muya [Minyak]	sɯ⁵⁵ndʑɯ³⁵rø³⁵	sɯ⁵⁵ndʑɯ³⁵rø³⁵	nostril	nostril			1.2.8.1	3.5.2	0			m,442,2070
129712	1135	Muya [Minyak]	sɯ⁵⁵mbɐ³⁵	sɯ⁵⁵mbɐ³⁵	liquid mucus	liquid mucus			3.2.3	3.5.6	0			
129713	1135	Muya [Minyak]	kʰɯ⁵⁵nɯ⁵³	kʰɯ⁵⁵nɯ⁵³	smell / sniff	smell  /  sniff	v.	v.	1.2.8.5	3.5.9	0	jbl3		m,1415
129714	1135	Muya [Minyak]	ȵyi³⁵	ȵyi³⁵	ear	ear			1.2.7	3.6	0			811
129715	1135	Muya [Minyak]	ȵi³⁵tɕʰɯ⁵⁵	ȵi³⁵tɕʰɯ⁵⁵	earwax	earwax			1.2.7.3	3.6.6	0			811,2089
129716	1135	Muya [Minyak]	sɯ⁵⁵ŋɑ³³	sɯ⁵⁵ŋɑ³³	hear	hear	v.	v.	1.2.7.4	3.6.7	0			m,1410
129717	1135	Muya [Minyak]	mbɑ³³pʰi³⁵	mbɑ³³pʰi³⁵	deaf	deaf			1.2.7.5	3.6.8	0			1409,m
129718	1135	Muya [Minyak]	ŋɯ³⁵tsø³⁵	ŋɯ³⁵tsø³⁵	mouth	mouth			1.3.1	3.7	0		D0	2099,442
129719	1135	Muya [Minyak]	xɯ⁵⁵ŋgɐ³⁵	xɯ⁵⁵ŋgɐ³⁵	gums	gums			1.3.4.3	3.7.3	0			632,m
129720	1135	Muya [Minyak]	rɐ³⁵tɕe⁵³	rɐ³⁵tɕe⁵³	uvula	uvula			1.3.5.1	3.7.4	0			621,m
129721	1135	Muya [Minyak]	ʐɐ³⁵mbɐ⁵³	ʐɐ³⁵mbɐ⁵³	saliva	saliva			1.8.3	3.7.5	0			m,607
129722	1135	Muya [Minyak]	ndzɯ³⁵	ndzɯ³⁵	eat	eat	v.	v.	1.5.3.2	3.7.6	0			36
129723	1135	Muya [Minyak]	tɕʰyɯ⁵³	tɕʰyɯ⁵³	drink	drink	v.	v.		3.7.7	0			502
129724	1135	Muya [Minyak]	ti³³vi⁵³	ti³³vi⁵³	thirsty	thirsty	be	be	1.1.3.1	3.7.8	0			m,122
129725	1135	Muya [Minyak]	to³⁵zo³⁵	to³⁵zo³⁵	hungry	hungry	be	be	1.1.3	3.7.9	0			m,1825
129726	1135	Muya [Minyak]	tu³⁵tɕɯ⁵³	tu³⁵tɕɯ⁵³	full / be satiated	full  /  be satiated			1.1.3.2	3.7.10	0	jbl3		
129727	1135	Muya [Minyak]	ʁa³⁵vɛ⁵⁵	ʁa³⁵vɛ⁵⁵	spit	spit	v.	v.	1.8.3	3.7.11	0			
129728	1135	Muya [Minyak]	tu⁵⁵pʰɐ³³	tu⁵⁵pʰɐ³³	vomit	vomit	n.	n.	1.8.3.2	3.7.12	0			p,1145
129729	1135	Muya [Minyak]	ɦɛ⁵⁵tɕu⁵⁵tɕɐ⁵³	ɦɛ⁵⁵tɕu⁵⁵tɕɐ⁵³	hold in mouth	hold in mouth	v.	v.	1.3.4.4	3.7.14	0			
129730	1135	Muya [Minyak]	tɯ³³qɑ⁵³	tɯ³³qɑ⁵³	gape / open mouth	gape  /  open mouth	v.	v.	1.3.1	3.7.15	0	jbl3		m,273
129731	1135	Muya [Minyak]	mi⁵⁵ntɕʰa³⁵	mi⁵⁵ntɕʰa³⁵	yawn	yawn	v.	v.	1.3.1.3	3.7.16	0			
129732	1135	Muya [Minyak]	ʐɐ³⁵	ʐɐ³⁵	tongue	tongue			1.3.3	3.8	0			621
129733	1135	Muya [Minyak]	tu³³ɕɐ⁵³	tu³³ɕɐ⁵³	speak	speak	v.	v.	8.5.10.1	3.8.1	0			m,1755
129734	1135	Muya [Minyak]	tu³³ŋkʰe⁵⁵	tu³³ŋkʰe⁵⁵	stutter / stammer	stutter  /  stammer	v.	v.	8.5.4.5	3.8.2	0	jbl3		
129735	1135	Muya [Minyak]	gø³⁵pʰɛ³³	gø³⁵pʰɛ³³	mute / dumb	mute  /  dumb			1.5.3.2	3.8.3	0	jbl3		m,m
129736	1135	Muya [Minyak]	tʰi⁵³ndʑyɛ⁵⁵lɛ³³	tʰi⁵³ndʑyɛ⁵⁵lɛ³³	lick	lick	v.	v.	1.3.3.1	3.8.4	0			m,629,m
129737	1135	Muya [Minyak]	ŋɯ³⁵tsø³⁵ʐɯ³³mbɐ⁵³	ŋɯ³⁵tsø³⁵ʐɯ³³mbɐ⁵³	lip	lip			1.3.2	3.9	0		D0	2099,442,m,m
129738	1135	Muya [Minyak]	ni³⁵ri³⁵	ni³⁵ri³⁵	smile	smile	v.	v.	1.8.8.1	3.9.4	0			1105,1108
129739	1135	Muya [Minyak]	ʔu⁵⁵kʰɯ³³vɯ³³	ʔu⁵⁵kʰɯ³³vɯ³³	kiss	kiss	v.	v.	1.3.2.2	3.9.5	0			
129740	1135	Muya [Minyak]	xɯ³⁵	xɯ³⁵	tooth	tooth			1.3.4	3.10	0			632
129741	1135	Muya [Minyak]	xɯ⁵⁵mɐ⁵³	xɯ⁵⁵mɐ⁵³	tooth (incisor)	tooth (incisor)			1.3.4	3.10.1	0			632,s
129742	1135	Muya [Minyak]	qo⁵³	qo⁵³	molar	molar			1.3.4.2	3.10.2	0			630
129743	1135	Muya [Minyak]	ndʐɯ³⁵	ndʐɯ³⁵	eyetooth / canine tooth / fang	eyetooth  /  canine tooth  /  fang			1.3.4.1	3.10.3	0	jbl3		635
129744	1135	Muya [Minyak]	ndʐɯ³⁵	ndʐɯ³⁵	tusk	tusk			1.3.4.1	3.10.6	0			635
129745	1135	Muya [Minyak]	kʰɯ⁵⁵vɐ⁵³	kʰɯ⁵⁵vɐ⁵³	bite	bite	v.	v.	1.3.4.4	3.10.7	0			1762
129746	1135	Muya [Minyak]	nɯ³³tsɯ³³tsɑ⁵³	nɯ³³tsɯ³³tsɑ⁵³	chew	chew	v.	v.	1.3.4	3.10.8	0		D0	
129747	1135	Muya [Minyak]	ndʐɐ³³mbɛ⁵⁵	ndʐɐ³³mbɛ⁵⁵	cheek	cheek			1.2.5.2	3.11	0			262,268
129748	1135	Muya [Minyak]	mɐ⁵⁵ ŋkʰĩ⁵⁵	mɐ⁵⁵ŋkʰĩ⁵⁵	chin	chin			1.2.5.3	3.12	0			1187,273
129749	1135	Muya [Minyak]	ʁɯ³⁵tsa⁵⁵	ʁɯ³⁵tsa⁵⁵	neck	neck			1.4.2	4.1	0		D0	479,255
129750	1135	Muya [Minyak]	vɐ³³lø⁵⁵	vɐ³³lø⁵⁵	goiter	goiter			1.4.2.2	4.1.1	0			
129751	1135	Muya [Minyak]	o⁵⁵ndy⁵⁵	o⁵⁵ndy⁵⁵	adam's apple / larynx	adam's apple  /  larynx			1.5.3.2	4.1.4	0	jbl3		490,m
129752	1135	Muya [Minyak]	u⁵⁵tʂʰo⁵³	u⁵⁵tʂʰo⁵³	throat / gullet / pharynx	throat / gullet  /  pharynx			1.3.5	4.2	0	jbl3		490,3363
129753	1135	Muya [Minyak]	o³³◦tʂʰo⁵⁵	o³³◦tʂʰo⁵⁵	windpipe / trachea	windpipe  /  trachea			1.3.5.2	4.2.1	0	jbl3		490,3363
129754	1135	Muya [Minyak]	mi⁵⁵kuɐ⁵³	mi⁵⁵kuɐ⁵³	esophagus	esophagus			1.3.5.5	4.2.2	0			m,389
129755	1135	Muya [Minyak]	na³³ʁuɯ³⁵	na³³ʁuɯ³⁵	swallow	swallow	v.	v.	1.3.5.6	4.2.3	0			
129756	1135	Muya [Minyak]	ʐa³⁵mbɐ⁵⁵	ʐa³⁵mbɐ⁵⁵	chest	chest			1.4.4.3	5.1	0			3376,m
129757	1135	Muya [Minyak]	no³⁵pɐ⁵³	no³⁵pɐ⁵³	rib	rib			1.4.4.3	5.1.2	0			553,m
129758	1135	Muya [Minyak]	ʁua³⁵	ʁua³⁵	shoulder	shoulder			1.4.3	5.3	0		D0	3350
129759	1135	Muya [Minyak]	nɯ³³nø⁵³	nɯ³³nø⁵³	breast	breast			1.4.4.3	5.4	0		D0	253,254
129760	1135	Muya [Minyak]	nɯ³⁵nø³⁵	nɯ³⁵nø³⁵	nipple	nipple				5.4.1	0			253,254
129761	1135	Muya [Minyak]	lɐ³⁵	lɐ³⁵	milk	milk				5.4.3	0			1786
