rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
129861	1146	Namuyi	gu⁵⁵mi⁵⁵	gu⁵⁵mi⁵⁵	body	body			1.1.1	1.1	0			1,m
129862	1146	Namuyi	gu⁵⁵mi⁵⁵ka³³na³³	gu⁵⁵mi⁵⁵ka³³na³³	side (right)	side (right)			1.4.5	1.2	0			2,m,m,m
129863	1146	Namuyi	gu⁵⁵mi⁵⁵ja³³ta³³	gu⁵⁵mi⁵⁵ja³³ta³³	side (left)	side (left)			1.4.5	1.3	0			2,m,2154,m
129864	1146	Namuyi	dʐu³³tsɛ³³tsɛ³³	dʐu³³tsɛ³³tsɛ³³	back	back			1.4.8	1.4	0	jbl5	HIDE	DUPE IN SOURCE
129865	1146	Namuyi	ʁo⁵⁵ɬy⁵⁵	ʁo⁵⁵ɬy⁵⁵	bosom	bosom			1.4.4.2	1.9	0			288,m
129866	1146	Namuyi	ʂɿ³³	ʂɿ³³	flesh / meat	flesh  /  meat			1.1.1.1	1.11	0	jbl3		34
129867	1146	Namuyi	so⁵⁵ʐɛ⁵³	so⁵⁵ʐɛ⁵³	alive / be living	alive  /  be living			1.1.2.1	1.12	0	jbl3		80,1010
129868	1146	Namuyi	ʂɿ³³qo⁵⁵	ʂɿ³³qo⁵⁵	die / be dead	die  /  be dead			1.1.6	1.13	0	jbl3		27,m
129869	1146	Namuyi	jy³³	jy³³	sleep /  be asleep	sleep  /   be asleep			1.1.4.1	1.16	0	jbl3		127
129870	1146	Namuyi	ʂu³³tɛ³³	ʂu³³tɛ³³	awake / be awake	awake  /  be awake			1.1.4	1.17	0	jbl3		5768,m
129871	1146	Namuyi	jy³³mɛ³⁵	jy³³mɛ³⁵	dream	dream	v.	v.	1.1.4.2	1.18	0			127,126
129872	1146	Namuyi	ʁo⁵⁵əʴ⁵⁵ly³³	ʁo⁵⁵əʴ⁵⁵ly³³	head	head			1.2.1	2.1	0		D0	385,m,690
129873	1146	Namuyi	ʁo⁵⁵ɬy³³	ʁo⁵⁵ɬy³³	brain	brain			1.2.4	2.5	0			385,247
129874	1146	Namuyi	ʁo⁵⁵hũ³³	ʁo⁵⁵hũ³³	hair of head	hair of head			1.2.3	2.7	0	jbl5	HIDE	DUPE IN SOURCE
129875	1146	Namuyi	qʰuəʴ⁵³	qʰuəʴ⁵³	horn (of animal)	horn (of animal)			1.2.2	2.10	0			819
129876	1146	Namuyi	ku⁵⁵ly⁵⁵	ku⁵⁵ly⁵⁵	face	face			1.2.5	3.1	0			m,1184
129877	1146	Namuyi	mo³³mbɛ⁵⁵	mo³³mbɛ⁵⁵	forehead / brow	forehead  /  brow			1.2.5.1	3.2	0	jbl3		
129878	1146	Namuyi	miɛ⁵⁵	miɛ⁵⁵	eye	eye			1.2.6	3.4	0			681
129879	1146	Namuyi	miɛ⁵⁵sɿ³³ly⁵⁵	miɛ⁵⁵sɿ³³ly⁵⁵	eyeball	eyeball			1.2.6.1	3.4.2	0			681,1019,1427
129880	1146	Namuyi	miɛ³³tsɿ³³hũ³³	miɛ³³tsɿ³³hũ³³	eyebrow	eyebrow			1.2.6.6	3.4.3	0			681,1232,363
