rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
150519	1430	Sulung [Puroik]	pua³³tok³³	pua³³tok³³	arm	arm		1.5.1.2		0		754,m
150520	1430	Sulung [Puroik]	pua³³kə³³jo⁵³	pua³³kə³³jo⁵³	armpit	armpit		1.5.1.2.3		0	D0	
150521	1430	Sulung [Puroik]	kə³³tse⁵³	kə³³tse⁵³	back	back		1.4.8		0		m,3391
150522	1430	Sulung [Puroik]	kə³³tuȶ³³muȵ³³	kə³³tuȶ³³muȵ³³	beard	beard		1.2.5.5		0	D0	p,m,363
150523	1430	Sulung [Puroik]	θui³³	θui³³	belly	belly		1.4.7		0		
150524	1430	Sulung [Puroik]	a³³pə³³gei⁵³	a³³pə³³gei⁵³	bladder	bladder		1.7.8		0	D0	
150525	1430	Sulung [Puroik]	hue⁵³	hue⁵³	blood	blood		1.6.2		0		230
150526	1430	Sulung [Puroik]	ɣaȶ³³	ɣaȶ³³	body	body		1.1.1		0		
150527	1430	Sulung [Puroik]	pəȶ³³	pəȶ³³	boil	boil	n	6.6		0		
150528	1430	Sulung [Puroik]	a³³niɛ¹¹	a³³niɛ¹¹	breast	breast		1.4.4.3		0	D0	p,254
150529	1430	Sulung [Puroik]	ko³³tɕiŋ³³	ko³³tɕiŋ³³	buttocks	buttocks		1.4.10		0	D0	m,223
150530	1430	Sulung [Puroik]	tə³³kɯ⁵³	tə³³kɯ⁵³	chest	chest		1.4.4.3		0		p,560
150531	1430	Sulung [Puroik]	a³³ku³³	a³³ku³³	chin	chin		1.2.5.3		0		p,2057
150532	1430	Sulung [Puroik]	a³³kuȶ³³	a³³kuȶ³³	ear	ear		1.2.7		0		
150533	1430	Sulung [Puroik]	geȶ³³kə³³ȵiŋ³³	geȶ³³kə³³ȵiŋ³³	elbow	elbow		1.5.8.3		0	D0	712,m,m
150534	1430	Sulung [Puroik]	θɔŋ⁵³	θɔŋ⁵³	excrement	excrement		1.8.5		0	D0	
150535	1430	Sulung [Puroik]	kək³³	kək³³	eye	eye		1.2.6		0		m
150536	1430	Sulung [Puroik]	kə³³ʑɯ³³	kə³³ʑɯ³³	eyebrow	eyebrow		1.2.6.6		0	D0	m,m
150537	1430	Sulung [Puroik]	kə³³maŋ³³	kə³³maŋ³³	face	face		1.2.5		0		
150538	1430	Sulung [Puroik]	væ⁵³	væ⁵³	fart	fart		1.8.5.2		0		3553
150539	1430	Sulung [Puroik]	geȶ³³pioŋ³³	geȶ³³pioŋ³³	finger	finger		1.5.6		0	D0	
150540	1430	Sulung [Puroik]	geȶ³³ɕit³³	geȶ³³ɕit³³	fingernail	fingernail		1.5.10.1		0	D0	
150541	1430	Sulung [Puroik]	geȶ³³jik³³	geȶ³³jik³³	fist	fist		1.5.1.1.1		0	D0	712,m
150542	1430	Sulung [Puroik]	læ³³	læ³³	foot	foot		1.5.2		0		350
150543	1430	Sulung [Puroik]	kə³³vua³³ba¹¹	kə³³vua³³ba¹¹	forehead	forehead		1.2.5.1		0	D0	
150544	1430	Sulung [Puroik]	a³³vəʴi³³	a³³vəʴi³³	gall	gall		1.7.3.1		0		
150545	1430	Sulung [Puroik]	kə³³ʑak³³	kə³³ʑak³³	hair of head	hair of head		1.2.3		0		
150546	1430	Sulung [Puroik]	geȶ³³	geȶ³³	hand	hand		1.5.1.1		0		712
150547	1430	Sulung [Puroik]	kɔ⁵³	kɔ⁵³	head	head		1.2.1		0		
150548	1430	Sulung [Puroik]	lok³³	lok³³	heart	heart		1.7.1		0		
150549	1430	Sulung [Puroik]	a³³θui³³	a³³θui³³	intestines	intestines		1.7.7		0	D0	
150550	1430	Sulung [Puroik]	a³³cʰəʴi³³	a³³cʰəʴi³³	kidney	kidney		1.7.5		0		
150551	1430	Sulung [Puroik]	a³³tsæ⁵³	a³³tsæ⁵³	leg	leg		1.5.7		0		
150552	1430	Sulung [Puroik]	kə³³kiɛ³³	kə³³kiɛ³³	lip	lip		1.3.2		0		m,2133
150553	1430	Sulung [Puroik]	a³³pie⁵³	a³³pie⁵³	liver	liver		1.7.3		0		
150554	1430	Sulung [Puroik]	a³³pɯ³³ɕiə⁵³	a³³pɯ³³ɕiə⁵³	lung	lung		1.7.2		0	D0	
150555	1430	Sulung [Puroik]	mə³³niɛ¹¹	mə³³niɛ¹¹	milk	milk				0		m,254
150556	1430	Sulung [Puroik]	ɕək³³	ɕək³³	mouth	mouth		1.3.1		0		478
150557	1430	Sulung [Puroik]	kə³³tuoŋ³³	kə³³tuoŋ³³	neck	neck		1.4.2		0	D0	p,359
150558	1430	Sulung [Puroik]	pɔk³³	pɔk³³	nose	nose		1.2.8		0		806
150559	1430	Sulung [Puroik]	tɕaŋ³³	tɕaŋ³³	phlegm	phlegm		1.8.3		0		
150560	1430	Sulung [Puroik]	kə³³ʑak³³bɹɣʴ⁵³	kə³³ʑak³³bɹɣʴ⁵³	plait	plait		1.2.3.2		0		m,m,2018
150561	1430	Sulung [Puroik]	ca³³cʰəʴt	ca³³cʰəʴt	saliva, spittle	saliva, spittle		1.8.3		0		
150562	1430	Sulung [Puroik]	pua³³tok¹¹	pua³³tok¹¹	shoulder	shoulder		1.4.3		0	D0	1327,3343
150563	1430	Sulung [Puroik]	a³³ɣəȵ³³	a³³ɣəȵ³³	sinew	sinew		1.6.6.1		0		
150564	1430	Sulung [Puroik]	a³³kə⁵³	a³³kə⁵³	skin	skin		1.6.5		0		p,589
150565	1430	Sulung [Puroik]	pɔk³³kua³³	pɔk³³kua³³	snot	snot		1.8.2		0	D0	806,m
150566	1430	Sulung [Puroik]	a³³riȶ³³	a³³riȶ³³	stomach	stomach		1.7.6		0	D0	
150567	1430	Sulung [Puroik]	aŋ³³tɕi⁵³	aŋ³³tɕi⁵³	sweat	sweat		1.8.1		0	D0	
150568	1430	Sulung [Puroik]	kək³³vəʴi³³	kək³³vəʴi³³	tears	tears		1.2.6.7		0		m,187
150569	1430	Sulung [Puroik]	mə³³|riu³³uɑ¹¹	mə³³|riu³³uɑ¹¹	throat	throat		1.3.5		0	D0	627,m
150570	1430	Sulung [Puroik]	rye³³	rye³³	tongue	tongue		1.3.3		0		621
150571	1430	Sulung [Puroik]	kə³³tuaŋ³³	kə³³tuaŋ³³	tooth	tooth		1.3.4		0	D0	m,3316
150572	1430	Sulung [Puroik]	ɕyɛ⁵³	ɕyɛ⁵³	urine	urine		1.8.4		0		
150573	1430	Sulung [Puroik]	kə³³tse⁵³	kə³³tse⁵³	waist	waist		1.4.6		0	D0	m,3391
