rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
130641	618	rGyalrong (NW)	tə◦pʰuŋ◦bə	tə◦pʰuŋ◦bə	body	body			1.1.1	1.1	0			p,13,1902
130642	618	rGyalrong (NW)	tə◦pʰuŋ◦bə ʁatɕʰi	tə◦pʰuŋ◦bə ʁatɕʰi	side (right)	side (right)			1.4.5	1.2	0			p,13,1902,m
130643	618	rGyalrong (NW)	tə◦pʰuŋ◦bə təque	tə◦pʰuŋ◦bə təque	side (left)	side (left)			1.4.5	1.3	0			p,13,1902,m
130644	618	rGyalrong (NW)	tə◦pʰuŋ◦bə tə◦zga◦ʁo	tə◦pʰuŋ◦bə tə◦zga◦ʁo	back	back			1.4.8	1.4	0		c	p,3326,m,p,m,m
130645	618	rGyalrong (NW)	tə◦pʰuŋ◦bə tə ʁorje	tə◦pʰuŋ◦bə tə ʁorje	front	front			1.4.4	1.5	0			p,13,1902,p,m
130646	618	rGyalrong (NW)	tə◦ləspə	tə◦ləspə	torso / trunk	torso  /  trunk			1.5.3.2	1.6	0	jbl3		p,m
130647	618	rGyalrong (NW)	ʂkaŋwʑə	ʂkaŋwʑə	limbs / arms and legs	limbs  /  arms and legs			1.5.3.1	1.7	0	jbl3		
130648	618	rGyalrong (NW)	tə◦χpon ʁo◦rma	tə◦χpon ʁo◦rma	lap	lap			1.4.4.2	1.8	0			p,404,m,m
130649	618	rGyalrong (NW)	tə◦ʐa	tə◦ʐa	bosom	bosom			1.4.4.2	1.9	0			
130650	618	rGyalrong (NW)	tə◦mpʰus	tə◦mpʰus	groin / loins / hips	groin  /  loins  / hips			1.4.9	1.10	0	jbl3		p,398
130651	618	rGyalrong (NW)	tə◦ɕe	tə◦ɕe	flesh / meat	flesh  /  meat			1.1.1.1	1.11	0	jbl3		p,34
130652	618	rGyalrong (NW)	kə◦sə◦su	kə◦sə◦su	alive / be living	alive  /  be living			1.1.2.1	1.12	0	jbl3		p,80,80
130653	618	rGyalrong (NW)	nə◦kə◦sət	nə◦kə◦sət	die / be dead	die  /  be dead			1.1.6	1.13	0	jbl3		p,p,27
130654	618	rGyalrong (NW)	ɣmɐ	ɣmɐ	corpse / dead body	corpse  /  dead body			1.1.6.1	1.14	0	jbl3		m
130655	618	rGyalrong (NW)	rdak vəɣma	rdak vəɣma	carcass / dead animal	carcass  /  dead animal			1.1.6.1	1.15	0	jbl3		1862,m
130656	618	rGyalrong (NW)	ka rgə	ka rgə	sleep /  be asleep	sleep  /   be asleep			1.1.4.1	1.16	0	jbl3		p,m
130657	618	rGyalrong (NW)	ka◦stʰə◦xi	ka◦stʰə◦xi	awake / be awake	awake  /  be awake			1.1.4	1.17	0	jbl3		m,m,1837
130658	618	rGyalrong (NW)	kavarma rmə◦lɛm	kavarma rmə◦lɛm	dream	dream	v	v	1.1.4.2	1.18	0			m,130,1017
130659	618	rGyalrong (NW)	tə◦ku	tə◦ku	head	head			1.2.1	2.1	0			p,386
130660	618	rGyalrong (NW)	tə◦spixtsək	tə◦spixtsək	top of head / crown / pate	top of head  /  crown  /  pate			1.2.1.2	2.2	0	jbl3		
130661	618	rGyalrong (NW)	tə◦ku zbə	tə◦ku zbə	fontanel (soft spot in a baby's skull).	fontanel (soft spot in a baby's skull).			1.2.1.3	2.3	0			p,m,m
130662	618	rGyalrong (NW)	tʰot por̥	tʰot por̥	skull	skull			1.2.1.1	2.4	0			2002,m
130663	618	rGyalrong (NW)	tə◦r◦noχ	tə◦r◦noχ	brain	brain			1.2.4	2.5	0			p,p,243
130664	618	rGyalrong (NW)	tə◦ku◦rme	tə◦ku◦rme	hair of head	hair of head			1.2.3	2.7	0			p,386,368
130665	618	rGyalrong (NW)	tə◦ku n◦dʐə	tə◦ku n◦dʐə	scalp	scalp			1.2.1.5	2.8	0			p,386,p,596
130666	618	rGyalrong (NW)	rə◦rap	rə◦rap	comb (of rooster)	comb (of rooster)			1.2.2.1	2.9	0			m,2016
130667	618	rGyalrong (NW)	tə◦ʁʐə	tə◦ʁʐə	horn (of animal)	horn (of animal)			1.2.2	2.10	0			p,819
130668	618	rGyalrong (NW)	ʁastses ʁʐə	ʁastses ʁʐə	antler (of deer)	antler (of deer)			1.2.2	2.11	0			2739,814
130669	618	rGyalrong (NW)	tə◦rŋe	tə◦rŋe	face	face			1.2.5	3.1	0			p,1192
130670	618	rGyalrong (NW)	tə◦rtʰes	tə◦rtʰes	forehead / brow	forehead  /  brow			1.2.5.1	3.2	0	jbl3		
130671	618	rGyalrong (NW)	tə◦ndza ŋgram	tə◦ndza ŋgram	temple	temple			1.2.5.1	3.3	0			
130672	618	rGyalrong (NW)	tə◦mȵak	tə◦mȵak	eye	eye			1.2.6	3.4	0			p,681
130673	618	rGyalrong (NW)	tə◦mȵaŋ ndʒə	tə◦mȵaŋ ndʒə	eyelid	eyelid			1.2.6.4	3.4.1	0			p,681,596
130674	618	rGyalrong (NW)	tə◦mȵaŋ ndʒə	tə◦mȵaŋ ndʒə	iris	iris			1.2.6.2	3.4.2.1	0			p,681,m
130675	618	rGyalrong (NW)	tə◦mȵak sne	tə◦mȵak sne	pupil	pupil			1.2.6.2	3.4.2.2	0			p,682,m
130676	618	rGyalrong (NW)	tə◦mȵak kə◦prum	tə◦mȵak kə◦pru◦m	white of eye	white of eye			1.2.6.3	3.4.2.3	0			p,682,p,3608
130677	618	rGyalrong (NW)	tə◦mȵak rme	tə◦mȵak rme	eyebrow	eyebrow			1.2.6.6	3.4.3	0			p,681,368
130678	618	rGyalrong (NW)	tə◦mȵak rme	tə◦mȵak rme	eyelash	eyelash			1.2.6.5	3.4.4	0			p,681,368
130679	618	rGyalrong (NW)	kəwa tsʰəptsʰəp	kəwa tsʰəptsʰəp	blink	blink	v	v	1.2.6.12	3.4.5	0			m
130680	618	rGyalrong (NW)	tə◦mtʃʰə me	tə◦mtʃʰə me	tears	tears			1.2.6.7	3.4.6	0			p,298,s
