rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
62472	449	Chepang	pʰe-sa	pʰe-sa	abandon	abandon		6.10.2	6.B.2.9	0	z	
62473	449	Chepang	tʰaray-haŋ	tʰaray-haŋ	above	above		9.2.1	12.C.59	0		
62474	449	Chepang	(N)	(N)	abstain	abstain		6.10.2	7.B.2. 36	0		
62475	449	Chepang	sokar-sa	sokar-sa	accept	accept		8.3.1.2.1	7.B.2. 34	0		
62476	449	Chepang	--	--	accompany	accompany		6.7.10	2.B.1.15	0		
62477	449	Chepang	--	--	accuse	accuse		8.3.1.3.1	15.B.3.9	0		
62478	449	Chepang	ʔuʔ-səy	ʔuʔ-səy	across	across		9.2.8	12.C.63	0		
62479	449	Chepang	gʰo-sa	gʰo-sa	admit	admit		8.5.14.2	10.B.1.33	0		
62480	449	Chepang	syan-sa	syan-sa	advice	advice	v.t.	8.5.14.2	10.B.1.14	0		
62482	449	Chepang	lone	lone	after	after		9.1.5	12.D.29	0		
62483	449	Chepang	hi◦diŋ	hi◦diŋ	afternoon (early)	afternoon (early)		9.1.4	5.A.10	0		
62484	449	Chepang	nyam yohare	nyam yohare	afternoon (late)	afternoon (late)		9.1.4	5.A.10	0		2484,m
62485	449	Chepang	(N)	(N)	aged	aged		1.0	12.A.2	0		
62486	449	Chepang	gʰam-sa	gʰam-sa	agree	agree		8.3.1.4.1	10.B.1.13	0		
62487	449	Chepang	braŋ-sa	braŋ-sa	agree	agree		8.3.1.4.1	10.B.1.13	0		
62488	449	Chepang	homkay-sa	homkay-sa	agree	agree		8.3.1.4.1	10.B.1.13	0		
62489	449	Chepang	gya-sa	gya-sa	agree	agree		8.3.1.4.1	10.B.1.13	0		
62490	449	Chepang	--	--	agreement	agreement		8.3.1.4.1	11.A.42	0		
62491	449	Chepang	dʰəy-sa	dʰəy-sa	aim at	aim  at		10.0	3.B.27	0		
62492	449	Chepang	juʔ-sa	juʔ-sa	aim at	aim  at		10.0	3.B.27	0		
62493	449	Chepang	dih-sa	dih-sa	alight	alight		6.2	3.B.10	0		
62494	449	Chepang	lekʰa	lekʰa	alike	alike		7.1.7.2	12.D.1	0		
62495	449	Chepang	syak-ʔo	syak-ʔo	alive	alive		1.1.2.1	12.A.8	0		32,m
62496	449	Chepang	juda	juda	all	all		9.9	1.9	0	D1	
62497	449	Chepang	juda	juda	all	all		9.9	12.D.16	0	HIDE	DUPE IN SOURCE
62498	449	Chepang	(Inf.) + syaw-sa	(Inf.) + syaw-sa	all right / acceptable	all right / acceptable		9.9	13.A.6	0		
62499	449	Chepang	tak-sa	tak-sa	allow	allow		6.19	6.B.2. 21	0		
62500	449	Chepang	-ma	-ma	also	also		10.1.2.1	13.B.2	0		
62501	449	Chepang	--	--	amuse / laughter, cause	amuse / laughter, cause		8.3.1.5.1	11.B.1.16	0		
62502	449	Chepang	-ma	-ma	and	and		10.1.2.1	13.B.1	0		
62503	449	Chepang	(N)	(N)	angry, get	angry, get		8.3.1.6.1	10.B.3.18	0		
62504	449	Chepang	--	--	animal	animal		2.3	3.A.1	0		
62505	449	Chepang	gəyŋ	gəyŋ	animal trap / dug-out canoe	animal trap / dug-out canoe		2.3	8.A. 29	0		
62506	449	Chepang	kəda	kəda	anklet	anklet		5.11.8.3	7.A.43	0		
62507	449	Chepang	--	--	annoy	annoy		8.3.1.6.1	10.B.1.63	0		
62508	449	Chepang	tʰetʰe	tʰetʰe	another	another		9.9	9.52	0		
62509	449	Chepang	tyaŋ-sa	tyaŋ-sa	answer	answer		8.5.6	10.B.1.16	0		
62510	449	Chepang	dupliʔ	dupliʔ	ant	ant		2.2.6	3.A.85	0		
62511	449	Chepang	syabareʔ	syabareʔ	ant	ant		2.2.6	3.A.85	0		
62512	449	Chepang	koŋrok	koŋrok	ant	ant		2.2.6	3.A.85	0		
62513	449	Chepang	syar-syaʔ	syar-syaʔ	antelope (goral)	antelope (goral)		2.2.2	3.A.58	0		m,34
62514	449	Chepang	tʰa-sa	tʰa-sa	appear	appear		9.5	5.B.11	0	D1	
62515	449	Chepang	tʰa-sa	tʰa-sa	appear	appear		9.5	10.B.3.39	0	HIDE	DUPE IN SOURCE
62516	449	Chepang	dyaŋ-to waŋ-sa	dyaŋ-to waŋ-sa	approach	approach		6.7.1	2.B.1.3	0		
62517	449	Chepang	--	--	approve / confirm	approve / confirm		8.3.1.1.1	10.B.1.18	0		
62518	449	Chepang	--	--	argument	argument		8.5.2.1	11.A.44	0		
62519	449	Chepang	krut	krut	arm	arm		1.5.1.2	2.A.47	0		712
62520	449	Chepang	weʔ-krut	weʔ-krut	arm (left)	arm (left)		1.5.1.2	2.A.50	0		2154,712
62521	449	Chepang	ŋoy◦krut	ŋoy◦krut	arm (right)	arm (right)		1.5.1.2	2.A.49	0		m,712
62522	449	Chepang	ʔakacyəl	ʔakacyəl	armpit	armpit		1.5.1.2.3	2.A.51	0		
62523	449	Chepang	--	--	around	around		9.2.5	12.C.61	0		
62524	449	Chepang	doŋʔ-kam tə gəm-sa	doŋʔ-kam tə gəm-sa	arrange	arrange		6.17	7.B.2. 24	0		
62525	449	Chepang	dah-sa	dah-sa	arrive here	arrive here		6.7.1	11.B.1.35	0		
62526	449	Chepang	laʔ	laʔ	arrow	arrow		5.15	8.A. 16	0		
62527	449	Chepang	ke	ke	arrow point (barb)	arrow point (barb)		5.15	8.A. 17	0		
62528	449	Chepang	lənʰsa	lənʰsa	ascend	ascend		6.7.7	2.B.1.13	0		
62529	449	Chepang	hmeʔ-mut	hmeʔ-mut	ash	ash		3.2.12.2	1.83	0		
62530	449	Chepang	hyomʔ	hyomʔ	ash	ash		3.2.12.2	1.83	0		
62531	449	Chepang	hwət-sa	hwət-sa	ask	ask		8.5.7.1	10.B.1.15	0		
62532	449	Chepang	hum-sa	hum-sa	assemble	assemble		6.19	11.B.2.34	0		
62533	449	Chepang	--	--	assembly	assembly		5.8	11.A.37	0		
62534	449	Chepang	weŋ-sa	weŋ-sa	astray, go	astray, go		6.7.2	3.B.38	0		
62535	449	Chepang	byah-sa	byah-sa	astray, go	astray, go		6.7.2	3.B.38	0		
62536	449	Chepang	minʰ-sa	minʰ-sa	attack	attack		6.5	11.B.3.4	0		
62537	449	Chepang	--	--	attentive	attentive		8.3.1.11.1	12.A.14	0		
62538	449	Chepang	ŋos-ʔo	ŋos-ʔo	attractive	attractive		7.1.3	12.A.69	0		
62539	449	Chepang	jhelʰ-ʔo	jhelʰ-ʔo	attractive	attractive		7.1.3	12.A.69	0		
62540	449	Chepang	nyumʰ-tak-sa	nyumʰ-tak-sa	avenge	avenge		6.2	11.B.3.20	0		
62541	449	Chepang	kʰəyʔ-sa	kʰəyʔ-sa	avoid (smn)	avoid  (smn)		6.2	10.B.1.73	0	z	
62542	449	Chepang	-səy	-səy	away from	away from		9.2.4	12.C.54	0		
62543	449	Chepang	wəsray	wəsray	axe	axe		5.11.5.3	8.A. 19	0		
62544	449	Chepang	kah	kah	back	back		1.4.8	12.C.17	0		211
62545	449	Chepang	giŋ	giŋ	back (lower)	back (lower)		1.4.8	2.A.31	0		209
62546	449	Chepang	kah	kah	back (upper)	back (upper)		1.4.8	2.A.30	0		211
62547	449	Chepang	gryaŋ	gryaŋ	back-basket	back-basket		1.4.8	8.A.8	0		
62548	449	Chepang	rew-ʔo	rew-ʔo	bad	bad		9.6.2.1	12.B.47	0		
62549	449	Chepang	luŋ	luŋ	ball	ball		9.7.1	8.A. 36	0		
62550	449	Chepang	ruyŋ	ruyŋ	bamboo	bamboo		3.1.1	4.A.59	0		
62551	449	Chepang	cawe	cawe	bamboo	bamboo		3.1.1	4.A.59	0		
