rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
66931	1531	Thakali (Tukche)	pi-lɔ	pi-lɔ	abandon	abandon			6.10.2	6.B.2.9	0		z	
66932	1531	Thakali (Tukche)	pʰi-ri	pʰi-ri	above	above			9.2.1	12.C.59	0			
66935	1531	Thakali (Tukche)	roh 'lɔ-lɔ	roh 'lɔ-lɔ	accompany	accompany			6.7.10	2.B.1.15	0			
66936	1531	Thakali (Tukche)	(N)	(N)	accuse	accuse			8.3.1.3.1	15.B.3.9	0			
66937	1531	Thakali (Tukche)	--	--	across	across			9.2.8	12.C.63	0			
66938	1531	Thakali (Tukche)	ŋjen-lɔ	ŋjen-lɔ	admit	admit			8.5.14.2	10.B.1.33	0			
66939	1531	Thakali (Tukche)	(N)	(N)	advice	advice			8.5.14.2	10.B.1.14	0		D1	
66940	1531	Thakali (Tukche)	(N)	(N)	advice	advice			8.5.14.2	15.A.41	0	jbl5	HIDE	DUPE IN SOURCE
66941	1531	Thakali (Tukche)	cuhri	cuhri	after	after			9.1.5	12.D.29	0			
66942	1531	Thakali (Tukche)	pro tihŋi	pro tihŋi	afternoon	afternoon			9.1.4	5.A.10	0			
66943	1531	Thakali (Tukche)	nɔhsɔ 'jɔh-ci-wɔ	nɔhsɔ 'jɔh-ci-wɔ	aged	aged			1.0	12.A.2	0			
66944	1531	Thakali (Tukche)	(N)	(N)	agree	agree			8.3.1.4.1	10.B.1.13	0			
66945	1531	Thakali (Tukche)	sɔm◦ta 'kʰɔ-wɔ	sɔm◦ta 'kʰɔ-wɔ	agreement	agreement			8.3.1.4.1	11.A.42	0			66
66946	1531	Thakali (Tukche)	cɔhn-lɔ	cɔhn-lɔ	aim at	aim  at			10.0	3.B.27	0	jbl3		
66947	1531	Thakali (Tukche)	pɔp-lɔ	pɔp-lɔ	alight (e.g. bird, aircraft)	alight  (e.g. bird, aircraft)			6.2	3.B.10	0	jbl3		
66948	1531	Thakali (Tukche)	--	--	alight (from vehicle)	alight (from vehicle)			6.2	3.B.10	0			
