rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
39650	505	Darang [Taraon]	tɯ³¹ kiɯ⁵⁵	tɯ³¹ kiɯ⁵⁵	left	left		1.5.3.2		0		m,5624
39651	505	Darang [Taraon]	tɯ³¹ tɕɑ⁵⁵	tɯ³¹ tɕɑ⁵⁵	right	right		1.5.3.2		0		
39652	505	Darang [Taraon]	tʰɯ³¹ boŋ³⁵	tʰɯ³¹ boŋ³⁵	center	center		1.9.4		0		m,2111
39653	505	Darang [Taraon]	mɑ³¹ nɑ⁵³	mɑ³¹ nɑ⁵³	egg	egg				0		
39654	505	Darang [Taraon]	mɑ³¹ jiŋ⁵³	mɑ³¹ jiŋ⁵³	yolk	yolk				0		
39655	505	Darang [Taraon]	jim³⁵	jim³⁵	wing, fly	wing, fly	v.	1.5.1.3		0		R
39656	505	Darang [Taraon]	m̩⁵⁵	m̩⁵⁵	fur	fur		1.6.1		0		363
39657	505	Darang [Taraon]	tɑ³¹ pʰin³⁵	tɑ³¹ pʰin³⁵	wool (yangmao)	wool (yangmao)		1.6.1.3		0		
39658	505	Darang [Taraon]	m̩⁵⁵	m̩⁵⁵	feathers	feathers		1.6.1.1		0		363
39659	505	Darang [Taraon]	ɕi⁵⁵	ɕi⁵⁵	claw	claw		1.5.10.4		0		515
39660	505	Darang [Taraon]	gɹoŋ⁵³ tioŋ⁵⁵	gɹoŋ⁵³ tioŋ⁵⁵	hoof	hoof		1.5.4		0		5621,m
39661	505	Darang [Taraon]	ɹɑu⁵⁵	ɹɑu⁵⁵	horn	horn		1.2.2		0		814
39662	505	Darang [Taraon]	lɯ³¹|mɯn⁵⁵	lɯ³¹|mɯn⁵⁵	tail	tail		1.4.10.1		0		1288
39663	505	Darang [Taraon]	mɑ³¹ tɕu⁵³ ɹɑu⁵⁵	mɑ³¹ tɕu⁵³ ɹɑu⁵⁵	antler	antler		1.2.2		0		m,m,819
39664	505	Darang [Taraon]	ɑ³¹ dzɑɯ³⁵	ɑ³¹ dzɑɯ³⁵	cock's comb	cock's comb		1.2.2.1		0		
39665	505	Darang [Taraon]	a³¹ ju⁵³	a³¹ ju⁵³	dewlap	dewlap		1.4.2		0		
39667	505	Darang [Taraon]	tiɯŋ⁵⁵	tiɯŋ⁵⁵	body	body		1.1.1		0		6
39668	505	Darang [Taraon]	tʰɯŋ⁵⁵	tʰɯŋ⁵⁵	corpse (shi)	corpse (shi)		1.1.6.1		0		23
39669	505	Darang [Taraon]	kɹu⁵³	kɹu⁵³	head	head		1.2.1		0		1221
39670	505	Darang [Taraon]	mɑ³¹ plɑŋ³⁵	mɑ³¹ plɑŋ³⁵	forehead	forehead		1.2.5.1		0		m,392
39671	505	Darang [Taraon]	tɑ³¹ kueŋ⁵³	tɑ³¹ kueŋ⁵³	wrinkle	wrinkle		9.6.2		0		
39672	505	Darang [Taraon]	tɯi⁵⁵ ɑ⁵⁵ mɑ³¹ ŋɑ³⁵	tɯi⁵⁵ ɑ⁵⁵ mɑ³¹ ŋɑ³⁵	five organs (wuguan)	five organs (wuguan)		9.9		0		m,m,p,1306
39673	505	Darang [Taraon]	tʰɯŋ³⁵	tʰɯŋ³⁵	hair (head)	hair (head)		1.2.3		0		371
39674	505	Darang [Taraon]	tʰɯŋ³⁵ plɯ⁵⁵	tʰɯŋ³⁵ plɯ⁵⁵	braid	braid		1.2.3.2		0		371,2018
