rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
541519	2108	Byangsi	aijamma:	aijamma:	these	 these	adv.			1	0	dwb45		
541520	2108	Byangsi	aikho	aikho	here	 here	adv.			2	0	dwb45		5807
541521	2108	Byangsi	aimaŋ	aimaŋ	these (used for human beings)	 these (used for human beings)	adv.			3	0	dwb45		
541522	2108	Byangsi	aina gartɛ	aina gartɛ	like this	 like this	adv.			4	0	dwb45		5807
541523	2108	Byangsi	aiʃɛ	aiʃɛ	these	 these	adv.			5	0	dwb45		
541524	2108	Byangsi	aitɔksa:	aitɔksa:	this side	 this side	adv.			6	0	dwb45		5807
541525	2108	Byangsi	ai	ai	dem. pro. this	 dem. pro. this	adv.			7	0	dwb45		5807,m
541526	2108	Byangsi	akhan	akhan	sickle	 sickle	n.			8	0	dwb45		
541527	2108	Byangsi	akple	akple	lips	 lips	n.			9	0	dwb45		
541528	2108	Byangsi	ald5wa:re	ald5wa:re	jaw	 jaw	n.			10	0	dwb45		
541529	2108	Byangsi	alu	alu	potato	potato	n.			11	0	dwb45		bIndic
541530	2108	Byangsi	am	am	path	 path	n.			12	0	dwb45		
541531	2108	Byangsi	anɛ	anɛ	here	 here	adv.			13	0	dwb45		
541532	2108	Byangsi	aŋmo	aŋmo	lift, pick up	 to lift, to pick up	vi.			14	0	dwb47		
541533	2108	Byangsi	aptyali	aptyali	childless person	 childless person	n.			15	0	dwb45		
541534	2108	Byangsi	atɛ	atɛ	there	 there	adv.			16	0	dwb45		
541535	2108	Byangsi	atijamma:	atijamma:	these	 these	adv.			17	0	dwb45		
541536	2108	Byangsi	atikho	atikho	there	 there	adv.			18	0	dwb45		
541537	2108	Byangsi	atimaŋ	atimaŋ	those (used for human beings)	 those (used for human beings)	adv.			19	0	dwb45		
541538	2108	Byangsi	ati◦na gartɛ	atina gartɛ	that side	 that side	adv.			20	0	dwb45		
541539	2108	Byangsi	atiʃɛ	atiʃɛ	those	 those	adv.			21	0	dwb45		
541540	2108	Byangsi	ati◦tɔksa:	atitɔksa:	that side	 that side	adv.			22	0	dwb45		
541541	2108	Byangsi	ati	ati	dem. pro. that (remote)	 dem. pro. that (remote)	adv.			23	0	dwb45		
541542	2108	Byangsi	atlaŋ	atlaŋ	that much	 that much	adv.			24	0	dwb45		
541543	2108	Byangsi	at5o	at5o	flour	flour	n.			25	0	dwb45		e?,bIndic
541544	2108	Byangsi	àŋʃimo	àŋʃimo	boast	 to boast	vt.			26	0	dwb47		
541545	2108	Byangsi	a:gal	a:gal	rein	 rein	n.			27	0	dwb45		
541546	2108	Byangsi	a:m	a:m	mango	mango	n.			28	0	dwb45		bIndic
541547	2108	Byangsi	a:rsi	a:rsi	mirror	mirror	n.			29	0	dwb45		bIndic
541548	2108	Byangsi	a:	a:	mouth	 mouth	n.			30	0	dwb45		
541549	2108	Byangsi	baba:	baba:	father (term of address)	 father (term of address)	n.			31	0	dwb45		
541550	2108	Byangsi	babu	babu	father's eldest brother	 father's eldest brother	n.			32	0	dwb45		
541551	2108	Byangsi	bagta:re	bagta:re	weather	 weather	n.			33	0	dwb45		
541552	2108	Byangsi	baili	baili	childless woman	 childless woman	n.			34	0	dwb45		
541553	2108	Byangsi	balcham	balcham	braid	 braid	n.			35	0	dwb45		
541554	2108	Byangsi	balwa:	balwa:	sand	 sand	n.			36	0	dwb45		
