rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
458451	1961	Pyen	boŋ31	boŋ31	sky	sky		3.2.2	011001	0		
458452	1961	Pyen	mə33 nɯŋ45	mə33 nɯŋ45	sun	sun		3.2.10	011005	0		
458453	1961	Pyen	mə33 nɯŋ45 ʔɔk33 lan45 pa31	mə33 nɯŋ45 ʔɔk33 lan45 pa31	the sun rises	the sun rises		10.0	011006	0		
458454	1961	Pyen	ʔa33 la45	ʔa33 la45	moon	moon		3.2.2	011011	0		p,1016
458455	1961	Pyen	ʔa33 kɯ45	ʔa33 kɯ45	star	star		3.2.2	011016	0		
458456	1961	Pyen	boŋ31 pleŋ45 la33 pa31	boŋ31 pleŋ45 la33 pa31	shiny, shining	shiny, shining		7.1.11.1	011023	0		
458457	1961	Pyen	boŋ31 ki33 si31	boŋ31 ki33 si31	obscure, dark	obscure, dark		10.0	011024	0		
458458	1961	Pyen	ʔa33 man45	ʔa33 man45	wind	wind		3.2.1	011027	0		
458459	1961	Pyen	ʔa33 man45 to33	ʔa33 man45 to33	(wind) blow	(wind) blow	v.		011028	0		
458460	1961	Pyen	mo33 hɔ33	mo33 hɔ33	rain	rain		3.2.1	011036	0		2473,2080
458461	1961	Pyen	mo33 hɔ33 lui45	mo33 hɔ33 lui45	it rains	it rains		8.1	011037	0		
458462	1961	Pyen	laŋ33 thaŋ45	laŋ33 thaŋ45	rainbow	rainbow		3.2.1	011046	0		6003,6002
458463	1961	Pyen	boŋ31 ce31 ce31	boŋ31 ce31 ce31	thunder	thunder		3.2.1	011064	0		
458464	1961	Pyen	cha31 pe33 nin45	cha31 pe33 nin45	soil, earth	soil, earth		3.2.11	012007	0		
458465	1961	Pyen	la33 ba45 sɯ31	la33 ba45 sɯ31	stone	stone		3.2.9	012010	0		1269
458466	1961	Pyen	mɔn45	mɔn45	hill, mountain	hill, mountain		3.2.5	012014	0		
458467	1961	Pyen	laŋ45	laŋ45	water	water		3.2.3	012032	0		191
458468	1961	Pyen	laŋ45 kɯŋ45	laŋ45 kɯŋ45	(water) clear	(water) clear			012044	0		191,m
458469	1961	Pyen	laŋ45 khun31	laŋ45 khun31	muddy	muddy		3.2.11	012045	0		
458470	1961	Pyen	laŋ45 ʔɔŋ33	laŋ45 ʔɔŋ33	lake	lake		3.2.5	012063	0		
458471	1961	Pyen	nam31 loŋ45	nam31 loŋ45	river	river		3.2.3	012064	0		m,191
458472	1961	Pyen	kham31	kham31	gold	gold		3.2.4	012072	0		bThai
458473	1961	Pyen	phlu45	phlu45	silver	silver		3.2.4	012073	0		1235
458474	1961	Pyen	sam33	sam33	iron	iron		3.2.4	012076	0		2676
458475	1961	Pyen	pa33 thɔ31	pa33 thɔ31	fire	fire		3.2.12.2	012098	0		
458476	1961	Pyen	pa33 thɔ31 sou31	pa33 thɔ31 sou31	(fire) go out	(fire) go out	v.		012098	0		
458477	1961	Pyen	bə33 khao31	bə33 khao31	smoke	smoke		3.2.12.2	012106	0		
458478	1961	Pyen	koŋ45 ka33	koŋ45 ka33	jungle	jungle		3.2.5	012118	0		
458479	1961	Pyen	la33 seʔ55 phjai45	la33 seʔ55 phjai45	mount a hill	mount a hill	v.	6.7.7	013005	0		
458480	1961	Pyen	seʔ55 loŋ33 ŋi45	seʔ55 loŋ33 ŋi45	descend from a hill	descend from a hill	v.	6.7.8	013006	0		
458481	1961	Pyen	toŋ31 mi31	toŋ31 mi31	tail	tail		1.4.10.1	020004	0		m,1288
458482	1961	Pyen	ʔaŋ45 chao45	ʔaŋ45 chao45	horn	horn		1.2.2	020009	0		
458483	1961	Pyen	sa33 la31	sa33 la31	tiger	tiger		2.1.3	021002	0		m,5560
458484	1961	Pyen	ja33 ba33	ja33 ba33	elephant	elephant		2.2.1	021010	0		3317,s
458485	1961	Pyen	che33	che33	deer	deer		2.2.2	021012	0		2313
458486	1961	Pyen	ʔa33 vam45	ʔa33 vam45	bear	bear		2.2.3	021015	0		p,2777
458487	1961	Pyen	ho33 tam21	ho33 tam21	mouse	mouse		2.1.1	021022	0		2630,m
458488	1961	Pyen	hai33 ja31	hai33 ja31	bird	bird		2.2.4	022001	0		1606,2187
458489	1961	Pyen	pja45 min45	pja45 min45	fly	fly	v.	2.2.6	022002	0		
458490	1961	Pyen	ʔaŋ33 ʔu33	ʔaŋ33 ʔu33	egg	egg			022010	0		m,301
458491	1961	Pyen	po31 pop55	po31 pop55	owl	owl		2.2.4.1	022013	0		
458492	1961	Pyen	ʔa33 wa31	ʔa33 wa31	crow	crow		2.2.4.1	022015	0		
458493	1961	Pyen	ti33 chen45	ti33 chen45	parrot	parrot		2.2.4.1	022021	0		
458494	1961	Pyen	ʔa33 mjaŋ45 hu45	ʔa33 mjaŋ45 hu45	ox	ox		2.1.2	023002	0		
458495	1961	Pyen	ʔa33 mjaŋ45 ba45	ʔa33 mjaŋ45 ba45	cow	cow		2.1.2	023003	0		
