rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
131228	1005	Pattani [Manchati]	phu◦kə	phu◦kə	body	body			1.1.1	1.1	0			13,m
131229	1005	Pattani [Manchati]	šu◦can	šu◦can	side (right)	side (right)			1.4.5	1.2	0			
131230	1005	Pattani [Manchati]	phu◦caŋ	phu◦caŋ	side (left)	side (left)			1.4.5	1.3	0			
131231	1005	Pattani [Manchati]	thàka	thàka	back	back			1.4.8	1.4	0	jbl5	HIDE	DUPE IN SOURCE
131232	1005	Pattani [Manchati]	Tu◦Niŋ	Tu◦Niŋ	lap	lap			1.4.4.2	1.8	0			m,251
131233	1005	Pattani [Manchati]	šà	šà	flesh / meat	flesh  /  meat			1.1.1.1	1.11	0	jbl3		34
131234	1005	Pattani [Manchati]	šiŋ◦mi	šiŋ◦mi	alive / be living	alive  /  be living			1.1.2.1	1.12	0	jbl3		71,m
131235	1005	Pattani [Manchati]	si	si	die / be dead	die  /  be dead			1.1.6	1.13	0	jbl3		27
131236	1005	Pattani [Manchati]	màʀə	màʀə	corpse / dead body	corpse  /  dead body			1.1.6.1	1.14	0	jbl3		
131237	1005	Pattani [Manchati]	im◦riŋ	im◦riŋ	sleep	sleep			1.1.4.1	1.16	0			127,m
131238	1005	Pattani [Manchati]	pheTe šubi	pheTe šubi	asleep	asleep	be	be	1.1.4.1	1.16	0			
131239	1005	Pattani [Manchati]	cè◦phi	cè◦phi	awake	awake (v.)	v		1.1.4	1.17	0	dwb21		150,m
131240	1005	Pattani [Manchati]	maŋ◦api	maŋ◦api	dream	dream (v.)	v		1.1.4.2	1.18	0	dwb21		126,m
131241	1005	Pattani [Manchati]	punza	punza	head	head			1.2.1	2.1	0			
131242	1005	Pattani [Manchati]	tshòŋ◦mo	tshòŋ◦mo	fontanel (soft spots in baby s	fontanel (soft spots in baby s			1.2.1.3	2.3	0			2007,s
131243	1005	Pattani [Manchati]	khopri	khopri	skull	skull			1.2.1.1	2.4	0			1241
131244	1005	Pattani [Manchati]	taŋ◦ña	taŋ◦ña	brain	brain			1.2.4	2.5	0	jbl5	HIDE	DUPE IN SOURCE
131245	1005	Pattani [Manchati]	ko krà	ko krà	hair of head	hair of head			1.2.3	2.7	0			386,367
131246	1005	Pattani [Manchati]	mod	mod	face	face			1.2.5	3.1	0			1187
131247	1005	Pattani [Manchati]	phyà	phyà	forehead / brow	forehead  /  brow			1.2.5.1	3.2	0	jbl3		384
131248	1005	Pattani [Manchati]	mìnjaŋ	mìnjaŋ	temple	temple			1.2.5.1	3.3	0			
131249	1005	Pattani [Manchati]	Ti◦ra	Ti◦ra	eye	eye			1.2.6	3.4	0			
131250	1005	Pattani [Manchati]	mik◦tsam	mik◦tsam	eyebrow	eyebrow			1.2.6.6	3.4.3	0			682,366
131251	1005	Pattani [Manchati]	mik◦tsam	mik◦tsam	eyelash	eyelash			1.2.6.5	3.4.4	0			682,366
131252	1005	Pattani [Manchati]	Tire rib ribsi	Tire rib ribsi	blink	blink (v.)	v		1.2.6.12	3.4.5	0	dwb21		m
131253	1005	Pattani [Manchati]	mik◦ti	mik◦ti	tears	tears			1.2.6.7	3.4.6	0			682,298
131254	1005	Pattani [Manchati]	krap◦i	krap◦i	cry  /  weep	cry  /  weep (v.)	v		1.8.8.2	3.4.8	0	dwb21		1103
