rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
232531	796	Khezha	ko̵◦mó	ko̵mó	body	body		1.1.1	1.1	0		m,17
232532	796	Khezha	ko̵mó	ko̵mó	torso / trunk	torso / trunk		1.5.3.2	1.6	0		
232533	796	Khezha	pheʼɯ̵̀ba	pheʼɯ̵̀ba	limbs / arms and legs	limbs / arms and legs		1.5.3.1	1.7	0		
232534	796	Khezha	ʼèko	ʼèko	flesh / meat	flesh / meat		1.1.1.1	1.11	0		
232535	796	Khezha	lhì	lhì	alive / be living	alive / be living		1.1.2.1	1.12	0		71
232536	796	Khezha	chì	chì	die / be dead	die / be dead		1.1.6	1.13	0		27
232537	796	Khezha	zɯ̵̀	zɯ̵̀	sleep / be asleep	sleep / be asleep		1.1.4.1	1.16	0		
232538	796	Khezha	(n)ʼezɯ̵	(n)ʼezɯ̵	sleep / be asleep	sleep / be asleep		1.1.4.1	1.16	0		
232539	796	Khezha	chɯ̵ʼɯ̵̀he	chɯ̵ʼɯ̵̀he	breathe	breathe	v.	1.1.2.2	1.12	0	HIDE	DUPE IN SOURCE
232540	796	Khezha	zɯ̵̀ňi	zɯ̵̀ňi	sleepy	sleepy		1.1.4.1	1.16	0		
232541	796	Khezha	ʼeco	ʼeco	awake / be awake	awake / be awake		1.1.4	1.17	0		
232542	796	Khezha	mòtshɯ̵	mòtshɯ̵	dream	dream	v.	1.1.4.2	1.18	0		
232543	796	Khezha	(n)ʼèmò	(n)ʼèmò	dream	dream	v.	1.1.4.2	1.18	0		
232544	796	Khezha	ketsɯ̵	ketsɯ̵	head	head		1.2.1	2.1	0		
232545	796	Khezha	ketsɯ̵ru	ketsɯ̵ru	skull	skull		1.2.1.1	2.4	0		
232546	796	Khezha	ʼèthró̵	ʼèthró̵	brain	brain		1.2.4	2.5	0		
232547	796	Khezha	ketsɯ̵thè	ketsɯ̵thè	hair of head	hair of head		1.2.3	2.7	0		
232548	796	Khezha	kepóʼɯ̵̀pi	kepóʼɯ̵̀pi	bald	bald		1.2.3.4	2.7	0		
232549	796	Khezha	tshɯ̵rhu	tshɯ̵rhu	dandruff	dandruff		1.2.1.5	2.8	0		
232550	796	Khezha	ʼè◦cí	ʼècí	horn (of animal)	horn (of animal)		1.2.2	2.10	0		p,2012
232551	796	Khezha	ʼè◦mhò̵	ʼèmhò̵	face	face		1.2.5	3.1	0		m,1187
232552	796	Khezha	kepó	kepó	forehead / brow	forehead / brow		1.2.5.1	3.2	0		
232553	796	Khezha	ne◦chɯ̵	nechɯ̵	eye	eye		1.2.6	3.4	0		682,1261
232554	796	Khezha	nechɯ̵rá	nechɯ̵rá	eyelid	eyelid		1.2.6.4	3.4.1	0		
232555	796	Khezha	nechɯ̵chɯ̵́	nechɯ̵chɯ̵́	eyeball	eyeball		1.2.6.1	3.4.2	0		
232556	796	Khezha	nechɯ̵tèňi	nechɯ̵tèňi	pupil	pupil		1.2.6.2	3.4.2.2	0		
232557	796	Khezha	nechɯ̵mhí	nechɯ̵mhí	eyebrow	eyebrow		1.2.6.6	3.4.3	0		
232558	796	Khezha	nechɯ̵mhí	nechɯ̵mhí	eyelash	eyelash		1.2.6.5	3.4.4	0		
232559	796	Khezha	nhejɯ̵́	nhejɯ̵́	tear	tear (n.)	n	1.8.8.1	3.4.6	0		
232560	796	Khezha	tre	tre	cry / weep	cry / weep	v.	1.8.8.2	3.4.8	0		1103
232561	796	Khezha	zò	zò	see / look	see / look	v.	1.2.6.10	3.4.9	0		
232562	796	Khezha	ŋo̵	ŋo̵	see / look	see / look	v.	1.2.6.10	3.4.9	0		6172
232563	796	Khezha	ne◦chɯ̵◦ʼɯ̵◦ce	nechɯ̵ʼɯ̵ce	blind	blind		1.2.6.14.2	3.4.10	0		682,1261,m,1401
232564	796	Khezha	nhɯ̵◦kà	nhɯ̵kà	nose	nose		1.2.8	3.5	0		803,2093
232565	796	Khezha	nhɯ̵kà kèlé	nhɯ̵kà kèlé	nostril	nostril		1.2.8.1	3.5.2	0		
232566	796	Khezha	nha◦bó̵	nhabó̵	liquid mucus	liquid mucus		3.2.3	3.5.6	0		805,m
232567	796	Khezha	nha◦bó̵◦kwé	nhabó̵kwé	solid mucus (dried)	solid mucus (dried)		1.1.5	3.5.7	0		805,m,m
232568	796	Khezha	te◦nhi	tenhi	smell / sniff	smell / sniff	v.	1.2.8.5	3.5.9	0		m,1415?
232569	796	Khezha	kenɯ̵́	kenɯ̵́	ear	ear		1.2.7	3.6	0		811
232570	796	Khezha	kenɯ̵́po	kenɯ̵́po	earlobe	earlobe		1.2.7.1	3.6.1	0		
232571	796	Khezha	che	che	hear	hear	v.	1.2.7.4	3.6.7	0		
232572	796	Khezha	ʼen◦ɯ̵́	ʼenɯ̵́	listen	listen		1.2.7.4	3.6.7	0		1410,m
232573	796	Khezha	cheʼéchɯ̵	cheʼéchɯ̵	audible	audible		1.2.7.4	3.6.7	0		
232574	796	Khezha	kenɯ̵́po	kenɯ̵́po	deaf	deaf		1.2.7.5	3.6.8	0		
232575	796	Khezha	ketí	ketí	mouth	mouth		1.3.1	3.7	0		
232576	796	Khezha	mecí	mecí	saliva	saliva		1.8.3	3.7.5	0		
232577	796	Khezha	to	to	eat	eat	v.	1.5.3.2	3.7.6	0		
