rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
505704	1991	Ao (Chungli)	-cā	-cā	call	call	v.	8.5.13	2	0		7596
505705	1991	Ao (Chungli)	-cɯ̄m	-cɯ̄m	drink	drink	v.		2	0		
505706	1991	Ao (Chungli)	-ī	-ī	go in	go in	v.	6.7.2	2	0		5463
505707	1991	Ao (Chungli)	-īn	-īn	grow	grow	v.	9.7.2	2	0		7724
505708	1991	Ao (Chungli)	-jɯ̄m	-jɯ̄m	flow/fly	flow/fly	v.	6.6.1	2	0		2588
505709	1991	Ao (Chungli)	-kā	-kā	gape	gape	v.	1.3.1	2	0		273
505710	1991	Ao (Chungli)	-kɯ̄m	-kɯ̄m	become	become	v.	9.5	2	0		7677
505711	1991	Ao (Chungli)	-kāŋ	-kāŋ	demand	demand	v.	8.5.1	2	0		
505712	1991	Ao (Chungli)	-kūŋ	-kūŋ	crow	crow	v.	2.2.4.1	2	0		
505713	1991	Ao (Chungli)	-lāŋ	-lāŋ	cheap	cheap	be v.	5.9	2	0		
505714	1991	Ao (Chungli)	-lɯ̄m	-lɯ̄m	distribute	distribute	v.	6.23	2	0		89
505715	1991	Ao (Chungli)	-lɯ̄n	-lɯ̄n	strangle	strangle	v.	6.4	2	0		
505716	1991	Ao (Chungli)	-lī	-lī	live	live	v.	1.1.2.1	2	0		2608
505717	1991	Ao (Chungli)	-lū	-lū	go down	go down	v.	6.7.2	2	0		
505718	1991	Ao (Chungli)	-lūŋ	-lūŋ	roll	roll	v.	6.7.6	2	0		
505719	1991	Ao (Chungli)	-mɯ̄n	-mɯ̄n	ripe	ripe	be v.	3.1.10	2	0		2449
505720	1991	Ao (Chungli)	-nāŋ	-nāŋ	sweet	sweet	be v.	7.1.4.4	2	0		6218
505721	1991	Ao (Chungli)	-nɯ̄m	-nɯ̄m	press	press	v.	9.5	2	0		5610
505722	1991	Ao (Chungli)	-nūŋ	-nūŋ	push	push	v.	6.2.2.3.1	2	0		
505723	1991	Ao (Chungli)	-pɯ̄n	-pɯ̄n	carry	carry	v.	6.2.2.2.1	2	0		7727
505724	1991	Ao (Chungli)	-pūŋ	-pūŋ	jump	jump	v.	6.7.8	2	0		
505725	1991	Ao (Chungli)	-rɯ̄m	-rɯ̄m	bear	bear	v.	2.2.3	2	0		5374
505726	1991	Ao (Chungli)	-rūŋ	-rūŋ	burn	burn	v.	3.2.12.1	2	0		2562
505727	1991	Ao (Chungli)	-sā	-sā	peel	peel	v.	1.5.3.2	2	0		
505728	1991	Ao (Chungli)	-sāŋ	-sāŋ	fry	fry	v.	5.5	2	0		
505729	1991	Ao (Chungli)	-sɯ̄	-sɯ̄	die	die	v.	1.1.6	2	0		27
505730	1991	Ao (Chungli)	-sɯ̄m	-sɯ̄m	pump	pump	v.		2	0		
505731	1991	Ao (Chungli)	-sī	-sī	tell	tell	v.	1.8.7	2	0		
505732	1991	Ao (Chungli)	-sū	-sū	cook	cook	v.	5.5	2	0		2749
505733	1991	Ao (Chungli)	-tā	-tā	fetch	fetch	v.	6.2.2.2.2	2	0		
505734	1991	Ao (Chungli)	-tāŋ	-tāŋ	grow (fruit)	grow (fruit)	v.	9.7.2	2	0		
505735	1991	Ao (Chungli)	-tɯ̄n	-tɯ̄n	sing	sing	v.	5.1	2	0		
505736	1991	Ao (Chungli)	-tāŋ	-tāŋ	answer	answer	v.	8.5.6	2	0		
505737	1991	Ao (Chungli)	-tɯ̄m	-tɯ̄m	finish	finish	v.	9.5	2	0		
505738	1991	Ao (Chungli)	-tɯ̄m	-tɯ̄m	plant	plant	v.	3.1.10	2	0		7696
505739	1991	Ao (Chungli)	-tɯ̄n	-tɯ̄n	collect water	collect water	v.	6.21	2	0		
505740	1991	Ao (Chungli)	-cɯ̄ŋ	-cɯ̄ŋ	spear	spear	v.	5.14	2	0		
505741	1991	Ao (Chungli)	-tū	-tū	go up	go up	v.	6.7.2	2	0		148
505742	1991	Ao (Chungli)	-ūn	-ūn	throw	throw	v.	6.12	2	0		3528
505743	1991	Ao (Chungli)	-ūŋ	-ūŋ	shave	shave	v.	6.9.2	2	0		
505744	1991	Ao (Chungli)	-wāŋ	-wāŋ	warm	warm	v.	7.1.2.3	2	0		
505745	1991	Ao (Chungli)	īrā	īrā	fatten	fatten	v.	1.6.4	2	0		
505746	1991	Ao (Chungli)	jāŋlū	jāŋlū	make	make	v.	6.14	2	0		
505747	1991	Ao (Chungli)	kɯ̄m◦tāŋ	kɯ̄m◦tāŋ	careful	careful	be v.	8.3.2.3.1	2	0		
505748	1991	Ao (Chungli)	kāŋsī	kāŋsī	suffer	suffer	v.	6.2	2	0		
505749	1991	Ao (Chungli)	kɯ̄lɯ̄m	kɯ̄lɯ̄m	worship	worship	v.	5.8.1.3	2	0		6199
