rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
167169	256	Angami (Kohima)	(u) mo³¹	(u) mo³¹	body	body			1.1.1	1.1	0			18,17
167170	256	Angami (Kohima)	(u) za¹¹◦tsa³¹	(u) za¹¹◦tsa³¹	side (right)	side (right)			1.4.5	1.2	0			m,2786
167171	256	Angami (Kohima)	(u) vi⁵⁵ t sa³¹	(u) vi⁵⁵ t sa³¹	side (left)	side (left)			1.4.5	1.3	0			m,2154
167172	256	Angami (Kohima)	(u) sie⁵⁵◦tsa³¹	(u) sie⁵⁵tsa³¹	back	back			1.4.8	1.4	0			p,223,3391
167173	256	Angami (Kohima)	(u) mho³¹ dzü³⁵ tsa³¹	(u) mho³¹ dzü³⁵ tsa³¹	front	front			1.4.4	1.5	0			
167174	256	Angami (Kohima)	(u) phi³¹ (u)bo¹¹	(u) phi³¹ (u)bo¹¹	limbs / arms and legs	limbs  /  arms and legs			1.5.3.1	1.7	0	jbl3		
167175	256	Angami (Kohima)	(u) do³³	(u) do³³	lap	lap			1.4.4.2	1.8	0			
167176	256	Angami (Kohima)	cʰü¹¹	cʰü¹¹	flesh / meat	flesh  /  meat			1.1.1.1	1.11	0	jbl3		34
167177	256	Angami (Kohima)	lhou³¹	lhou³¹	alive / be living	alive  /  be living			1.1.2.1	1.12	0	jbl3		71
167178	256	Angami (Kohima)	sia³¹	sia³¹	die / be dead	die  /  be dead			1.1.6	1.13	0	jbl3		27
167179	256	Angami (Kohima)	ke³¹ sia³³ mo³¹	ke³¹ sia³³ mo³¹	corpse / dead body	corpse  /  dead body			1.1.6.1	1.14	0	jbl3		m,m,17
167180	256	Angami (Kohima)	cʰü¹¹ ke³¹ sia³³ mo³¹	cʰü¹¹ ke³¹ sia³³ mo³¹	carcass / dead animal	carcass  /  dead animal			1.1.6.1	1.15	0	jbl3		
167181	256	Angami (Kohima)	ze¹¹	ze¹¹	sleep /  be asleep	sleep  /   be asleep			1.1.4.1	1.16	0	jbl3		
167182	256	Angami (Kohima)	tso³⁵	tso³⁵	awake / be awake	awake  /  be awake			1.1.4	1.17	0	jbl3		
167183	256	Angami (Kohima)	pe³¹ ma³⁵	pe³¹ ma³⁵	dream	dream (v.)	v		1.1.4.2	1.18	0	dwb21		
167184	256	Angami (Kohima)	(u) tsü³⁵	(u) tsü³⁵	head	head			1.2.1	2.1	0			18,m
