rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
132603	965	Lotha Naga	o◦tsuk	o◦tsuk	body (general)	body (general)			1.1.1	1	0			p,8
132604	965	Lotha Naga	o◦tsuk	o◦tsuk	body	body			1.1.1	1.1	0			p,8
132605	965	Lotha Naga	hamimoe	hamimoe	side (right)	side (right)			1.4.5	1.2	0			
132606	965	Lotha Naga	hayi◦we	hayi◦we	side (left)	side (left)			1.4.5	1.3	0			m,2154
132607	965	Lotha Naga	man◦kvu	man◦kvu	back	back			1.4.8	1.4	0			1107,211
132608	965	Lotha Naga	o◦jo	ojo	legs	legs			1.5.7	1.7	0			p,888?
132609	965	Lotha Naga	o◦kle	okle	arms / hands	arms  /  hands			1.5.1.2	1.7	0	jbl3		p,742b
132610	965	Lotha Naga	o phi	o phi	lap	lap			1.4.4.2	1.8	0			m,m
132611	965	Lotha Naga	o◦phi	o◦phi	groin / loins / hips	groin  /  loins  / hips			1.4.9	1.10	0	jbl3		p,1361
132612	965	Lotha Naga	o◦so	o◦so	flesh / meat	flesh  /  meat			1.1.1.1	1.11	0	jbl3		p,34
132613	965	Lotha Naga	van◦a	van◦a	alive / be living	alive  /  be living			1.1.2.1	1.12	0	jbl3		m,s
132614	965	Lotha Naga	chu◦a	chua (die) chuthaka (dead)	die	die  /  be dead			1.1.6	1.13	0	jbl3	E	27,s
132615	965	Lotha Naga	yip◦a	yi◦pa	sleep /  be asleep	sleep  /   be asleep			1.1.4.1	1.16	0	jbl3		127,s
132616	965	Lotha Naga	phan◦Nthia	phan◦Nthia	awake / be awake	awake  /  be awake			1.1.4	1.17	0	jbl3		151,m
132617	965	Lotha Naga	o◦mung	o◦mung	dream	dream (v.)	v		1.1.4.2	1.18	0	dwb21		p,126
132618	965	Lotha Naga	kvu◦ri	kvu◦ri	head	head			1.2.1	2	0			386,m
132619	965	Lotha Naga	Kichuk	Kichuk	brain	brain			1.2.4	2.5	0			463
132620	965	Lotha Naga	o◦tsaN	o◦tsaN	hair of head	hair of head			1.2.3	2.7	0			m,366
132621	965	Lotha Naga	E◦jU	E◦jU	horn (of animal)	horn (of animal)			1.2.2	2.10	0			p,819
132622	965	Lotha Naga	o◦Mha	o◦Mha	face	face			1.2.5	3.1	0			p,1187
