rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
17100	1366	Sani [Nyi]	pi⁵⁵	pi⁵⁵	close	close	v	6.2.2.6.2	1.1	0		5709
17101	1366	Sani [Nyi]	pi³³	pi³³	step	step		6.7.4	1.2	0		
17102	1366	Sani [Nyi]	pi̱⁴⁴	pi̱⁴⁴	read (scriptures)	read (scriptures)		6.2.2.9.3	1.3	0		
17103	1366	Sani [Nyi]	pi̱²² pi̱²²	pi̱²² pi̱²²	favus of scalp? (lali)	favus of scalp? (lali)		1.2.1.5	2.1	0		
17104	1366	Sani [Nyi]	pɪ⁵⁵ pɪ⁵⁵ tɬɑ⁵⁵ tɬɑ⁵⁵	pɪ⁵⁵ pɪ⁵⁵ tɬɑ⁵⁵ tɬɑ⁵⁵	weeping and crying	weeping and crying		1.8.8.2	2.2	0		
17105	1366	Sani [Nyi]	pɪ³³ ko̱⁴⁴	pɪ³³ ko̱⁴⁴	hunchback	hunchback		1.4.8.3	3.1	0		m,m
17106	1366	Sani [Nyi]	pæ⁵⁵ qʰɪ³³	pæ⁵⁵ qʰɪ³³	have sex	have sex		8.2	4.1	0		
17107	1366	Sani [Nyi]	pu³³	pu³³	call, crow, roar	call, crow, roar		8.5.13	5.1	0		
17108	1366	Sani [Nyi]	pɯ⁵⁵	pɯ⁵⁵	stupid	stupid		8.3	10.1	0		
17109	1366	Sani [Nyi]	ne³³ sɿ²¹ pʰu³³	ne³³ sɿ²¹ pʰu³³	open eyes	open eyes		6.2.2.6.1	18.1	0		m,m,5704
17110	1366	Sani [Nyi]	be³³	be³³	speak	speak		8.5.10.1	21.1	0		
17111	1366	Sani [Nyi]	bɑ²¹ pɑ³³	bɑ²¹ pɑ³³	mouth	mouth		1.3.1	24.1	0		
17112	1366	Sani [Nyi]	bɑ²¹ pɑ³³ gɑ²¹	bɑ²¹ pɑ³³ gɑ²¹	kiss	kiss	v	1.3.2.2	24.2	0		
17113	1366	Sani [Nyi]	bɑ²¹ ni⁵⁵ ɣɯ²¹	bɑ²¹ ni⁵⁵ ɣɯ²¹	cheekbone	cheekbone		1.2.5.2	24.3	0		268,2052,232
17114	1366	Sani [Nyi]	bɤ⁵⁵	bɤ⁵⁵	peck (bird), bite (snake)	peck (bird), bite (snake)		1.5.3.2	25.1	0		
17115	1366	Sani [Nyi]	bu³³	bu³³	shoulder	shoulder		1.4.3	25.2	0		1327
17116	1366	Sani [Nyi]	bu³³ tɕʰæ³³	bu³³ tɕʰæ³³	shoulder	shoulder		1.4.3	25.3	0		1327,m
17117	1366	Sani [Nyi]	a²¹ nɯ̱⁴⁴ bu²¹	a²¹ nɯ̱⁴⁴ bu²¹	birth, give	birth, give		1.1.2	25.4	0		p,m,1811
17118	1366	Sani [Nyi]	bɯ̱⁴⁴	bɯ̱⁴⁴	chancre	chancre			27.1	0		
17119	1366	Sani [Nyi]	sɿ²¹ ŋo⁵⁵ bɯ̱⁴⁴	sɿ²¹ ŋo⁵⁵ bɯ̱⁴⁴	syphilis	syphilis			27.2	0		
17120	1366	Sani [Nyi]	kɯ³³ pɯ³³ mɪ²¹	kɯ³³ pɯ³³ mɪ²¹	filthy (body)	filthy (body)		1.8.5.4	28.1	0		2,1902,m
17121	1366	Sani [Nyi]	mɪ²¹ pɤ̱⁴⁴	mɪ²¹ pɤ̱⁴⁴	filth (body)	filth (body)		1.8.5	28.2	0		
17122	1366	Sani [Nyi]	mæ³³ pa̱⁴⁴	mæ³³ pa̱⁴⁴	raise (tail)	raise (tail)		6.7.7	33.1	0		1288,m
17123	1366	Sani [Nyi]	mæ⁵⁵ pu³³	mæ⁵⁵ pu³³	buttocks	buttocks		1.4.10	33.2	0		1288,404
17124	1366	Sani [Nyi]	mæ⁵⁵ vi³³	mæ⁵⁵ vi³³	wag, shake (tail)	wag, shake (tail)		1.4.10.1.1	33.3	0		1288,m
17126	1366	Sani [Nyi]	mæ³³	mæ³³	castrate, caponize	castrate, caponize		1.9.2.3	33.5	0		475
17127	1366	Sani [Nyi]	m̩⁵⁵ to̱⁴⁴	m̩⁵⁵ to̱⁴⁴	gelding	gelding		2.1.7	38.1	0		
17128	1366	Sani [Nyi]	m̩⁵⁵ qa⁵⁵	m̩⁵⁵ qa⁵⁵	geld (horse)	geld (horse)		2.1.7	38.2	0		1431,m
17129	1366	Sani [Nyi]	m̩²¹ ʑi̱⁴⁴	m̩²¹ ʑi̱⁴⁴	shadow	shadow		3.2.10	43.1	0		m,2614
17130	1366	Sani [Nyi]	fi⁵⁵ dɤ²¹ dɤ²¹ m̩³³	fi⁵⁵ dɤ²¹ dɤ²¹ m̩³³	very numb	very numb		7.1.2.2	46.1	0		5686,m,m,m
17131	1366	Sani [Nyi]	vi³³	vi³³	numbing (of taste)	numbing (of taste)		1.5.11	50.1	0		
17132	1366	Sani [Nyi]	vi̱⁴⁴ l̩³³	vi̱⁴⁴ l̩³³	smallpox	smallpox		5.3	50.2	0		
17133	1366	Sani [Nyi]	ve²¹ xɯ³³ tɤ⁵⁵	ve²¹ xɯ³³ tɤ⁵⁵	castrate (pig)	castrate (pig)		1.9.2.3	53.1	0		1006,m,b
