rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
293883	514	Deori/Deuri	múku	múku	air / rain	air / rain		1.1.2.2	64	0		
293884	514	Deori/Deuri	chimechi	chimechi	ant	ant		2.2.6	64	0		
293885	514	Deori/Deuri	ó◦tu	ó◦tu	arm	arm		1.5.1.2	64	0		p,771
293886	514	Deori/Deuri	átha	átha	arrow	arrow		5.15	64	0		
293887	514	Deori/Deuri	loa	loa	axe	axe		5.11.5.3	64	0		
293888	514	Deori/Deuri	miski-kiri móshi	miski-kiri móshi	bachelor	bachelor		4.2.8	64	0		
293889	514	Deori/Deuri	imári	imári	back	back		1.4.8	64	0		
293890	514	Deori/Deuri	nyéchå	nyéchå	bag	bag			64	0		
293891	514	Deori/Deuri	hardun	hardun	bank (river)	bank (river)		9.10.2	64	0		
293892	514	Deori/Deuri	yua	yua	bamboo	bamboo		3.1.1	64	0		
293893	514	Deori/Deuri	chikuru	chikuru	bark (tree)	bark (tree)		2.1.11.1	64	0		
293894	514	Deori/Deuri	gyépa	gyépa	basket	basket		5.1	64	0		
293895	514	Deori/Deuri	gusha shímu	gusha shímu	beard	beard		1.2.5.5	64	0		
293896	514	Deori/Deuri	mekfung	mekfung	bear	bear		2.2.3	64	0		
293897	514	Deori/Deuri	gia	gia	bee	bee		2.2.6	64	0		
293898	514	Deori/Deuri	suje	suje	beer	beer		3.1.6.3	64	0		
293899	514	Deori/Deuri	uthung	uthung	belly	belly		1.4.7	64	0		
293900	514	Deori/Deuri	dua	dua	bird	bird		2.2.4	64	0		1604
293901	514	Deori/Deuri	chí	chí	blood	blood		1.6.2	64	0		230
293902	514	Deori/Deuri	nung	nung	boat	boat		5.1	64	0		
293903	514	Deori/Deuri	så	så	body	body		1.1.1	64	0		
293904	514	Deori/Deuri	pichong	pichong	bone	bone		1.6.3	64	0		
293905	514	Deori/Deuri	thál	thál	bough	bough		3.1.2	64	0		
293906	514	Deori/Deuri	chigung	chigung	bow	bow		5.15	64	0		
293907	514	Deori/Deuri	mukagu mausha	mukagu mausha	boy	boy		1.9.6.1	64	0		
293908	514	Deori/Deuri	osung	osung	bracelet	bracelet		5.11.8.3	64	0		
293909	514	Deori/Deuri	cheng	cheng	breast	breast		1.4.4.3	64	0		
293910	514	Deori/Deuri	ukha	ukha	breath	breath		1.1.2.2	64	0		
293911	514	Deori/Deuri	kijong	kijong	bridge	bridge		9.10.2	64	0		
293912	514	Deori/Deuri	shoi	shoi	broom	broom		5.4	64	0		
293913	514	Deori/Deuri	mei	mei	buffalo	buffalo		2.1.2	64	0		b
293914	514	Deori/Deuri	mushu	mushu	bullock	bullock		2.1.2	64	0		b
293915	514	Deori/Deuri	siring	siring	buttock	buttock		1.4.9.2	64	0		
293916	514	Deori/Deuri	sokatung	sokatung	cane	cane		5.11.8.2.2	64	0		
293917	514	Deori/Deuri	midige	midige	cat	cat		2.1.3	64	0		
293918	514	Deori/Deuri	mausha	mausha	child	child		1.5.3.2	64	0		
293919	514	Deori/Deuri	fráchu	fráchu	chilis	chilis			64	0		
293920	514	Deori/Deuri	gusha	gusha	chin	chin		1.2.5.3	64	0		
293921	514	Deori/Deuri	haiza	haiza	cholera	cholera		5.3	64	0		
