rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
294407	471	Chinese (Old)	njin	njin	person	person		4.5	1	0	HIDE	DUPE IN SOURCE
294408	471	Chinese (Old)	hwin	hwin	far away	far away		9.2.4	2	0	HIDE	DUPE IN SOURCE
294409	471	Chinese (Old)	djans	djans	hand over to another	hand over to another		1.5.1.1	33	0	HIDE	DUPE IN SOURCE
294410	471	Chinese (Old)	tan	tan	single	single		9.9	34	0	HIDE	DUPE IN SOURCE
294411	471	Chinese (Old)	ngjan	ngjan	word / speak	word / speak		8.5.10.2	43	0		
294412	471	Chinese (Old)	njan	njan	burn / thus	burn / thus		3.2.12.1	44	0	HIDE	DUPE IN SOURCE
294413	471	Chinese (Old)	tjɨn	tjɨn	numerous / majestic	numerous / majestic		9.9	58	0	HIDE	DUPE IN SOURCE
294414	471	Chinese (Old)	kjɨn	kjɨn	axe / catty	axe / catty		5.11.5.3	59	0		
294415	471	Chinese (Old)	njan	njan	burn / thus	burn / thus		3.2.12.1	60	0	D2	
294416	471	Chinese (Old)	ngjan	ngjan	word	word		8.5.10.2	61	0	HIDE	DUPE IN SOURCE
294417	471	Chinese (Old)	gruj	gruj	yearn	yearn		8.3.1.14.1	103	0	HIDE	DUPE IN SOURCE
294418	471	Chinese (Old)	kʷjɨj	kʷjɨj	return	return		6.2.2.1	104	0		
294419	471	Chinese (Old)	sngrjanʔ	sngrjanʔ	breed / bear	breed / bear		1.9.1.1	118	0	HIDE	DUPE IN SOURCE
294420	471	Chinese (Old)	smang	smang	mourning / burial	mourning / burial		8.3.1.5.2	119a	0	HIDE	DUPE IN SOURCE
294421	471	Chinese (Old)	smangs	smangs	lose	lose		6.10.1	119b	0	HIDE	DUPE IN SOURCE
294422	471	Chinese (Old)	mjang	mjang	not have / not exist / die	not have / not exist / die		1.5.3.2	120	0		
294423	471	Chinese (Old)	Sgʷjan	Sgʷjan	spring	spring		6.7.9	121	0		
294424	471	Chinese (Old)	ɦprats	ɦprats	defeated	be defeated	be v.	6.5	122	0	HIDE	DUPE IN SOURCE
294425	471	Chinese (Old)	prats	prats	defeat	defeat		6.5	123	0	HIDE	DUPE IN SOURCE
294426	471	Chinese (Old)	Nkjon	Nkjon	head / supreme / great	head / supreme / great		1.2.1	124	0		
294427	471	Chinese (Old)	kon	kon	cap	cap		5.11.8.2.1.1	125	0	HIDE	DUPE IN SOURCE
294428	471	Chinese (Old)	kram	kram	see / inspect	see / inspect		1.2.6.10	126	0		
294429	471	Chinese (Old)	g-|ram	g-ram	indigo	indigo		3.1.2	127	0	D5	5360
294430	471	Chinese (Old)	tjɨk	tjɨk	weave	weave		5.1	128	0	HIDE	DUPE IN SOURCE
294431	471	Chinese (Old)	ngje	ngje	child / son	child / son		1.5.3.2	129	0	HIDE	DUPE IN SOURCE
294432	471	Chinese (Old)	srjeng	srjeng	born; live, be alive; be fresh	be born; live, be alive; be fresh	be v.	10.4.1.1	130	0		71
