rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
76078	1580	Tibetan (Written)	cha-ba	cha-ba	start to, be on the point of	start to, be on the point of		10.1.1	36	0		
76079	1580	Tibetan (Written)	cha	cha	start to, be on the point of	start to, be on the point of		10.1.1	36	0		
76080	410	Burmese (Written)	cá	cá	begin, at first	begin, at first		9.5	36	0		
76082	1580	Tibetan (Written)	khral	khral	tax, burden	tax, burden		5.9	36	0		
76083	1580	Tibetan (Written)	lag-pa	lag-pa	hand	hand		1.5.1.1	37	0		695,s
76084	410	Burmese (Written)	lak	lak	hand	hand		1.5.1.1	37	0		695
76085	1580	Tibetan (Written)	mchu	mchu	lip, bill / beak of birds	lip, bill / beak of birds		1.3.1.2	39	0		442
76086	1580	Tibetan (Written)	dom	dom	bear	bear		2.2.3	40	0		2777
76087	613	rGyalrong	twŏm	twŏm	bear	bear		2.2.3	40	0		2777
76088	1540	Thebor	hom	hom	bear	bear		2.2.3	40	0		2777
76089	528	Digaro	tə◦ham~tə◦hum	tə◦ham~tə◦hum	bear	bear		2.2.3	40	0		m,2777,m,2777
76090	306	Bahing	wam	wam	bear	bear		2.2.3	40	0		2777
76091	1077	Mishing [Miri]	si-tum	si-tum	bear	bear		2.2.3	40	0		m,2777
76092	410	Burmese (Written)	(wak-)wam	(wak-)wam	bear	bear		2.2.3	40	0		m,2777
76093	468	Chinese (Middle)	ṣǎn	ṣǎn	breed, bear, produce	breed, bear, produce	v.	1.9.1.1	40	0	DELETED	
76094	1580	Tibetan (Written)	srel-ba	srel-ba	bring up, rear	bring up, rear		6.2.2.2.2	40	0		327,m
76095	1580	Tibetan (Written)	srel	srel	stem	stem		3.1.2	40	0	E	e
76096	1580	Tibetan (Written)	bung-ba	bung-ba	bee	bee		2.2.6	41	0		302,s
76097	410	Burmese (Written)	kwài	kwài	dammer bee	dammer bee		1.5.3.2	41	0		2370
76098	986	Lushai [Mizo]	khuai~khoi	khuai~khoi	bee	bee		2.2.6	41	0		2370,2370
76099	1516	Thado	khoi~khui(-va)	khoi~khui(-va)	bee	bee		2.2.6	41	0		2370,2370,m
76100	1206	Anong	thɛ	thɛ	big	big		9.7.2	42	0		2697
76101	1069	Mikir [Karbi]	the	the	big	big		9.7.2	42	0		2697
76102	410	Burmese (Written)	tai	tai	very	very		7.1.2.2	42	0		
76103	1580	Tibetan (Written)	ldad bldad ldod	ldad bldad ldod	chew	chew		1.3.4	43	0		1147,1147,1147
