rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
77700	1632	Wancho	pai tu	pai tu	after	after			9.1.5	449	0			7190,m
77701	809	Konyak	phei me	phei me	after	after			9.1.5	449	0			7190,m
77702	1283	Phom	phei kə	phei kə	after	after			9.1.5	449	0			7190,m
77703	435	Chang	pai	pai	back (adv.) / behind / backwards	back / behind / backwards			9.2.8	449	0			7190
77704	435	Chang	pai a	pai a	after, behind	after, behind			9.1.5	449	0			7190,m
77705	435	Chang	pai bu	pai bu	last second (of two)	last  second (of two)	adj.	adj.	9.9	449	0	jbl3		7190,m
77706	1192	Nocte	ro raŋ	ro raŋ	alike	alike			7.1.7.2	449	0			m,7191
77707	435	Chang	a yen	a yen	unequal (of soil, etc.)	alike	be v.		1.5.3.2	449	0			p,7191
77708	689	Jingpho	ma ren	ma ren	alike	alike			7.1.7.2	449	0		u	
77709	1192	Nocte	hiŋ	hiŋ	live	live	v.	v.	1.1.2.1	449	0			71
77710	1283	Phom	u šiŋ	u šiŋ	seed	seed			3.1.4	449	0			
77711	1107	Tangsa (Moshang)	a ta roŋ	a ta roŋ	live	live	v.	v.	1.1.2.1	449	0		D1	p,1819,71
77712	1632	Wancho	a zaŋ	a zaŋ	live	live	v.	v.	1.1.2.1	449	0			p,7193
77713	1632	Wancho	e zaŋ	e zaŋ	green	green			9.4	449	0			p,7193
77714	1283	Phom	yaŋ ñu	yaŋ ñu	live	live	v.	v.	1.1.2.1	449	0		D1	7193?,79
77715	1632	Wancho	a raŋ	a raŋ	alive; raw	alive; raw			1.1.2.1	449	0			p,71
77716	435	Chang	laŋ	laŋ	live, living	live, living	v.	v.	1.1.2.1	449	0			71
77718	809	Konyak	a yin	a yin	life	life			1.1.2.1	450	0			p,71
77719	1283	Phom	yem◦(bəm)	yem(bəm)	life	life			1.1.2.1	450	0			71,m
77720	1283	Phom	yem ñu	yem ñu	live	live	v.	v.	1.1.2.1	450	0		D1	71,79
77721	1632	Wancho	jo	jo	awake	awake			1.1.4	453	0			142
77722	809	Konyak	ši u lou	ši u lou	awake	awake			1.1.4	453	0			140,m,142
77723	1675	Tangsa (Yogli)	kʰeŋ paŋ	kʰeŋ paŋ	back	back			1.4.8	453	0			209,3326
77724	1107	Tangsa (Moshang)	kʰen ko	kʰen ko	yoke	yoke			5.14	453	0			209,m
