rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
79612	425	Chamling	Amla	Amla	finger	finger			1.5.6	4	0			
79613	425	Chamling	bebd-	bebd-	hold in lap	hold in lap			6.16	5	0			
79614	425	Chamling	beli	beli	oil / ghee	oil / ghee			1.6.4.1	5	0			m
79615	425	Chamling	bu◦lim	bu◦lim	body	body			1.1.1	6	0			
79616	425	Chamling	bhis-(a)	bhis-(a)	fart	fart			1.8.5.2	6	0			311,m
79617	425	Chamling	bhu◦si	bhu◦si	front	front			1.4.4	7	0			m,1214
79618	425	Chamling	ca-(u)	ca-(u)	eat	eat			1.5.3.2	7	0			36,s
79619	425	Chamling	cet-(u)	cet-(u)	tear / rip	tear / rip			1.8.8.1	8	0			
79620	425	Chamling	ci◦khli*	ci◦khli*	intestine	intestine			1.7.6	8	0			m,572
79621	425	Chamling	ci◦thora mu-(u)	cithora mu-(u)	scratch	scratch			1.6.5.5	8	0			1456,m,m,m,s
79622	425	Chamling	chArs-(u)	chArs-(u)	urinate	urinate			1.5.3.2	8	0			
79623	425	Chamling	chAr◦pe	chAr◦pe	urine	urine			1.8.4	8	0			652,m
79624	425	Chamling	che◦che◦lung◦ma	che◦che◦lung◦ma	marrow	marrow			1.6.3.5	9	0		D0	463,463,459,s
79625	425	Chamling	chi	chi	fat	fat			1.6.4	9	0			48
79626	425	Chamling	chu	chu	hand	hand			1.5.1.1	9	0			731
79627	425	Chamling	chuk	chuk	hand	hand			1.5.1.1	9	0			731
79628	425	Chamling	chuk◦se*	chuk◦se*	finger	finger			1.5.6	9	0			731
79629	425	Chamling	chu◦se*	chu◦se*	finger	finger			1.5.6	9	0			731
79630	425	Chamling	chuy	chuy	fat	fat			1.6.4	9	0			48
79631	425	Chamling	dali*	dali*	chin	chin			1.2.5.3	10	0			b
79632	425	Chamling	dang◦a◦li	dang◦a◦li	chin	chin			1.2.5.3	10	0			286,m,287
79633	425	Chamling	da◦wa◦li	da◦wa◦li	chin	chin			1.2.5.3	10	0			286,m,287
79634	425	Chamling	d̥Akara mu-(u)	d̥Akara mu-(u)	belch	belch			1.8.3.4	10	0			b
79635	425	Chamling	dAyN	dAyN	egg	egg				10	0			1181
79636	425	Chamling	dip-(u)	dip-(u)	milk	milk				11	0			
79637	425	Chamling	diptungma*	diptungma*	toe	toe			1.5.6	11	0			
79638	425	Chamling	duk◦se	duk◦se	neck	neck			1.4.2	11	0			359,m
79639	425	Chamling	dum mu-(u)	dum mu-(u)	talk	talk			8.5.10.1	11	0			
79640	425	Chamling	dung-	dung-	drink	drink				11	0			502
79641	425	Chamling	dung+mAyd-	dung+mAyd-	give suck	give suck			6.23	11	0			
79642	425	Chamling	dung+mu-(u)	dung+mu-(u)	give suck	give suck			6.23	11	0			
79643	425	Chamling	du◦se	du◦se	neck	neck			1.4.2	11	0			359,m
79644	425	Chamling	dyo	dyo	mouth	mouth			1.3.1	11	0			2095
79645	425	Chamling	dyomo le*	dyomo le*	saliva	saliva			1.8.3	11	0			
79646	425	Chamling	dzAn◦may mu-(u)	dzAn◦may mu-(u)	birth, give	birth, give	v.	v.	1.1.2	12	0			
79647	425	Chamling	dzhAmdzhAm tir-(a)	dzhAmdzhAm tir-(a)	tingle	tingle			8.4	12	0			
79648	425	Chamling	dhite	dhite	fever	fever			1.1.5.1	12	0			
79649	425	Chamling	dhyok-	dhyok-	bite / sting (snake)	bite / sting (snake)			1.3.4.4	12	0			1799
79650	425	Chamling	e-	e-	shit	shit			1.8.5	13	0			576
79651	425	Chamling	en-	en-	hear	hear			1.2.7.4	13	0			1410
79652	425	Chamling	ghi◦cro	ghi◦cro	throat / neck	throat / neck			1.3.5	13	0			m,488
79653	425	Chamling	ghura mu-(a)	ghura mu-(a)	snore	snore			1.8.2.2	13	0			b
79654	425	Chamling	haNchiuN mu-(u)	haNchiuN mu-(u)	sneeze	sneeze			1.8.2.1	13	0			2131,m,m
79655	425	Chamling	hay+ma-(a)	hay+ma-(a)	yawn	yawn			1.3.1.3	14	0			
79656	425	Chamling	hi	hi	blood	blood			1.6.2	14	0			230
79657	425	Chamling	hi ta-(a)	hi ta-(a)	bleed	bleed			1.6.2	14	0			230,m,m
79658	425	Chamling	hi◦pa khow◦wa	hi◦pa khow◦wa	pus	pus			1.8.6.1	14	0			m,m,m,m
79659	425	Chamling	hipdumma	hipdumma	hiccough	hiccough			1.8.3.5	14	0			
79660	425	Chamling	hnaps-(u)	hnaps-(u)	smell	smell	v.t.	v.t.	1.2.8.5	14	0			1415,m
79661	425	Chamling	hnAyd-(u)	hnAyd-(u)	have intercourse (male)	have intercourse (male)			8.2	15	0			
79662	425	Chamling	hu◦lep◦pa	hu◦lep◦pa	skin	skin			1.6.5	15	0			586,562,s
79663	425	Chamling	ims-(a)	ims-(a)	sleep	sleep			1.1.4.1	17	0			127,s
79664	425	Chamling	isamAri	isamAri	vomiting	vomiting			1.8.3.2	17	0			
79665	425	Chamling	kem-(u)	kem-(u)	chew	chew			1.3.4	18	0			630,m
79666	425	Chamling	kyung	kyung	jaw / tooth	jaw / tooth			1.2.5.2	19	0			
79667	425	Chamling	khak-(u)	khak-(u)	bite	bite			1.3.4.4	19	0			755,m
79668	425	Chamling	khang-(u)	khang-(u)	see / look	see / look			1.2.6.10	19	0			1405,m
79669	425	Chamling	khap-(u)	khap-(u)	weep	weep			1.8.8.2	19	0			1103,m
79670	425	Chamling	kha+paEnAyko	kha+paEnAyko	deaf	deaf			1.2.7.5	19	0			m
79671	425	Chamling	khas-(a)	khas-(a)	full	full	be v.	be v.	1.1.3.2	19	0			115,s
79672	425	Chamling	khAkar mu-(u)	khAkar mu-(u)	clear throat	clear throat			9.6.1.1	19	0			
79673	425	Chamling	khArkiba la-(a)	khArkiba la-(a)	lie down together	lie down together			8.5.10.4	19	0			m,3299,m
79674	425	Chamling	khAsi mu-(u)	khAsi mu-(u)	castrate	castrate			1.9.2.3	19	0			m,m,m
79675	425	Chamling	khi	khi	stool / human excrements	stool / human excrements			5.11.9.4	20	0			
79676	425	Chamling	khi◦lam	khi◦lam	anus	anus			1.4.10.2	20	0			572,1017
79677	425	Chamling	khis-(u)	khis-(u)	scratch	scratch	?	?	1.6.5.5	20	0			m,m
79678	425	Chamling	khlungs-(u)	khlungs-(u)	swallow	swallow			1.3.5.6	20	0			1770,s
79679	425	Chamling	kho-(u)	kho-(u)	bite	bite			1.3.4.4	20	0			755,m
79680	425	Chamling	khori	khori	belly	belly			1.4.7	21	0			m
79681	425	Chamling	khori khur-	khori khur-	pregnant	pregnant	be v.	be v.	1.9.6.1	21	0			m,m
79682	425	Chamling	khowwa	khowwa	wound	wound			1.8.6.2	21	0			
79683	425	Chamling	khra-*	khra-*	bite	bite			1.3.4.4	21	0			
79684	425	Chamling	lab◦e◦tung	lab◦e◦tung	feather / wing	feather / wing			1.6.1.1	22	0			757,p,711
79685	425	Chamling	lamma	lamma	cough	cough	n.	n.	1.8.3.3	22	0			
79686	425	Chamling	latiba la-(a)	latiba la-(a)	become numb	become numb			9.5	22	0			
79687	425	Chamling	lawa	lawa	dead soul	dead soul			1.1.6	22	0			2264
79688	425	Chamling	lem	lem	tongue	tongue			1.3.3	22	0			625
79689	425	Chamling	let-(a)	let-(a)	alive	alive	be v.	be v.	1.1.2.1	22	0			83,s
79690	425	Chamling	let◦ako	let◦ako	alive	alive			1.1.2.1	23	0			83,s
79691	425	Chamling	lik-(u)	lik-(u)	lick	lick			1.3.3.1	23	0			629,s
79692	425	Chamling	lung◦ma*	lung◦ma*	liver	liver			1.7.3	23	0			1381,1384
79693	425	Chamling	luy*	luy*	liver	liver			1.7.3	23	0			m
79694	425	Chamling	meri	meri	tail	tail			1.4.10.1	24	0			1288
79695	425	Chamling	mi◦cu	mi◦cu	eye	eye			1.2.6	24	0			682,1261
79696	425	Chamling	mu◦se*	mu◦se*	feather / body hair	feather / body hair			1.6.1.1	25	0			363,m
79697	425	Chamling	mu◦supa	mu◦supa	blind	blind			1.2.6.14.2	25	0			682,m
79698	425	Chamling	na◦bro	na◦bro	ear	ear			1.2.7	25	0			811,812
79699	425	Chamling	na◦di◦pung	na◦di◦pung	nose	nose			1.2.8	25	0			803,807,806
79700	425	Chamling	na◦khle	nakhle	snot	snot			1.8.2	25	0			803,572
79701	425	Chamling	ngai	ngai	face	face			1.2.5	26	0			1192
79702	425	Chamling	nga◦lung	nga◦lung	face / cheek	face / cheek			1.2.5	26	0			1192,m
79703	425	Chamling	om◦pAy◦ma	om◦pAy◦ma	milk	milk				27	0			3464,3467,s
79704	425	Chamling	om◦pi◦yang◦ma	om◦pi◦yang◦ma	milk	milk				27	0			3464,3467,m,s
79705	425	Chamling	paenAyko	paenAyko	deaf	deaf			1.2.7.5	28	0			m
79706	425	Chamling	pas-(a)	pas-(a)	vomit	vomit			1.8.3.2	28	0			1145,m
79707	425	Chamling	pibd-(u)	pibd-(u)	suck	suck			1.3.2.1	28	0			3450,s
79708	425	Chamling	pips-(u)	pips-(u)	suck	suck			1.3.2.1	28	0			3450,s
79709	425	Chamling	pis-(a)	pis-(a)	speak / talk	speak / talk			8.5.10.1	28	0			
79710	425	Chamling	pOyN◦ma	pOyN◦ma	milk	milk				29	0			
79711	425	Chamling	prapt-(u)	prapt-(u)	scratch	scratch			1.6.5.5	29	0			m,s
79712	425	Chamling	puk-(a)	puk-(a)	birth, give (animal)	birth, give  (animal)	v.	v.	1.1.2	29	0	jbl3		3480,s
79713	425	Chamling	phi◦lu	philu	leg / foot	leg / foot			1.5.7	30	0			343,3580
79714	425	Chamling	ra◦khap◦tON*	ra◦khap◦tON*	molar	molar			1.3.4.2	30	0			1265,278,3316
79715	425	Chamling	ram	ram	body	body			1.1.1	30	0			12
79716	425	Chamling	ram cAys-(a)	ram cAys-(a)	ill	ill	be v.	be v.	1.1.5.1	30	0			
79717	425	Chamling	ri-(a)	ri-(a)	laugh	laugh			1.8.8.1	31	0			1108
79718	425	Chamling	rung*	rung*	horn	horn			1.2.2	31	0			814
79719	425	Chamling	saka si-(a)	saka si-(a)	feel hungry	feel hungry			8.4	32	0			m,101,s
79720	425	Chamling	saru◦wa*	saru◦wa*	bone	bone			1.6.3	32	0			234,s
79721	425	Chamling	sas phera mu-(u)	sas phera mu-(u)	breathe	breathe			1.1.2.2	32	0			b
79722	425	Chamling	sAy◦ma	sAy◦ma	dream	dream			1.1.4.2	32	0			147,126
79723	425	Chamling	sAy◦mi	sAy◦mi	dream	dream			1.1.4.2	32	0			147,m
79724	425	Chamling	se◦mang tek-(u)	se◦mang tek-(u)	dream	dream			1.1.4.2	32	0			147,126,m,m
79725	425	Chamling	si-(a)	si-(a)	die	die			1.1.6	33	0			27,s
79726	425	Chamling	sinyo	sinyo	saliva	saliva			1.8.3	33	0			
79727	425	Chamling	sya◦ko	sya◦ko	dead	dead			1.1.6	34	0			27,s
