rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
79750	999	Manang (Gyaru)	ba² ga² ri²	ba² ga² ri²	head	head		1.2.1	001	0		m
79751	999	Manang (Gyaru)	gra²	gra²	hair	hair		1.2.3	001-01	0		367
79752	999	Manang (Gyaru)	sya¹ ga¹ ri¹	sya¹ ga¹ ri¹	brain	brain		1.2.4	001-03	0		464,m,m
79753	999	Manang (Gyaru)	ngo³ graŋ²	ngo³ graŋ²	forehead	forehead		1.2.5.1	002	0		356,2025
79754	999	Manang (Gyaru)	miː¹	miː¹	eye	eye		1.2.6	003	0		682
79755	999	Manang (Gyaru)	mi¹ tsin¹	mi¹ tsin¹	eyebrow	eyebrow		1.2.6.6	004	0		682,366
79756	999	Manang (Gyaru)	mi¹ tsin¹ mɯy²	mi¹ tsin¹ mɯy²	eyelash	eyelash		1.2.6.5	004-01	0		682,366,363
79757	999	Manang (Gyaru)	mi¹ gi¹	mi¹ gi¹	tears	tears		1.2.6.7	005	0		682,572
79758	999	Manang (Gyaru)	mi¹sya¹ ra¹	mi¹sya¹ ra¹	blind	blind		1.2.6.14.2	006	0		682,m,m
79759	999	Manang (Gyaru)	na²	na²	nose	nose		1.2.8	007	0		803
79760	999	Manang (Gyaru)	na¹	na¹	ear	ear		1.2.7	008	0		811
79761	999	Manang (Gyaru)	nya¹ ma?²	nya¹ ma?²	ear	ear		1.2.7	008a	0		811,2084
79762	999	Manang (Gyaru)	nog³ toŋ²	nog³ toŋ²	deaf	deaf		1.2.7.5	009	0		m,1412
79763	999	Manang (Gyaru)	sɯŋ²	sɯŋ²	mouth	mouth		1.3.1	010	0		477
79764	999	Manang (Gyaru)	sɯŋ² man² ji²	sɯŋ² man² ji²	lip	lip		1.3.2	011	0		477,467,686
79765	999	Manang (Gyaru)	lᴇ¹	lᴇ¹	tongue	tongue		1.3.3	012	0		621
79766	999	Manang (Gyaru)	laŋ² nyᴇ² ma²	laŋ² nyᴇ² ma²	uvula	uvula		1.3.5.1	012-01	0		
79767	999	Manang (Gyaru)	la² ʈa¹	la² ʈa¹	dumb	dumb		8.5.4.4	013	0		
79768	999	Manang (Gyaru)	swa¹	swa¹	tooth	tooth		1.3.4	014	0		632
79769	999	Manang (Gyaru)	ta¹	ta¹	saliva	saliva		1.8.3	015	0		603
79770	999	Manang (Gyaru)	ka² nᴇ²	ka² nᴇ²	phlegm	phlegm		1.8.3	015-01	0		
79771	999	Manang (Gyaru)	saː²	saː²	breathe	breathe		1.1.2.2	016	0		32
79772	999	Manang (Gyaru)	gᴇː¹	gᴇː¹	voice	voice		8.5.5	017	0		
79773	999	Manang (Gyaru)	hloː¹ ka² ba	hloː¹ ka² ba	cough	cough	V	1.8.3.3	018	0		
79774	999	Manang (Gyaru)	gyi¹ ba	gyi¹ ba	sneeze	sneeze	V	1.8.2.1	019	0		
79775	999	Manang (Gyaru)	nɯ³ sa¹ yɯ¹ ba	nɯ³ sa¹ yɯ¹ ba	yawn	yawn	V	1.3.1.3	020	0		
79776	999	Manang (Gyaru)	gwan³ da²	gwan³ da²	jaw	jaw		1.2.5.2	021	0		267,m
79777	999	Manang (Gyaru)	li¹	li¹	face	face		1.2.5	022	0		1184
79778	999	Manang (Gyaru)	gro¹ ma²	gro¹ ma²	cheek	cheek		1.2.5.2	023	0		266,s
79779	999	Manang (Gyaru)	mon¹ ɖᴇ¹	mon¹ ɖᴇ¹	beard	beard		1.2.5.5	024	0		1114,1265
79780	999	Manang (Gyaru)	gyᴇ¹	gyᴇ¹	beard	beard		1.2.5.5		0		2064
79781	999	Manang (Gyaru)	ka¹ rᴇ¹	ka¹ rᴇ¹	neck	neck		1.4.2	025	0		494,5650
79782	999	Manang (Gyaru)	da⁴ jɯ³ gɯ³	da⁴ jɯ³ gɯ³	nape	nape		1.4.2.1	025-01	0		m,m,496
79783	999	Manang (Gyaru)	ka¹ rᴇ¹| ol¹ ◦gɯŋ¹	ka¹ rᴇ¹| ol¹| gɯŋ¹	throat	throat		1.3.5	026	0		491,490,3361
79784	999	Manang (Gyaru)	ban³ da?¹	ban³ da?¹	shoulder	shoulder		1.4.3	027	0		745,m
79785	999	Manang (Gyaru)	mᴇ³ laŋ³	mᴇ³ laŋ³	bladebone (?)	bladebone (?)		1.4.3.2	027-01	0		
79786	999	Manang (Gyaru)	yaː²	yaː²	arm	arm		1.5.1.2	028	0		696
79787	999	Manang (Gyaru)	nyaŋ² li²	nyaŋ² li²	armpit	armpit		1.5.1.2.3	028-01	0		m,1289
79788	999	Manang (Gyaru)	hro² daŋ²	hro² daŋ²	armpit odor	armpit odor		1.5.1.2.3	028-02	0		
79789	999	Manang (Gyaru)	gɯr² ji²	gɯr² ji²	elbow	elbow		1.5.8.3	029	0		
79790	999	Manang (Gyaru)	yaː¹ tsiː¹	yaː¹ tsiː¹	wrist	wrist		1.5.8.1	029-01	0		696,418
79791	999	Manang (Gyaru)	yaː²	yaː²	hand	hand		1.5.1.1	030	0		696
79792	999	Manang (Gyaru)	yaː¹ ta¹ li¹	yaː¹ ta¹ li¹	palm	palm		1.5.5	030-01	0		696,m
79793	999	Manang (Gyaru)	yaː¹ ɖiː¹	yaː¹ ɖiː¹	finger	finger		1.5.6	031	0		
79794	999	Manang (Gyaru)	yaː¹ syin¹	yaː¹ syin¹	nail	nail		1.5.10	032	0		m,512
79795	999	Manang (Gyaru)	gɯn¹ dɯʔ¹	gɯn¹ dɯʔ¹	fist	fist		1.5.1.1.1	032-01	0		
79796	999	Manang (Gyaru)	gɯ²	gɯ²	breast	breast		1.4.4.3	033	0		
79797	999	Manang (Gyaru)	nyog¹ ro¹ nyᴇː⁴	nyog¹ ro¹ nyᴇː⁴	breast (woman)	breast (woman)		1.4.4.3	034	0		259,m,254
79798	999	Manang (Gyaru)	nyᴇː⁴ bɯn¹	nyᴇː⁴ bɯn¹	nipple	nipple			034-01	0		254,163
79799	999	Manang (Gyaru)	rᴇː²	rᴇː²	rib	rib		1.4.4.3	034-02	0		554
79800	999	Manang (Gyaru)	gyoː² ba³	gyoː² ba³	lungs	lungs		1.7.2	034-03	0		
79801	999	Manang (Gyaru)	din²	din²	heart	heart		1.7.1	035	0		1387
79802	999	Manang (Gyaru)	po¹	po¹	belly	belly		1.4.7	036	0		2103
79803	999	Manang (Gyaru)	po¹ sya¹	po¹ sya¹	stomach	stomach		1.7.6	037-02	0		2103,m
79804	999	Manang (Gyaru)	cin² ba²	cin² ba²	liver	liver		1.7.3	038	0		1390,s
79805	999	Manang (Gyaru)	grᴇː²	grᴇː²	kidneys	kidneys		1.7.5	038-01	0		
79806	999	Manang (Gyaru)	bi¹ dᴇ¹	bi¹ dᴇ¹	navel	navel		1.9.4	039	0		m,519
79807	999	Manang (Gyaru)	go¹ dᴇ¹	go¹ dᴇ¹	back	back		1.4.8	040	0		211,1243
79808	999	Manang (Gyaru)	grᴇː¹	grᴇː¹	waist	waist		1.4.6	041	0		217
79809	999	Manang (Gyaru)	byi¹ syi¹	byi¹ syi¹	buttocks	buttocks		1.4.10	042	0		1361,223
79810	999	Manang (Gyaru)	gyiː¹	gyiː¹	excrement	excrement		1.8.5	042-01	0		
79811	999	Manang (Gyaru)	boŋ¹ ci¹	boŋ¹ ci¹	bladder	bladder		1.7.8	042-03	0		778,650
79812	999	Manang (Gyaru)	gɯn²	gɯn²	urine	urine		1.8.4	042-04	0		656
79813	999	Manang (Gyaru)	gɯn² briŋ² cᴇ¹	gɯn² briŋ² cᴇ¹	urinate	urinate		1.5.3.2	042-05	0		656,m,m
79814	999	Manang (Gyaru)	doː² ɖi¹	doː² ɖi¹	fart	fart		1.8.5.2	042-06	0		m,m
79815	999	Manang (Gyaru)	mlᴇ¹	mlᴇ¹	penis	penis			042-07	0		1284
79816	999	Manang (Gyaru)	gar³ bɯm²	gar³ bɯm²	testicles	testicles			042-08	0		m,304
79817	999	Manang (Gyaru)	dɯ¹	dɯ¹	vulva	vulva			042-09	0		661
79818	999	Manang (Gyaru)	syal¹ gaŋ¹	syal¹ gaŋ¹	thigh	thigh		1.5.7.1	042-11	0		
79819	999	Manang (Gyaru)	ba¹ ji¹	ba¹ ji¹	knee	knee		1.5.8.4	043	0		
