rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
80433	1581	Tibetan (Written)	spu	spu	hair, fur	hair, fur			1.2.3	1	0			1228
80434	1581	Tibetan (Written)	pags-pa	pags-pa	skin, leather	skin, leather			1.6.5	2	0			588,s
80435	1581	Tibetan (Written)	pags-rigs	pags-rigs	skin, leather	skin, leather			1.6.5	2	0			588,782
80436	1581	Tibetan (Written)	sug-mthil	sug-mthil	hoof	hoof			1.5.4	3	0			
80437	1581	Tibetan (Written)	rmig-pa	rmig-pa	hoof	hoof			1.5.4	3	0			416,s
80438	1581	Tibetan (Written)	rwa-tʃo	rwa-tʃo	horn	horn			1.2.2	4	0			814,m
80439	1581	Tibetan (Written)	sgo-ŋa	sgo-ŋa	egg	egg				6	0			305,1610
80440	1581	Tibetan (Written)	lus-po	lus-po	body	body			1.1.1	7	0			11,1902
80441	1581	Tibetan (Written)	gzugs-po	gzugs-po	body	body			1.1.1	7	0			4,1902
80442	1581	Tibetan (Written)	rgyags-pa	rgyags-pa	fat person, fatty	fat person, fatty			1.6.4	10	0			40,s
80443	1581	Tibetan (Written)	mi-ɕa-skam-po	mi-ɕa-skam-po	thin person	thin person			9.7.2	11	0			
80444	1581	Tibetan (Written)	mgo	mgo	head	head			1.2.1	12	0			386
80445	1581	Tibetan (Written)	klad-pa	klad-pa	brain	brain			1.2.4	13	0			465,s
80446	1581	Tibetan (Written)	skra	skra	hair	hair			1.2.3	14	0			367
80447	1581	Tibetan (Written)	ŋo gdoŋ	ŋo gdoŋ	face	face			1.2.5	15	0			1192,2031
80448	1581	Tibetan (Written)	ŋo-mdog	ŋo-mdog	complexion, facial expression	complexion,facial expression			1.2.5	16	0			1192,m
80449	1581	Tibetan (Written)	'gram-pa	'gram-pa	cheek	cheek			1.2.5.2	17	0			262,1902
80450	1581	Tibetan (Written)	smin-ma	smin-ma	eyebrow	eyebrow			1.2.6.6	18	0			363,s
80451	1581	Tibetan (Written)	mig	mig	eye	eye			1.2.6	19	0			682
80452	1581	Tibetan (Written)	sna	sna	nose	nose			1.2.8	20	0			803
80453	1581	Tibetan (Written)	sna-khuŋ	sna-khuŋ	nostril	nostril			1.2.8.1	21	0			803,809
80454	1581	Tibetan (Written)	rna-ba	rna-ba	ear	ear			1.2.7	22	0			811,s
80455	1581	Tibetan (Written)	kha	kha	mouth	mouth			1.3.1	23	0			273
80456	1581	Tibetan (Written)	mtʃhu-to	mtʃhu-to	lip	lip			1.3.2	24	0			442,2095
80457	1581	Tibetan (Written)	ltʃe	ltʃe	tongue	tongue			1.3.3	25	0			621
80458	1581	Tibetan (Written)	mid-pa	mid-pa	throat	throat			1.3.5	26	0			505,s
80459	1581	Tibetan (Written)	so	so	tooth	tooth			1.3.4	27	0			632
80460	1581	Tibetan (Written)	a-ra	a-ra	beard, moustache	beard, moustache			1.2.5.5	28	0			p,1265
80461	1581	Tibetan (Written)	ka-spu	ka-spu	beard / moustache	beard /  moustache			1.2.5.5	28	0	jbl3		273,1228
80462	1581	Tibetan (Written)	mdʒiŋ-pa	mdʒiŋ-pa	neck	neck			1.4.2	29	0			479,s
80463	1581	Tibetan (Written)	phrag-pa	phrag-pa	shoulder	shoulder			1.4.3	30	0			568,s
80464	1581	Tibetan (Written)	dpuŋ-pa	dpuŋ-pa	shoulder	shoulder			1.4.3	30	0			1327,s
80465	1581	Tibetan (Written)	braŋ-ka	braŋ-ka	chest	chest			1.4.4.3	31	0			288,310
80466	1581	Tibetan (Written)	sgal-pa	sgal-pa	back	back			1.4.8	32	0			201,s
80467	1581	Tibetan (Written)	rked-pa	rked-pa	waist	waist			1.4.6	33	0			217,s
80468	1581	Tibetan (Written)	khog-pa	khog-pa	belly, abdomen	belly, abdomen			1.4.7	34	0			5364,s
80469	1581	Tibetan (Written)	rkup	rkup	bottom, behind, buttocks	bottom, behind, buttocks			9.2.2	35	0			405
80470	1581	Tibetan (Written)	lag-pa	lag-pa	arm	arm			1.5.1.2	36	0			695,s
80471	1581	Tibetan (Written)	lag-tshigs	lag-tshigs	wrist	wrist			1.5.8.1	37	0			695,418
80472	1581	Tibetan (Written)	lag-pa	lag-pa	hand	hand			1.5.1.1	38	0			695,s
80473	1581	Tibetan (Written)	sbar-mo	sbar-mo	palm	palm			1.5.5	39	0			
80474	1581	Tibetan (Written)	lag-mthil	lag-mthil	palm	palm			1.5.5	39	0			695,m
80475	1581	Tibetan (Written)	khu-tshur	khu-tshur	fist	fist			1.5.1.1.1	40	0			712,m
80476	1581	Tibetan (Written)	mdzup-mo	mdzup-mo	finger	finger			1.5.6	41	0			
80477	1581	Tibetan (Written)	rkaŋ-pa	rkaŋ-pa	leg, thigh	leg, thigh			1.5.7	42	0			336,s
80478	1581	Tibetan (Written)	pus-mo	pus-mo	knee	knee			1.5.8.4	43	0			436,s
80479	1581	Tibetan (Written)	rkaŋ-pa	rkaŋ-pa	foot	foot			1.5.2	44	0			336,s
80480	1581	Tibetan (Written)	rkaŋ-pai-mdzug-gu	rkaŋ-pai-mdzug-gu	toe	toe			1.5.6	45	0			
80481	1581	Tibetan (Written)	sen-mo	sen-mo	nail	nail			1.5.10	46	0			512,s
80482	1581	Tibetan (Written)	nu-tog	nu-tog	nipple	nipple				47	0			253,m
80483	1581	Tibetan (Written)	ɕa	ɕa	muscle	muscle			1.6.6.2	48	0			34
80484	1581	Tibetan (Written)	skyi-mo	skyi-mo	skin	skin			1.6.5	49	0			596,m
80485	1581	Tibetan (Written)	pags-pa	pags-pa	skin	skin			1.6.5	49	0			588,s
80486	1581	Tibetan (Written)	rus-pa	rus-pa	bone	bone			1.6.3	50	0			232,s
80487	1581	Tibetan (Written)	sȵiŋ	sȵiŋ	heart	heart			1.7.1	51	0			251
80488	1581	Tibetan (Written)	mtʃin-pa	mtʃin-pa	liver	liver			1.7.3	52	0			1390,s
80489	1581	Tibetan (Written)	glo-ba	glo-ba	lung	lung			1.7.2	53	0			2121,s
80490	1581	Tibetan (Written)	pho-ba	pho-ba	stomach	stomach			1.7.6	54	0			2103,s
80491	1581	Tibetan (Written)	rgyu-ma	rgyu-ma	intestine, bowels	intestine, bowels			1.7.6	55	0			2116,s
80492	1581	Tibetan (Written)	rgyus-pa	rgyus-pa	muscle, sinew	muscle, sinew			1.6.6.2	56	0			536,s
80493	1581	Tibetan (Written)	dbaŋ-rtsa	dbaŋ-rtsa	nerve	nerve			1.6.6.3	57	0			m,530
80494	1581	Tibetan (Written)	ba-spu	ba-spu	fine hair	fine hair			9.7.2	58	0			m,1228
80495	1581	Tibetan (Written)	khrag	khrag	blood	blood			1.6.2	59	0			231
80496	1581	Tibetan (Written)	rŋul	rŋul	perspiration, sweat	perspiration, sweat			1.8.1.1	60	0			615
80497	1581	Tibetan (Written)	o-ma	o-ma	milk	milk				61	0			3464,s
80498	1581	Tibetan (Written)	mig-tʃhu	mig-tʃhu	tears	tears			1.2.6.7	62	0			682,1631
80499	1581	Tibetan (Written)	mtʃhil-ma	mtʃhil-ma	saliva, spittle	saliva, spittle			1.8.3	63	0			600,s
80500	1581	Tibetan (Written)	lud-pa	lud-pa	phlegm	phlegm			1.8.3	64	0			
80501	1581	Tibetan (Written)	snabs-rtug	snabs-rtug	nasal mucus, snival	nasal mucus, snival			1.8.2	65	0			805,m
80502	1581	Tibetan (Written)	skyag-pa	skyag-pa	stool, excrements, dung	stool, excrements, dung			1.8.5	66	0			577,m
80503	1581	Tibetan (Written)	gtʃin-pa	g◦tʃin-pa	urine	urine			1.8.4	67	0			650
80504	1581	Tibetan (Written)	rtug-dri	rtug-dri	wind (from bowels), fart	wind (from bowels), fart			3.2.1	68	0			
80505	1581	Tibetan (Written)	srog	srog	life	life			1.1.2.1	69	0			81
80506	1581	Tibetan (Written)	rma	rma	wound, injury	wound, injury			1.8.6.2	70	0			
80507	1581	Tibetan (Written)	na-tsha	na-tsha	sickness, illness, disease	sickness, illness, disease			1.1.5.1	71	0			160,1844
80508	1581	Tibetan (Written)	skyon-tʃha na-tsha	skyon-tʃha na-tsha	illness, trouble	illness, trouble			1.1.5.1	72	0			
80509	1581	Tibetan (Written)	tʃham-pa	tʃham-pa	cold	cold	n.	n.	7.1.2.3	73	0			
80510	1581	Tibetan (Written)	glo-nad	glo-nad	tuberculosis	tuberculosis			1.5.3.2	77	0			2121,160
80511	1581	Tibetan (Written)	lha-'brum	lha-'brum	smallpox	smallpox			5.3	79	0			
