rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
80530	309	Bai (Jianchuan)	tsʰæ̃⁵⁵ kɯ³¹	tsʰæ̃⁵⁵ kɯ³¹	body (general)	body (general)			1.1.1	1.0	0			
80531	309	Bai (Jianchuan)	tsʰæ̃⁵⁵ kɯ³¹ «ne̱²¹»	tsʰæ̃⁵⁵ kɯ³¹ «ne̱²¹»	body	body			1.1.1	1.1	0			
80532	309	Bai (Jianchuan)	tsæ̱⁴²	tsæ̱⁴²	side (right)	side (right)			1.4.5	1.2	0			
80533	309	Bai (Jianchuan)	tsæ̱⁴² fv̩³³	tsæ̱⁴² fv̩³³	side (right)	side (right)			1.4.5	1.2	0			
80534	309	Bai (Jianchuan)	pi⁵⁵	pi⁵⁵	side (left)	side (left)			1.4.5	1.3	0			
80535	309	Bai (Jianchuan)	pi⁵⁵ fv̩³³	pi⁵⁵ fv̩³³	side (left)	side (left)			1.4.5	1.3	0			
80538	309	Bai (Jianchuan)	tsʰæ̃⁵⁵ kɯ³¹ «ne̱²¹»	tsʰæ̃⁵⁵ kɯ³¹ «ne̱²¹»	torso / trunk	torso / trunk			1.5.3.2	1.6	0			m,2,m
80539	309	Bai (Jianchuan)	sɯ³³ ko̱⁴⁴	sɯ³³ ko̱⁴⁴	limbs / arms and legs	limbs / arms and legs			1.5.3.1	1.7	0			
80540	309	Bai (Jianchuan)	sɯ³³ sɯ³³ ko̱⁴⁴ ko̱⁴⁴	sɯ³³ sɯ³³ ko̱⁴⁴ ko̱⁴⁴	limbs / arms and legs	limbs / arms and legs			1.5.3.1	1.7	0			
80541	309	Bai (Jianchuan)	kʰuæ³¹ pi⁵⁵	kʰuæ³¹ pi⁵⁵	lap	lap			1.4.4.2	1.8	0			2326,1361
80543	309	Bai (Jianchuan)	ko̱⁴⁴ kã̱⁴² «ne̱²¹»	ko̱⁴⁴ kã̱⁴² «ne̱²¹»	groin / loins	groin / loins			1.4.9	1.10	0			m,219,m
80544	309	Bai (Jianchuan)	kæ̱²¹	kæ̱²¹	flesh / meat	flesh / meat			1.1.1.1	1.11	0			1130
